Ticker,Ticker_name,Exposure,Date,day_pct_change
EDV,VANGUARD EXT DUR T;ETF,Bonds,2026-01-23,0.0032
HYG,ISHARES:IBOXX $HY CORP,Bonds,2026-01-23,-0.0005
IEF,ISHARES:7-10 TRS BD ETF,Bonds,2026-01-23,0.0017
LQD,ISHARES:IBOXX $IG CORP,Bonds,2026-01-23,0.0006
SHY,ISHARES:1-3 TRS BD ETF,Bonds,2026-01-23,0.0004
STIP,ISHARES:0-5 TIPS BD ETF,Bonds,2026-01-23,0.001
TIP,ISHARES:TIPS BD ETF,Bonds,2026-01-23,0.002
TLT,ISHARES:20+ TRS BD ETF,Bonds,2026-01-23,0.0027
CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,2026-01-23,-0.0051
CMCSA,COMCAST ,Communication Services,2026-01-23,0.0024
DIS,THE WALT DISNEY COMPANY,Communication Services,2026-01-23,-0.0197
EA,ELECTRONIC ARTS INC.,Communication Services,2026-01-23,-0.0019
FOXA,FOX ,Communication Services,2026-01-23,0.0076
GOOGL,ALPHABET INC.,Communication Services,2026-01-23,-0.0079
LYV,"LIVE NATION ENTERTAINMENT, INC.",Communication Services,2026-01-23,0.0639
META,"META PLATFORMS, INC.",Communication Services,2026-01-23,0.0172
MTCH,"MATCH GROUP, INC.",Communication Services,2026-01-23,-0.014
NFLX,"NETFLIX, INC.",Communication Services,2026-01-23,0.0309
NWSA,NEWS CORP.,Communication Services,2026-01-23,0.0037
OMC,OMNICOM GROUP INC.,Communication Services,2026-01-23,0.0069
PSKY,PARAMOUNT SKYDANCE ,Communication Services,2026-01-23,-0.0068
T,AT&T INC.,Communication Services,2026-01-23,0.0004
TKO,"TKO GROUP HOLDINGS, INC.",Communication Services,2026-01-23,0.0239
TMUS,"T-MOBILE US, INC.",Communication Services,2026-01-23,0.0035
TTD,"THE TRADE DESK, INC.",Communication Services,2026-01-23,-0.0073
TTWO,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",Communication Services,2026-01-23,0.0192
VZ,VERIZON COMMUNICATIONS INC.,Communication Services,2026-01-23,0.001
WBD,"WARNER BROS. DISCOVERY, INC.",Communication Services,2026-01-23,0.0078
ABNB,"AIRBNB, INC.",Consumer Discretionary,2026-01-23,-0.0123
AMZN,"AMAZON.COM, INC.",Consumer Discretionary,2026-01-23,0.0206
APTV,APTIV PLC,Consumer Discretionary,2026-01-23,-0.0137
AZO,"AUTOZONE, INC.",Consumer Discretionary,2026-01-23,0.0004
BBY,"BEST BUY CO., INC.",Consumer Discretionary,2026-01-23,-0.0001
BKNG,BOOKING HOLDINGS INC.,Consumer Discretionary,2026-01-23,-0.0102
CCL,CARNIVAL CORP,Consumer Discretionary,2026-01-23,0.0021
CMG,"CHIPOTLE MEXICAN GRILL, INC.",Consumer Discretionary,2026-01-23,0.0081
CVNA,CARVANA CO.,Consumer Discretionary,2026-01-23,-0.0107
DASH,"DOORDASH, INC.",Consumer Discretionary,2026-01-23,-0.002
DECK,DECKERS OUTDOOR ,Consumer Discretionary,2026-01-23,-0.0161
DHI,"D.R. HORTON, INC.",Consumer Discretionary,2026-01-23,-0.0336
DPZ,"DOMINO'S PIZZA, INC.",Consumer Discretionary,2026-01-23,0.0152
DRI,"DARDEN RESTAURANTS, INC.",Consumer Discretionary,2026-01-23,0.0049
EBAY,EBAY INC.,Consumer Discretionary,2026-01-23,-0.0029
EXPE,"EXPEDIA GROUP, INC.",Consumer Discretionary,2026-01-23,-0.0305
F,FORD MOTOR COMPANY,Consumer Discretionary,2026-01-23,-0.0109
GM,GENERAL MOTORS COMPANY,Consumer Discretionary,2026-01-23,-0.018
GPC,GENUINE PARTS COMPANY,Consumer Discretionary,2026-01-23,0.0058
GRMN,GARMIN LTD,Consumer Discretionary,2026-01-23,0.0002
HAS,"HASBRO, INC.",Consumer Discretionary,2026-01-23,-0.0008
HD,"THE HOME DEPOT, INC.",Consumer Discretionary,2026-01-23,0.0072
HLT,HILTON WORLDWIDE HOLDINGS INC.,Consumer Discretionary,2026-01-23,0.0074
LEN,LENNAR ,Consumer Discretionary,2026-01-23,-0.025
LOW,"LOWE'S COMPANIES, INC.",Consumer Discretionary,2026-01-23,0.0065
LULU,LULULEMON ATHLETICA INC.,Consumer Discretionary,2026-01-23,-0.0184
LVS,LAS VEGAS SANDS CORP.,Consumer Discretionary,2026-01-23,0.0002
MAR,"MARRIOTT INTERNATIONAL, INC.",Consumer Discretionary,2026-01-23,-0.0061
MCD,MCDONALD'S ,Consumer Discretionary,2026-01-23,0.0105
MGM,MGM RESORTS INTERNATIONAL,Consumer Discretionary,2026-01-23,-0.0113
NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD.,Consumer Discretionary,2026-01-23,0.0053
NKE,"NIKE, INC.",Consumer Discretionary,2026-01-23,-0.0064
NVR,"NVR, INC.",Consumer Discretionary,2026-01-23,-0.0151
ORLY,"O'REILLY AUTOMOTIVE, INC.",Consumer Discretionary,2026-01-23,0.0035
PHM,"PULTEGROUP, INC.",Consumer Discretionary,2026-01-23,-0.0204
POOL,POOL ,Consumer Discretionary,2026-01-23,-0.0067
RCL,ROYAL CARIBBEAN CRUISES LTD.,Consumer Discretionary,2026-01-23,0.002
RL,RALPH LAUREN ,Consumer Discretionary,2026-01-23,0.0098
ROST,"ROSS STORES, INC.",Consumer Discretionary,2026-01-23,0.0082
SBUX,STARBUCKS ,Consumer Discretionary,2026-01-23,0.0187
TJX,"THE TJX COMPANIES, INC.",Consumer Discretionary,2026-01-23,-0.0012
TPR,"TAPESTRY, INC.",Consumer Discretionary,2026-01-23,0.004
TSCO,TRACTOR SUPPLY COMPANY,Consumer Discretionary,2026-01-23,0.0242
TSLA,"TESLA, INC.",Consumer Discretionary,2026-01-23,-0.0007
ULTA,"ULTA BEAUTY, INC.",Consumer Discretionary,2026-01-23,0.0066
WSM,"WILLIAMS-SONOMA, INC.",Consumer Discretionary,2026-01-23,-0.0262
WYNN,"WYNN RESORTS, LIMITED",Consumer Discretionary,2026-01-23,-0.0131
YUM,"YUM! BRANDS, INC.",Consumer Discretionary,2026-01-23,-0.0036
ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,2026-01-23,0.0058
BF.B,BROWN-FORMAN ,Consumer Staples,2026-01-23,-0.0129
BG,BUNGE LIMITED,Consumer Staples,2026-01-23,0.0083
CAG,"CONAGRA BRANDS, INC.",Consumer Staples,2026-01-23,0.0017
CHD,"CHURCH & DWIGHT CO., INC.",Consumer Staples,2026-01-23,-0.0056
CL,COLGATE-PALMOLIVE COMPANY,Consumer Staples,2026-01-23,0.0099
CLX,THE CLOROX COMPANY,Consumer Staples,2026-01-23,0.0114
COST,COSTCO WHOLESALE ,Consumer Staples,2026-01-23,0.0073
CPB,CAMPBELL SOUP COMPANY,Consumer Staples,2026-01-23,0.009
DG,DOLLAR GENERAL ,Consumer Staples,2026-01-23,0.016
DLTR,"DOLLAR TREE, INC.",Consumer Staples,2026-01-23,0.0168
EL,THE ESTEE LAUDER COMPANIES INC.,Consumer Staples,2026-01-23,-0.0151
GIS,"GENERAL MILLS, INC.",Consumer Staples,2026-01-23,0.0016
HRL,HORMEL FOODS ,Consumer Staples,2026-01-23,0.0099
HSY,THE HERSHEY COMPANY,Consumer Staples,2026-01-23,0.0029
KDP,KEURIG DR PEPPER INC.,Consumer Staples,2026-01-23,0.0076
KHC,THE KRAFT HEINZ COMPANY,Consumer Staples,2026-01-23,0.0211
KMB,KIMBERLY-CLARK ,Consumer Staples,2026-01-23,0.0004
KO,THE COCA-COLA COMPANY,Consumer Staples,2026-01-23,0.0141
KR,THE KROGER CO.,Consumer Staples,2026-01-23,0.0255
KVUE,KENVUE INC.,Consumer Staples,2026-01-23,0.0028
LW,"LAMB WESTON HOLDINGS, INC.",Consumer Staples,2026-01-23,-0.0088
MDLZ,"MONDELEZ INTERNATIONAL, INC.",Consumer Staples,2026-01-23,0.0142
MKC,"MCCORMICK & COMPANY, INC.",Consumer Staples,2026-01-23,-0.0067
MNST,MONSTER BEVERAGE ,Consumer Staples,2026-01-23,0.0137
MO,"ALTRIA GROUP, INC.",Consumer Staples,2026-01-23,0.0144
PEP,"PEPSICO, INC.",Consumer Staples,2026-01-23,0.0012
PG,THE PROCTER & GAMBLE COMPANY,Consumer Staples,2026-01-23,0.0015
PM,PHILIP MORRIS INTERNATIONAL INC.,Consumer Staples,2026-01-23,0.0175
SJM,THE J. M. SMUCKER COMPANY,Consumer Staples,2026-01-23,0.0044
STZ,"CONSTELLATION BRANDS, INC.",Consumer Staples,2026-01-23,-0.0121
SYY,SYSCO ,Consumer Staples,2026-01-23,-0.0082
TAP,MOLSON COORS BEVERAGE COMPANY,Consumer Staples,2026-01-23,-0.0082
TGT,TARGET ,Consumer Staples,2026-01-23,0.015
TSN,"TYSON FOODS, INC.",Consumer Staples,2026-01-23,0.0088
WMT,WALMART INC.,Consumer Staples,2026-01-23,-0.0008
APA,APA ,Energy,2026-01-23,0.0098
BKR,BAKER HUGHES COMPANY,Energy,2026-01-23,-0.0099
COP,CONOCOPHILLIPS,Energy,2026-01-23,0.0152
CTRA,COTERRA ENERGY INC.,Energy,2026-01-23,0.0051
CVX,CHEVRON ,Energy,2026-01-23,0.0004
DVN,DEVON ENERGY ,Energy,2026-01-23,0.0174
EOG,"EOG RESOURCES, INC.",Energy,2026-01-23,0.0189
EQT,EQT ,Energy,2026-01-23,0.0144
EXE,EXPAND ENERGY ,Energy,2026-01-23,0.0
FANG,"DIAMONDBACK ENERGY, INC.",Energy,2026-01-23,0.0143
HAL,HALLIBURTON COMPANY,Energy,2026-01-23,0.0068
KMI,"KINDER MORGAN, INC.",Energy,2026-01-23,-0.004
MPC,MARATHON PETROLEUM ,Energy,2026-01-23,-0.0022
OKE,"ONEOK, INC.",Energy,2026-01-23,-0.0071
OXY,OCCIDENTAL PETROLEUM ,Energy,2026-01-23,0.022
PSX,PHILLIPS 66,Energy,2026-01-23,-0.0027
SLB,SCHLUMBERGER N.V.,Energy,2026-01-23,-0.0034
TPL,TEXAS PACIFIC LAND ,Energy,2026-01-23,0.0034
TRGP,TARGA RESOURCES CORP.,Energy,2026-01-23,0.0002
VLO,VALERO ENERGY ,Energy,2026-01-23,0.0011
WMB,"THE WILLIAMS COMPANIES, INC.",Energy,2026-01-23,0.0195
XOM,EXXON MOBIL ,Energy,2026-01-23,0.01
UNG,UNITED STATES NAT GAS,Energy Complex,2026-01-23,0.0402
USO,UNITED STATES OIL FUND,Energy Complex,2026-01-23,0.0297
ACGL,ARCH CAPITAL GROUP LTD.,Financials,2026-01-23,0.0049
AFL,AFLAC INC.,Financials,2026-01-23,-0.0112
AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Financials,2026-01-23,0.0001
AIZ,"ASSURANT, INC.",Financials,2026-01-23,-0.017
AJG,ARTHUR J. GALLAGHER & CO.,Financials,2026-01-23,0.0113
ALL,THE ALLSTATE ,Financials,2026-01-23,-0.0083
AMP,"AMERIPRISE FINANCIAL, INC.",Financials,2026-01-23,-0.0226
AON,AON PLC,Financials,2026-01-23,0.0081
APO,"APOLLO GLOBAL MANAGEMENT, INC.",Financials,2026-01-23,-0.0245
ARES,ARES MANAGEMENT CORP,Financials,2026-01-23,-0.0349
AXP,AMERICAN EXPRESS COMPANY,Financials,2026-01-23,-0.0172
BAC,BANK OF AMERICA ,Financials,2026-01-23,-0.0139
BEN,"FRANKLIN RESOURCES, INC.",Financials,2026-01-23,-0.0179
BK,THE BANK OF NEW YORK MELLON ,Financials,2026-01-23,-0.0214
BLK,"BLACKROCK, INC.",Financials,2026-01-23,-0.0086
BRK.B,"BERKSHIRE HATHAWAY INC.,",Financials,2026-01-23,-0.0114
BRO,"BROWN & BROWN, INC.",Financials,2026-01-23,0.0071
BX,BLACKSTONE INC,Financials,2026-01-23,-0.0286
C,CITIGROUP INC.,Financials,2026-01-23,-0.0179
CB,CHUBB LTD,Financials,2026-01-23,-0.0
CBOE,"CBOE GLOBAL MARKETS, INC.",Financials,2026-01-23,-0.0026
CFG,"CITIZENS FINANCIAL GROUP, INC.",Financials,2026-01-23,-0.0251
CINF,CINCINNATI FINANCIAL ,Financials,2026-01-23,-0.0071
CME,CME GROUP INC.,Financials,2026-01-23,0.0048
COF,CAPITAL ONE FINANCIAL ,Financials,2026-01-23,-0.0756
COIN,"COINBASE GLOBAL, INC.",Financials,2026-01-23,-0.0277
CPAY,"FLEETCOR TECHNOLOGIES, INC.",Financials,2026-01-23,-0.0202
EG,"EVEREST GROUP, LTD.",Financials,2026-01-23,0.0058
ERIE,ERIE INDEMNITY COMPANY,Financials,2026-01-23,-0.0333
FDS,FACTSET RESEARCH SYSTEMS INC.,Financials,2026-01-23,-0.0073
FIS,FIDELITY NATIONAL INFORMATION SERVICES,Financials,2026-01-23,-0.0131
FISV,"FISERV, INC.",Financials,2026-01-23,0.0024
FITB,FIFTH THIRD BANCORP,Financials,2026-01-23,-0.0029
GL,GLOBE LIFE INC.,Financials,2026-01-23,-0.0131
GPN,GLOBAL PAYMENTS INC.,Financials,2026-01-23,-0.0096
GS,"THE GOLDMAN SACHS GROUP, INC.",Financials,2026-01-23,-0.0375
HBAN,HUNTINGTON BANCSHARES INC.,Financials,2026-01-23,-0.0164
HIG,THE HARTFORD FINANCIAL SERVICES GROUP,Financials,2026-01-23,-0.0102
HOOD,"ROBINHOOD MARKETS, INC.",Financials,2026-01-23,0.007
IBKR,"INTERACTIVE BROKERS GROUP, INC.",Financials,2026-01-23,0.0048
ICE,"INTERCONTINENTAL EXCHANGE, INC.",Financials,2026-01-23,-0.0081
IVZ,INVESCO LTD.,Financials,2026-01-23,-0.0287
JKHY,"JACK HENRY & ASSOCIATES, INC.",Financials,2026-01-23,-0.019
JPM,JPMORGAN CHASE & CO.,Financials,2026-01-23,-0.0195
KEY,KEYCORP,Financials,2026-01-23,-0.0218
KKR,KKR & CO. INC.,Financials,2026-01-23,-0.0181
L,LOEWS ,Financials,2026-01-23,-0.0053
MA,MASTERCARD INC..,Financials,2026-01-23,-0.0152
MCO,MOODY'S ,Financials,2026-01-23,-0.0117
MET,"METLIFE, INC.",Financials,2026-01-23,-0.0144
MMC,"MARSH & MCLENNAN COMPANIES, INC.",Financials,2026-01-23,0.0139
MS,MORGAN STANLEY,Financials,2026-01-23,-0.0221
MSCI,MSCI INC.,Financials,2026-01-23,-0.0025
MTB,M&T BANK ,Financials,2026-01-23,-0.0167
NDAQ,"NASDAQ, INC.",Financials,2026-01-23,-0.0074
NTRS,NORTHERN TRUST ,Financials,2026-01-23,-0.0293
PFG,"PRINCIPAL FINANCIAL GROUP, INC.",Financials,2026-01-23,-0.0102
PGR,THE PROGRESSIVE ,Financials,2026-01-23,-0.0043
PNC,"THE PNC FINANCIAL SERVICES GROUP, INC.",Financials,2026-01-23,-0.0118
PRU,"PRUDENTIAL FINANCIAL, INC.",Financials,2026-01-23,-0.0099
PYPL,"PAYPAL HOLDINGS, INC.",Financials,2026-01-23,-0.0093
RF,REGIONS FINANCIAL ,Financials,2026-01-23,-0.0286
RJF,"RAYMOND JAMES FINANCIAL, INC.",Financials,2026-01-23,-0.0148
SCHW,THE CHARLES SCHWAB ,Financials,2026-01-23,-0.018
SPGI,S&P GLOBAL INC.,Financials,2026-01-23,-0.0115
STT,STATE STREET ,Financials,2026-01-23,-0.0184
SYF,SYNCHRONY FINANCIAL,Financials,2026-01-23,-0.0191
TFC,TRUIST FINANCIAL ,Financials,2026-01-23,-0.0145
TROW,"T. ROWE PRICE GROUP, INC.",Financials,2026-01-23,-0.0137
TRV,"THE TRAVELERS COMPANIES, INC.",Financials,2026-01-23,-0.0027
USB,U.S. BANCORP,Financials,2026-01-23,-0.0126
V,VISA INC.,Financials,2026-01-23,-0.0006
WFC,WELLS FARGO & COMPANY,Financials,2026-01-23,-0.0123
WRB,W. R. BERKLEY ,Financials,2026-01-23,-0.0059
WTW,WILLIS TOWERS WATSON,Financials,2026-01-23,0.0011
XYZ,"BLOCK, INC.",Financials,2026-01-23,0.0274
GLD,SPDR GOLD,Gold,2026-01-23,0.0137
A,"AGILENT TECHNOLOGIES, INC.",Health Care,2026-01-23,-0.0258
ABBV,ABBVIE INC.,Health Care,2026-01-23,0.0053
ABT,ABBOTT LABORATORIES,Health Care,2026-01-23,-0.011
ALGN,"ALIGN TECHNOLOGY, INC.",Health Care,2026-01-23,-0.0011
AMGN,AMGEN INC.,Health Care,2026-01-23,-0.0067
BAX,BAXTER INTERNATIONAL INC.,Health Care,2026-01-23,-0.0115
BDX,"BECTON, DICKINSON AND COMPANY",Health Care,2026-01-23,-0.0206
BIIB,BIOGEN INC.,Health Care,2026-01-23,-0.0127
BMY,BRISTOL-MYERS SQUIBB COMPANY,Health Care,2026-01-23,-0.0053
BSX,BOSTON SCIENTIFIC ,Health Care,2026-01-23,0.0134
CAH,"CARDINAL HEALTH, INC.",Health Care,2026-01-23,0.007
CI,THE CIGNA GROUP,Health Care,2026-01-23,-0.0042
CNC,CENTENE ,Health Care,2026-01-23,0.0148
COO,"THE COOPER COMPANIES, INC.",Health Care,2026-01-23,-0.0182
COR,"CENCORA, INC.",Health Care,2026-01-23,0.0029
CRL,CHARLES RIVER LABORATORIES,Health Care,2026-01-23,-0.0197
CVS,CVS HEALTH ,Health Care,2026-01-23,0.004
DGX,QUEST DIAGNOSTICS INC.,Health Care,2026-01-23,-0.0063
DHR,DANAHER ,Health Care,2026-01-23,-0.0211
DVA,DAVITA INC.,Health Care,2026-01-23,-0.0096
DXCM,"DEXCOM, INC.",Health Care,2026-01-23,-0.0143
ELV,"ELEVANCE HEALTH, INC.",Health Care,2026-01-23,-0.0032
EW,EDWARDS LIFESCIENCES ,Health Care,2026-01-23,-0.0092
GEHC,GE HEALTHCARE TECHNOLOGIES INC.,Health Care,2026-01-23,-0.0259
GILD,"GILEAD SCIENCES, INC.",Health Care,2026-01-23,0.0365
HCA,"HCA HEALTHCARE, INC.",Health Care,2026-01-23,0.0097
HOLX,"HOLOGIC, INC.",Health Care,2026-01-23,-0.0008
HSIC,"HENRY SCHEIN, INC.",Health Care,2026-01-23,-0.0161
HUM,HUMANA INC.,Health Care,2026-01-23,0.0008
IDXX,"IDEXX LABORATORIES, INC.",Health Care,2026-01-23,0.0041
INCY,INCYTE ,Health Care,2026-01-23,-0.0292
IQV,IQVIA HOLDINGS INC,Health Care,2026-01-23,-0.0156
ISRG,"INTUITIVE SURGICAL, INC.",Health Care,2026-01-23,-0.0035
JNJ,JOHNSON & JOHNSON,Health Care,2026-01-23,0.0076
LH,LABORATORY  OF AMERICA HOLDINGS,Health Care,2026-01-23,-0.0123
LLY,ELI LILLY AND COMPANY,Health Care,2026-01-23,-0.0212
MCK,MCKESSON ,Health Care,2026-01-23,0.0039
MDT,MEDTRONIC PUBLIC LIMITED COMPANY,Health Care,2026-01-23,-0.0045
MOH,"MOLINA HEALTHCARE, INC.",Health Care,2026-01-23,0.0158
MRK,"MERCK & CO., INC.",Health Care,2026-01-23,-0.0092
MRNA,"MODERNA, INC.",Health Care,2026-01-23,-0.0609
MTD,METTLER-TOLEDO INTERNATIONAL INC.,Health Care,2026-01-23,-0.0221
PFE,PFIZER INC.,Health Care,2026-01-23,-0.0172
PODD,INSULET ,Health Care,2026-01-23,-0.03
REGN,"REGENERON PHARMACEUTICALS, INC.",Health Care,2026-01-23,-0.0026
RMD,RESMED INC.,Health Care,2026-01-23,-0.0116
RVTY,"REVVITY, INC.",Health Care,2026-01-23,-0.0087
SOLV,SOLVENTUM ,Health Care,2026-01-23,-0.0168
STE,STERIS PUBLIC LIMITED COMPANY,Health Care,2026-01-23,-0.0053
SYK,STRYKER ,Health Care,2026-01-23,-0.0101
TECH,BIO-TECHNE ,Health Care,2026-01-23,-0.0214
TMO,THERMO FISHER SCIENTIFIC INC.,Health Care,2026-01-23,-0.0211
UHS,"UNIVERSAL HEALTH SERVICES, INC.",Health Care,2026-01-23,-0.003
UNH,UNITEDHEALTH GROUP INC.,Health Care,2026-01-23,0.0051
VRTX,VERTEX PHARMACEUTICALS INC.,Health Care,2026-01-23,0.0023
VTRS,VIATRIS INC.,Health Care,2026-01-23,-0.0023
WAT,WATERS ,Health Care,2026-01-23,-0.0203
WST,"WEST PHARMACEUTICAL SERVICES, INC.",Health Care,2026-01-23,-0.0449
ZBH,"ZIMMER BIOMET HOLDINGS, INC.",Health Care,2026-01-23,-0.0107
ZTS,ZOETIS INC.,Health Care,2026-01-23,-0.0028
ADP,"AUTOMATIC DATA PROCESSING, INC.",Industrials,2026-01-23,-0.0077
ALLE,ALLEGION PUBLIC LIMITED COMPANY,Industrials,2026-01-23,-0.0007
AME,"AMETEK, INC.",Industrials,2026-01-23,-0.0053
AOS,A. O. SMITH ,Industrials,2026-01-23,-0.0086
AXON,"AXON ENTERPRISE, INC.",Industrials,2026-01-23,0.0096
BA,THE BOEING COMPANY,Industrials,2026-01-23,0.0029
BLDR,"BUILDERS FIRSTSOURCE, INC.",Industrials,2026-01-23,-0.0231
BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",Industrials,2026-01-23,-0.0107
CARR,CARRIER GLOBAL ,Industrials,2026-01-23,-0.0024
CAT,CATERPILLAR INC.,Industrials,2026-01-23,-0.0336
CHRW,"C.H. ROBINSON WORLDWIDE, INC.",Industrials,2026-01-23,-0.007
CMI,CUMMINS INC.,Industrials,2026-01-23,-0.0194
CPRT,"COPART, INC.",Industrials,2026-01-23,0.0032
CSX,CSX ,Industrials,2026-01-23,0.024
CTAS,CINTAS ,Industrials,2026-01-23,-0.0006
DAL,"DELTA AIR LINES, INC.",Industrials,2026-01-23,-0.0144
DAY,"DAYFORCE, INC.",Industrials,2026-01-23,0.0023
DE,DEERE & COMPANY,Industrials,2026-01-23,-0.0152
DOV,DOVER ,Industrials,2026-01-23,-0.013
EFX,EQUIFAX INC.,Industrials,2026-01-23,-0.0203
EME,"EMCOR GROUP, INC.",Industrials,2026-01-23,-0.0123
EMR,EMERSON ELECTRIC CO.,Industrials,2026-01-23,-0.0172
ETN,EATON  PUBLIC LIMITED COMPANY,Industrials,2026-01-23,-0.0084
EXPD,EXPEDITORS INTERNATIONAL OF WASHINGTON,Industrials,2026-01-23,-0.0099
FAST,FASTENAL COMPANY,Industrials,2026-01-23,-0.0199
FDX,FEDEX ,Industrials,2026-01-23,-0.0181
FIX,"COMFORT SYSTEMS USA, INC.",Industrials,2026-01-23,-0.0091
FTV,FORTIVE ,Industrials,2026-01-23,-0.0024
GD,GENERAL DYNAMICS ,Industrials,2026-01-23,-0.007
GE,GENERAL ELECTRIC COMPANY,Industrials,2026-01-23,-0.0038
GEV,GE VERNOVA INC.,Industrials,2026-01-23,-0.0059
GNRC,GENERAC HOLDINGS INC.,Industrials,2026-01-23,-0.0133
GWW,"W.W. GRAINGER, INC.",Industrials,2026-01-23,-0.0082
HII,"HUNTINGTON INGALLS INDUSTRIES, INC.",Industrials,2026-01-23,-0.0131
HON,HONEYWELL INTERNATIONAL INC.,Industrials,2026-01-23,-0.0049
HUBB,HUBBELL INC.,Industrials,2026-01-23,0.003
HWM,HOWMET AEROSPACE INC.,Industrials,2026-01-23,-0.0129
IEX,IDEX ,Industrials,2026-01-23,-0.013
IR,INGERSOLL RAND INC.,Industrials,2026-01-23,-0.0039
ITW,ILLINOIS TOOL WORKS INC.,Industrials,2026-01-23,-0.0055
J,JACOBS SOLUTIONS INC.,Industrials,2026-01-23,-0.0157
JBHT,"J. B. HUNT TRANSPORT SERVICES, INC.",Industrials,2026-01-23,-0.0189
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Industrials,2026-01-23,-0.008
LDOS,"LEIDOS HOLDINGS, INC.",Industrials,2026-01-23,-0.0115
LHX,"L3HARRIS TECHNOLOGIES, INC.",Industrials,2026-01-23,-0.0029
LII,LENNOX INTERNATIONAL INC.,Industrials,2026-01-23,0.0002
LMT,LOCKHEED MARTIN ,Industrials,2026-01-23,-0.0052
LUV,SOUTHWEST AIRLINES CO.,Industrials,2026-01-23,-0.0115
MAS,MASCO ,Industrials,2026-01-23,-0.0167
MMM,3M COMPANY,Industrials,2026-01-23,0.0128
NDSN,NORDSON ,Industrials,2026-01-23,-0.0097
NOC,NORTHROP GRUMMAN ,Industrials,2026-01-23,0.0037
NSC,NORFOLK SOUTHERN ,Industrials,2026-01-23,-0.0058
ODFL,"OLD DOMINION FREIGHT LINE, INC.",Industrials,2026-01-23,-0.0222
OTIS,OTIS WORLDWIDE ,Industrials,2026-01-23,0.0079
PAYC,"PAYCOM SOFTWARE, INC.",Industrials,2026-01-23,-0.0018
PAYX,"PAYCHEX, INC.",Industrials,2026-01-23,-0.0052
PCAR,PACCAR INC,Industrials,2026-01-23,-0.0126
PH,PARKER-HANNIFIN ,Industrials,2026-01-23,-0.012
PNR,PENTAIR PUBLIC LIMITED COMPANY,Industrials,2026-01-23,-0.0055
PWR,"QUANTA SERVICES, INC.",Industrials,2026-01-23,-0.0
ROK,"ROCKWELL AUTOMATION, INC.",Industrials,2026-01-23,-0.0176
ROL,"ROLLINS, INC.",Industrials,2026-01-23,-0.0065
RSG,"REPUBLIC SERVICES, INC.",Industrials,2026-01-23,0.0086
RTX,RTX ,Industrials,2026-01-23,-0.0021
SNA,SNAP-ON INC.,Industrials,2026-01-23,-0.0085
SWK,"STANLEY BLACK & DECKER, INC.",Industrials,2026-01-23,-0.0149
TDG,TRANSDIGM GROUP INC.,Industrials,2026-01-23,-0.0009
TT,TRANE TECHNOLOGIES PLC,Industrials,2026-01-23,-0.01
TXT,TEXTRON INC.,Industrials,2026-01-23,-0.0107
UAL,"UNITED AIRLINES HOLDINGS, INC.",Industrials,2026-01-23,-0.0241
UBER,"UBER TECHNOLOGIES, INC.",Industrials,2026-01-23,-0.003
UNP,UNION PACIFIC ,Industrials,2026-01-23,-0.0074
UPS,"UNITED PARCEL SERVICE, INC.",Industrials,2026-01-23,-0.0121
URI,"UNITED RENTALS, INC.",Industrials,2026-01-23,-0.0387
VLTO,VERALTO ,Industrials,2026-01-23,-0.0017
VRSK,"VERISK ANALYTICS, INC.",Industrials,2026-01-23,-0.0021
WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES ,Industrials,2026-01-23,-0.0154
WM,"WASTE MANAGEMENT, INC.",Industrials,2026-01-23,0.001
XYL,XYLEM INC.,Industrials,2026-01-23,-0.0118
AAPL,APPLE INC.,Information Technology,2026-01-23,-0.0012
ACN,ACCENTURE PUBLIC LIMITED COMPANY,Information Technology,2026-01-23,-0.0141
ADBE,ADOBE INC.,Information Technology,2026-01-23,0.0045
ADI,"ANALOG DEVICES, INC.",Information Technology,2026-01-23,-0.0095
ADSK,"AUTODESK, INC.",Information Technology,2026-01-23,0.0009
AKAM,"AKAMAI TECHNOLOGIES, INC.",Information Technology,2026-01-23,-0.0201
AMAT,"APPLIED MATERIALS, INC.",Information Technology,2026-01-23,0.0113
