Ticker,Ticker_name,Exposure,Date,mtd_pct_change
EDV,VANGUARD EXT DUR T;ETF,Bonds,2025-12-12,-0.044
HYG,ISHARES:IBOXX $HY CORP,Bonds,2025-12-12,-0.0052
IEF,ISHARES:7-10 TRS BD ETF,Bonds,2025-12-12,-0.0134
LQD,ISHARES:IBOXX $IG CORP,Bonds,2025-12-12,-0.0151
SHY,ISHARES:1-3 TRS BD ETF,Bonds,2025-12-12,-0.0025
STIP,ISHARES:0-5 TIPS BD ETF,Bonds,2025-12-12,-0.0043
TIP,ISHARES:TIPS BD ETF,Bonds,2025-12-12,-0.0093
TLT,ISHARES:20+ TRS BD ETF,Bonds,2025-12-12,-0.0318
APP,APPLOVIN CORP,Communication Services,2025-12-12,0.1188
CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,2025-12-12,0.0324
CMCSA,COMCAST ,Communication Services,2025-12-12,0.0202
DIS,THE WALT DISNEY COMPANY,Communication Services,2025-12-12,0.0682
EA,ELECTRONIC ARTS INC.,Communication Services,2025-12-12,0.0084
FOXA,FOX ,Communication Services,2025-12-12,0.0855
GOOGL,ALPHABET INC.,Communication Services,2025-12-12,-0.034
LYV,"LIVE NATION ENTERTAINMENT, INC.",Communication Services,2025-12-12,0.0889
META,"META PLATFORMS, INC.",Communication Services,2025-12-12,-0.0057
MTCH,"MATCH GROUP, INC.",Communication Services,2025-12-12,-0.0036
NFLX,"NETFLIX, INC.",Communication Services,2025-12-12,-0.1152
NWSA,NEWS CORP.,Communication Services,2025-12-12,0.021
OMC,OMNICOM GROUP INC.,Communication Services,2025-12-12,0.1205
PSKY,PARAMOUNT SKYDANCE ,Communication Services,2025-12-12,-0.1423
T,AT&T INC.,Communication Services,2025-12-12,-0.0553
TKO,"TKO GROUP HOLDINGS, INC.",Communication Services,2025-12-12,0.0749
TMUS,"T-MOBILE US, INC.",Communication Services,2025-12-12,-0.0663
TTD,"THE TRADE DESK, INC.",Communication Services,2025-12-12,-0.0736
TTWO,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",Communication Services,2025-12-12,-0.0187
VZ,VERIZON COMMUNICATIONS INC.,Communication Services,2025-12-12,-0.0054
WBD,"WARNER BROS. DISCOVERY, INC.",Communication Services,2025-12-12,0.2492
ABNB,"AIRBNB, INC.",Consumer Discretionary,2025-12-12,0.0974
AMZN,"AMAZON.COM, INC.",Consumer Discretionary,2025-12-12,-0.0301
APTV,APTIV PLC,Consumer Discretionary,2025-12-12,0.0159
AZO,"AUTOZONE, INC.",Consumer Discretionary,2025-12-12,-0.1286
BBY,"BEST BUY CO., INC.",Consumer Discretionary,2025-12-12,-0.0734
BKNG,BOOKING HOLDINGS INC.,Consumer Discretionary,2025-12-12,0.0787
CCL,CARNIVAL CORP,Consumer Discretionary,2025-12-12,0.0714
CMG,"CHIPOTLE MEXICAN GRILL, INC.",Consumer Discretionary,2025-12-12,0.0469
DASH,"DOORDASH, INC.",Consumer Discretionary,2025-12-12,0.1468
DECK,DECKERS OUTDOOR ,Consumer Discretionary,2025-12-12,0.1494
DHI,"D.R. HORTON, INC.",Consumer Discretionary,2025-12-12,-0.0161
DPZ,"DOMINO'S PIZZA, INC.",Consumer Discretionary,2025-12-12,0.0288
DRI,"DARDEN RESTAURANTS, INC.",Consumer Discretionary,2025-12-12,0.015
EBAY,EBAY INC.,Consumer Discretionary,2025-12-12,0.031
EXPE,"EXPEDIA GROUP, INC.",Consumer Discretionary,2025-12-12,0.0724
F,FORD MOTOR COMPANY,Consumer Discretionary,2025-12-12,0.0361
GM,GENERAL MOTORS COMPANY,Consumer Discretionary,2025-12-12,0.1002
