Ticker,Ticker_name,Exposure,Date,qtd_pct_change
EDV,VANGUARD EXT DUR T;ETF,Bonds,2025-11-21,-0.0058
HYG,ISHARES:IBOXX $HY CORP,Bonds,2025-11-21,-0.0101
IEF,ISHARES:7-10 TRS BD ETF,Bonds,2025-11-21,0.0076
LQD,ISHARES:IBOXX $IG CORP,Bonds,2025-11-21,-0.0049
SHY,ISHARES:1-3 TRS BD ETF,Bonds,2025-11-21,0.0008
STIP,ISHARES:0-5 TIPS BD ETF,Bonds,2025-11-21,-0.0035
TIP,ISHARES:TIPS BD ETF,Bonds,2025-11-21,-0.0018
TLT,ISHARES:20+ TRS BD ETF,Bonds,2025-11-21,0.0015
APP,APPLOVIN CORP,Communication Services,2025-11-21,-0.2759
CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,2025-11-21,-0.2621
CMCSA,COMCAST ,Communication Services,2025-11-21,-0.1295
DIS,THE WALT DISNEY COMPANY,Communication Services,2025-11-21,-0.0893
EA,ELECTRONIC ARTS INC.,Communication Services,2025-11-21,-0.005
FOXA,FOX ,Communication Services,2025-11-21,0.0417
GOOGL,ALPHABET INC.,Communication Services,2025-11-21,0.2327
IPG,THE INTERPUBLIC GROUP,Communication Services,2025-11-21,-0.0785
LYV,"LIVE NATION ENTERTAINMENT, INC.",Communication Services,2025-11-21,-0.2006
META,"META PLATFORMS, INC.",Communication Services,2025-11-21,-0.1908
MTCH,"MATCH GROUP, INC.",Communication Services,2025-11-21,-0.0864
NFLX,"NETFLIX, INC.",Communication Services,2025-11-21,-0.13
NWSA,NEWS CORP.,Communication Services,2025-11-21,-0.1635
OMC,OMNICOM GROUP INC.,Communication Services,2025-11-21,-0.0817
PSKY,PARAMOUNT SKYDANCE ,Communication Services,2025-11-21,-0.1601
T,AT&T INC.,Communication Services,2025-11-21,-0.0818
TKO,"TKO GROUP HOLDINGS, INC.",Communication Services,2025-11-21,-0.1178
TMUS,"T-MOBILE US, INC.",Communication Services,2025-11-21,-0.1249
TTD,"THE TRADE DESK, INC.",Communication Services,2025-11-21,-0.191
TTWO,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",Communication Services,2025-11-21,-0.0886
VZ,VERIZON COMMUNICATIONS INC.,Communication Services,2025-11-21,-0.0619
WBD,"WARNER BROS. DISCOVERY, INC.",Communication Services,2025-11-21,0.1864
ABNB,"AIRBNB, INC.",Consumer Discretionary,2025-11-21,-0.059
AMZN,"AMAZON.COM, INC.",Consumer Discretionary,2025-11-21,0.0051
APTV,APTIV PLC,Consumer Discretionary,2025-11-21,-0.1402
AZO,"AUTOZONE, INC.",Consumer Discretionary,2025-11-21,-0.0915
BBY,"BEST BUY CO., INC.",Consumer Discretionary,2025-11-21,0.011
BKNG,BOOKING HOLDINGS INC.,Consumer Discretionary,2025-11-21,-0.1169
CCL,CARNIVAL CORP,Consumer Discretionary,2025-11-21,-0.0813
CMG,"CHIPOTLE MEXICAN GRILL, INC.",Consumer Discretionary,2025-11-21,-0.1929
DASH,"DOORDASH, INC.",Consumer Discretionary,2025-11-21,-0.3028
DECK,DECKERS OUTDOOR ,Consumer Discretionary,2025-11-21,-0.1602
DHI,"D.R. HORTON, INC.",Consumer Discretionary,2025-11-21,-0.1343
DPZ,"DOMINO'S PIZZA, INC.",Consumer Discretionary,2025-11-21,-0.0563
DRI,"DARDEN RESTAURANTS, INC.",Consumer Discretionary,2025-11-21,-0.0822
EBAY,EBAY INC.,Consumer Discretionary,2025-11-21,-0.1112
EXPE,"EXPEDIA GROUP, INC.",Consumer Discretionary,2025-11-21,0.1578
F,FORD MOTOR COMPANY,Consumer Discretionary,2025-11-21,0.0727
GM,GENERAL MOTORS COMPANY,Consumer Discretionary,2025-11-21,0.1535
GPC,GENUINE PARTS COMPANY,Consumer Discretionary,2025-11-21,-0.0724
GRMN,GARMIN LTD,Consumer Discretionary,2025-11-21,-0.2193
HAS,"HASBRO, INC.",Consumer Discretionary,2025-11-21,0.0442
HD,"THE HOME DEPOT, INC.",Consumer Discretionary,2025-11-21,-0.1527
HLT,HILTON WORLDWIDE HOLDINGS INC.,Consumer Discretionary,2025-11-21,0.058
KMX,"CARMAX, INC.",Consumer Discretionary,2025-11-21,-0.2126
LEN,LENNAR ,Consumer Discretionary,2025-11-21,-0.0228
LKQ,LKQ ,Consumer Discretionary,2025-11-21,-0.0321
LOW,"LOWE'S COMPANIES, INC.",Consumer Discretionary,2025-11-21,-0.0677
LULU,LULULEMON ATHLETICA INC.,Consumer Discretionary,2025-11-21,-0.0548
LVS,LAS VEGAS SANDS CORP.,Consumer Discretionary,2025-11-21,0.1956
MAR,"MARRIOTT INTERNATIONAL, INC.",Consumer Discretionary,2025-11-21,0.1359
MCD,MCDONALD'S ,Consumer Discretionary,2025-11-21,0.018
MGM,MGM RESORTS INTERNATIONAL,Consumer Discretionary,2025-11-21,-0.0609
MHK,"MOHAWK INDUSTRIES, INC.",Consumer Discretionary,2025-11-21,-0.1473
NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD.,Consumer Discretionary,2025-11-21,-0.2611
NKE,"NIKE, INC.",Consumer Discretionary,2025-11-21,-0.0994
NVR,"NVR, INC.",Consumer Discretionary,2025-11-21,-0.0804
ORLY,"O'REILLY AUTOMOTIVE, INC.",Consumer Discretionary,2025-11-21,-0.0685
PHM,"PULTEGROUP, INC.",Consumer Discretionary,2025-11-21,-0.0894
POOL,POOL ,Consumer Discretionary,2025-11-21,-0.226
RCL,ROYAL CARIBBEAN CRUISES LTD.,Consumer Discretionary,2025-11-21,-0.1838
RL,RALPH LAUREN ,Consumer Discretionary,2025-11-21,0.0839
ROST,"ROSS STORES, INC.",Consumer Discretionary,2025-11-21,0.1418
SBUX,STARBUCKS ,Consumer Discretionary,2025-11-21,0.0089
TJX,"THE TJX COMPANIES, INC.",Consumer Discretionary,2025-11-21,0.0477
TPR,"TAPESTRY, INC.",Consumer Discretionary,2025-11-21,-0.0705
TSCO,TRACTOR SUPPLY COMPANY,Consumer Discretionary,2025-11-21,-0.0695
TSLA,"TESLA, INC.",Consumer Discretionary,2025-11-21,-0.1206
ULTA,"ULTA BEAUTY, INC.",Consumer Discretionary,2025-11-21,-0.057
WSM,"WILLIAMS-SONOMA, INC.",Consumer Discretionary,2025-11-21,-0.0896
WYNN,"WYNN RESORTS, LIMITED",Consumer Discretionary,2025-11-21,-0.0676
YUM,"YUM! BRANDS, INC.",Consumer Discretionary,2025-11-21,0.0064
ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,2025-11-21,-0.0186
BF.B,BROWN-FORMAN ,Consumer Staples,2025-11-21,0.0506
BG,BUNGE LIMITED,Consumer Staples,2025-11-21,0.1641
CAG,"CONAGRA BRANDS, INC.",Consumer Staples,2025-11-21,-0.0295
CHD,"CHURCH & DWIGHT CO., INC.",Consumer Staples,2025-11-21,-0.0412
CL,COLGATE-PALMOLIVE COMPANY,Consumer Staples,2025-11-21,0.0124
CLX,THE CLOROX COMPANY,Consumer Staples,2025-11-21,-0.1572
COST,COSTCO WHOLESALE ,Consumer Staples,2025-11-21,-0.0288
CPB,CAMPBELL SOUP COMPANY,Consumer Staples,2025-11-21,0.0025
DG,DOLLAR GENERAL ,Consumer Staples,2025-11-21,-0.016
DLTR,"DOLLAR TREE, INC.",Consumer Staples,2025-11-21,0.0789
EL,THE ESTEE LAUDER COMPANIES INC.,Consumer Staples,2025-11-21,0.0202
GIS,"GENERAL MILLS, INC.",Consumer Staples,2025-11-21,-0.0415
HRL,HORMEL FOODS ,Consumer Staples,2025-11-21,-0.0829
HSY,THE HERSHEY COMPANY,Consumer Staples,2025-11-21,-0.0056
K,KELLANOVA,Consumer Staples,2025-11-21,0.0174
KDP,KEURIG DR PEPPER INC.,Consumer Staples,2025-11-21,0.0874
KHC,THE KRAFT HEINZ COMPANY,Consumer Staples,2025-11-21,-0.0288
KMB,KIMBERLY-CLARK ,Consumer Staples,2025-11-21,-0.1541
KO,THE COCA-COLA COMPANY,Consumer Staples,2025-11-21,0.1
KR,THE KROGER CO.,Consumer Staples,2025-11-21,-0.02
KVUE,KENVUE INC.,Consumer Staples,2025-11-21,0.0253
LW,"LAMB WESTON HOLDINGS, INC.",Consumer Staples,2025-11-21,-0.0069
MDLZ,"MONDELEZ INTERNATIONAL, INC.",Consumer Staples,2025-11-21,-0.0876
MKC,"MCCORMICK & COMPANY, INC.",Consumer Staples,2025-11-21,0.0187
MNST,MONSTER BEVERAGE ,Consumer Staples,2025-11-21,0.0703
MO,"ALTRIA GROUP, INC.",Consumer Staples,2025-11-21,-0.1191
PEP,"PEPSICO, INC.",Consumer Staples,2025-11-21,0.0419
PG,THE PROCTER & GAMBLE COMPANY,Consumer Staples,2025-11-21,-0.0178
PM,PHILIP MORRIS INTERNATIONAL INC.,Consumer Staples,2025-11-21,-0.0429
SJM,THE J. M. SMUCKER COMPANY,Consumer Staples,2025-11-21,-0.0282
STZ,"CONSTELLATION BRANDS, INC.",Consumer Staples,2025-11-21,-0.0075
SYY,SYSCO ,Consumer Staples,2025-11-21,-0.0693
TAP,MOLSON COORS BEVERAGE COMPANY,Consumer Staples,2025-11-21,0.019
TGT,TARGET ,Consumer Staples,2025-11-21,-0.0232
TSN,"TYSON FOODS, INC.",Consumer Staples,2025-11-21,-0.0116
WMT,WALMART INC.,Consumer Staples,2025-11-21,0.0219
APA,APA ,Energy,2025-11-21,-0.0136
BKR,BAKER HUGHES COMPANY,Energy,2025-11-21,0.0033
COP,CONOCOPHILLIPS,Energy,2025-11-21,-0.0763
CTRA,COTERRA ENERGY INC.,Energy,2025-11-21,0.0888
CVX,CHEVRON ,Energy,2025-11-21,-0.0342
DVN,DEVON ENERGY ,Energy,2025-11-21,0.0168
EOG,"EOG RESOURCES, INC.",Energy,2025-11-21,-0.0459
EQT,EQT ,Energy,2025-11-21,0.0478
EXE,EXPAND ENERGY ,Energy,2025-11-21,0.0824
