Ticker,Ticker_name,Exposure,Date,wtd_pct_change
EDV,VANGUARD EXT DUR T;ETF,Bonds,2025-11-28,0.0115
HYG,ISHARES:IBOXX $HY CORP,Bonds,2025-11-28,0.0077
IEF,ISHARES:7-10 TRS BD ETF,Bonds,2025-11-28,0.0032
LQD,ISHARES:IBOXX $IG CORP,Bonds,2025-11-28,0.0085
SHY,ISHARES:1-3 TRS BD ETF,Bonds,2025-11-28,0.0006
STIP,ISHARES:0-5 TIPS BD ETF,Bonds,2025-11-28,0.0008
TIP,ISHARES:TIPS BD ETF,Bonds,2025-11-28,0.0022
TLT,ISHARES:20+ TRS BD ETF,Bonds,2025-11-28,0.0079
APP,APPLOVIN CORP,Communication Services,2025-11-28,0.1523
CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,2025-11-28,-0.0142
CMCSA,COMCAST ,Communication Services,2025-11-28,-0.0241
DIS,THE WALT DISNEY COMPANY,Communication Services,2025-11-28,0.0018
EA,ELECTRONIC ARTS INC.,Communication Services,2025-11-28,0.0067
FOXA,FOX ,Communication Services,2025-11-28,-0.0029
GOOGL,ALPHABET INC.,Communication Services,2025-11-28,0.0685
IPG,THE INTERPUBLIC GROUP,Communication Services,2025-11-28,-0.0447
LYV,"LIVE NATION ENTERTAINMENT, INC.",Communication Services,2025-11-28,0.0063
META,"META PLATFORMS, INC.",Communication Services,2025-11-28,0.0904
MTCH,"MATCH GROUP, INC.",Communication Services,2025-11-28,0.0322
NFLX,"NETFLIX, INC.",Communication Services,2025-11-28,0.0313
NWSA,NEWS CORP.,Communication Services,2025-11-28,-0.0004
OMC,OMNICOM GROUP INC.,Communication Services,2025-11-28,-0.0434
PSKY,PARAMOUNT SKYDANCE ,Communication Services,2025-11-28,0.0082
T,AT&T INC.,Communication Services,2025-11-28,0.0035
TKO,"TKO GROUP HOLDINGS, INC.",Communication Services,2025-11-28,0.0882
TMUS,"T-MOBILE US, INC.",Communication Services,2025-11-28,-0.0022
TTD,"THE TRADE DESK, INC.",Communication Services,2025-11-28,-0.0023
TTWO,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",Communication Services,2025-11-28,0.045
VZ,VERIZON COMMUNICATIONS INC.,Communication Services,2025-11-28,-0.0029
