Date,Ticker,Ticker_name,Exposure,Category,model_score
2025-11-07,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,-12.0
2025-11-07,AAPL,APPLE INC.,Information Technology,Information Technology,-9.0
2025-11-07,ABBV,ABBVIE INC.,Health Care,Health Care,27.0
2025-11-07,ABNB,"AIRBNB, INC.",Consumer Discretionary,Consumer Discretionary,-7.0
2025-11-07,ABT,ABBOTT LABORATORIES,Health Care,Health Care,10.0
2025-11-07,ACGL,ARCH CAPITAL GROUP LTD.,Financials,Financials,-29.0
2025-11-07,ACN,ACCENTURE PUBLIC LIMITED COMPANY,Information Technology,Information Technology,6.0
2025-11-07,ADBE,ADOBE INC.,Information Technology,Information Technology,3.0
2025-11-07,ADI,"ANALOG DEVICES, INC.",Information Technology,Information Technology,-9.0
2025-11-07,ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,Consumer Staples,33.0
2025-11-07,ADP,"AUTOMATIC DATA PROCESSING, INC.",Industrials,Industrials,16.0
2025-11-07,ADSK,"AUTODESK, INC.",Information Technology,Information Technology,35.0
2025-11-07,AEE,AMEREN ,Utilities,Utilities,30.0
2025-11-07,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,Utilities,19.0
2025-11-07,AES,THE AES ,Utilities,Utilities,22.0
2025-11-07,AFL,AFLAC INC.,Financials,Financials,6.0
2025-11-07,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Financials,Financials,75.0
2025-11-07,AIZ,"ASSURANT, INC.",Financials,Financials,-53.0
2025-11-07,AJG,ARTHUR J. GALLAGHER & CO.,Financials,Financials,1.0
2025-11-07,AKAM,"AKAMAI TECHNOLOGIES, INC.",Information Technology,Information Technology,-27.0
2025-11-07,ALB,ALBEMARLE ,Materials,Materials,7.0
2025-11-07,ALGN,"ALIGN TECHNOLOGY, INC.",Health Care,Health Care,-58.0
2025-11-07,ALL,THE ALLSTATE ,Financials,Financials,-39.0
2025-11-07,ALLE,ALLEGION PUBLIC LIMITED COMPANY,Industrials,Industrials,53.0
2025-11-07,AMAT,"APPLIED MATERIALS, INC.",Information Technology,Information Technology,35.0
2025-11-07,AMCR,AMCOR PLC,Materials,Materials,-20.0
2025-11-07,AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,Information Technology,-7.0
2025-11-07,AME,"AMETEK, INC.",Industrials,Industrials,-39.0
2025-11-07,AMGN,AMGEN INC.,Health Care,Health Care,-43.0
2025-11-07,AMP,"AMERIPRISE FINANCIAL, INC.",Financials,Financials,-22.0
2025-11-07,AMT,AMERICAN TOWER ,Real Estate,Real Estate,13.0
2025-11-07,AMZN,"AMAZON.COM, INC.",Consumer Discretionary,Consumer Discretionary,24.0
2025-11-07,ANET,"ARISTA NETWORKS, INC.",Information Technology,Information Technology,15.0
2025-11-07,AON,AON PLC,Financials,Financials,-5.0
2025-11-07,AOS,A. O. SMITH ,Industrials,Industrials,-43.0
2025-11-07,APA,APA ,Energy,Energy,-74.0
2025-11-07,APD,"AIR PRODUCTS AND CHEMICALS, INC.",Materials,Materials,-10.0
2025-11-07,APH,AMPHENOL ,Information Technology,Information Technology,38.0
2025-11-07,APO,"APOLLO GLOBAL MANAGEMENT, INC.",Financials,Financials,-57.0
2025-11-07,APP,APPLOVIN CORP,Communication Services,Communication Services,-16.0
2025-11-07,APTV,APTIV PLC,Consumer Discretionary,Consumer Discretionary,25.0
2025-11-07,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",Real Estate,Real Estate,38.0
2025-11-07,ASC,ARDMORE SHIPPING ,,MR Discretion,-54.0
2025-11-07,ATO,ATMOS ENERGY ,Utilities,Utilities,56.0
2025-11-07,AVB,"AVALONBAY COMMUNITIES, INC.",Real Estate,Real Estate,3.0
2025-11-07,AVGO,BROADCOM INC.,Information Technology,Information Technology,8.0
2025-11-07,AVY,AVERY DENNISON ,Materials,Materials,-3.0
2025-11-07,AWK,"AMERICAN WATER WORKS COMPANY, INC.",Utilities,Utilities,28.0
2025-11-07,AXON,"AXON ENTERPRISE, INC.",Industrials,Industrials,11.0
2025-11-07,AXP,AMERICAN EXPRESS COMPANY,Financials,Financials,-37.0
2025-11-07,AZO,"AUTOZONE, INC.",Consumer Discretionary,Consumer Discretionary,37.0
2025-11-07,BA,THE BOEING COMPANY,Industrials,Industrials,39.0
2025-11-07,BAC,BANK OF AMERICA ,Financials,Financials,2.0
2025-11-07,BALL,BALL ,Materials,Materials,-16.0
2025-11-07,BAX,BAXTER INTERNATIONAL INC.,Health Care,Health Care,11.0
2025-11-07,BBY,"BEST BUY CO., INC.",Consumer Discretionary,Consumer Discretionary,-26.0
2025-11-07,BDX,"BECTON, DICKINSON AND COMPANY",Health Care,Health Care,-48.0
2025-11-07,BEN,"FRANKLIN RESOURCES, INC.",Financials,Financials,-13.0
2025-11-07,BF.B,BROWN-FORMAN ,Consumer Staples,Consumer Staples,-45.0
2025-11-07,BG,BUNGE LIMITED,Consumer Staples,Consumer Staples,-34.0
2025-11-07,BIIB,BIOGEN INC.,Health Care,Health Care,-7.0
2025-11-07,BK,THE BANK OF NEW YORK MELLON ,Financials,Financials,29.0
2025-11-07,BKNG,BOOKING HOLDINGS INC.,Consumer Discretionary,Consumer Discretionary,11.0
2025-11-07,BKR,BAKER HUGHES COMPANY,Energy,Energy,-1.0
2025-11-07,BLDR,"BUILDERS FIRSTSOURCE, INC.",Industrials,Industrials,20.0
2025-11-07,BLK,"BLACKROCK, INC.",Financials,Financials,56.0
2025-11-07,BMY,BRISTOL-MYERS SQUIBB COMPANY,Health Care,Health Care,16.0
2025-11-07,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",Industrials,Industrials,12.0
2025-11-07,BRK.B,"BERKSHIRE HATHAWAY INC.,",Financials,Financials,33.0
2025-11-07,BRO,"BROWN & BROWN, INC.",Financials,Financials,-72.0
2025-11-07,BSX,BOSTON SCIENTIFIC ,Health Care,Health Care,-28.0
2025-11-07,BTC=F,BITCOIN FUTURES,,Futures,11.0
2025-11-07,BTI,BRITISH AMERICAN TOBACCO P.L.C.,,MR Discretion,22.0
2025-11-07,BTU,PEABODY ENERGY ,,MR Discretion,11.0
2025-11-07,BX,BLACKSTONE INC,Financials,Financials,-15.0
2025-11-07,BXP,"BOSTON PROPERTIES, INC.",Real Estate,Real Estate,-6.0
2025-11-07,C,CITIGROUP INC.,Financials,Financials,-8.0
2025-11-07,CAG,"CONAGRA BRANDS, INC.",Consumer Staples,Consumer Staples,-5.0
2025-11-07,CAH,"CARDINAL HEALTH, INC.",Health Care,Health Care,-37.0
2025-11-07,CALM,"CAL-MAINE FOODS, INC.",,MR Discretion,-16.0
2025-11-07,CANE,TEUCRIUM:SUGAR,,Commodities,4.0
2025-11-07,CARR,CARRIER GLOBAL ,Industrials,Industrials,-28.0
