Ticker,Ticker_name,Category,Date,model_score,previous_model_score,model_score_daily_change
HYD,VANECK:HIGH YIELD MUNI,Bonds,2026-01-20,35.0,-24.0,59.0
TLT,ISHARES:20+ TRS BD ETF,Bonds,2026-01-20,29.0,-31.0,60.0
MUB,ISHARES:NATL MUNI BOND,Bonds,2026-01-20,29.0,11.0,18.0
IEF,ISHARES:7-10 TRS BD ETF,Bonds,2026-01-20,9.0,-12.0,21.0
TIP,ISHARES:TIPS BD ETF,Bonds,2026-01-20,9.0,-23.0,32.0
STIP,ISHARES:0-5 TIPS BD ETF,Bonds,2026-01-20,4.0,4.0,0.0
EDV,VANGUARD EXT DUR T;ETF,Bonds,2026-01-20,-4.0,-37.0,33.0
HYG,ISHARES:IBOXX $HY CORP,Bonds,2026-01-20,-10.0,-40.0,30.0
SCHP,SCHWAB STR:US TIPS,Bonds,2026-01-20,-16.0,7.0,-23.0
PFF,ISHARES:PREF AND INC SEC,Bonds,2026-01-20,-20.0,-26.0,6.0
LQD,ISHARES:IBOXX $IG CORP,Bonds,2026-01-20,-33.0,-5.0,-28.0
SHY,ISHARES:1-3 TRS BD ETF,Bonds,2026-01-20,-38.0,-38.0,0.0
JNK,SPDR BBG HIGH YIELD BD,Bonds,2026-01-20,-43.0,-43.0,0.0
CORN,TEUCRIUM:CORN,Commodities,2026-01-20,62.0,-10.0,72.0
GDXJ,VANECK:JR GOLD MINERS,Commodities,2026-01-20,54.0,-10.0,64.0
GDX,VANECK:GOLD MINERS,Commodities,2026-01-20,50.0,26.0,24.0
TAGS,TEUCRIUM:AGRICULTURAL,Commodities,2026-01-20,25.0,-7.0,32.0
DBB,INVESCO DB MS BMTL,Commodities,2026-01-20,24.0,4.0,20.0
SLV,ISHARES:SILVER TRUST,Commodities,2026-01-20,20.0,37.0,-17.0
SILJ,ETFMG PRIME JR SILVR MNR,Commodities,2026-01-20,16.0,16.0,0.0
CPER,UNITED STATES COPPER IDX,Commodities,2026-01-20,14.0,14.0,0.0
SOYB,TEUCRIUM:SOYBEAN,Commodities,2026-01-20,11.0,11.0,0.0
PPLT,ABRDN:PHYSICAL PLATINUM,Commodities,2026-01-20,9.0,26.0,-17.0
GLD,SPDR GOLD,Commodities,2026-01-20,5.0,-16.0,21.0
UNG,UNITED STATES NAT GAS,Commodities,2026-01-20,5.0,11.0,-6.0
WEAT,TEUCRIUM:WHEAT,Commodities,2026-01-20,-7.0,-24.0,17.0
DBA,INVESCO DB MS AGRI,Commodities,2026-01-20,-12.0,-12.0,0.0
CANE,TEUCRIUM:SUGAR,Commodities,2026-01-20,-12.0,-17.0,5.0
URA,GLBL X URANIUM ETF,Commodities,2026-01-20,-23.0,-40.0,17.0
COMT,ISHARES:GSCI COMM DYN RS,Commodities,2026-01-20,-27.0,9.0,-36.0
USO,UNITED STATES OIL FUND,Commodities,2026-01-20,-29.0,-26.0,-3.0
DBC,INVESCO DB CM IDX,Commodities,2026-01-20,-36.0,-2.0,-34.0
T,AT&T INC.,Communication Services,2026-01-20,56.0,48.0,8.0
TKO,"TKO GROUP HOLDINGS, INC.",Communication Services,2026-01-20,54.0,8.0,46.0
TTWO,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",Communication Services,2026-01-20,41.0,31.0,10.0
WBD,"WARNER BROS. DISCOVERY, INC.",Communication Services,2026-01-20,16.0,51.0,-35.0
DIS,THE WALT DISNEY COMPANY,Communication Services,2026-01-20,13.0,3.0,10.0
VZ,VERIZON COMMUNICATIONS INC.,Communication Services,2026-01-20,13.0,12.0,1.0
CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,2026-01-20,9.0,-32.0,41.0
FOXA,FOX ,Communication Services,2026-01-20,7.0,7.0,0.0
PSKY,PARAMOUNT SKYDANCE ,Communication Services,2026-01-20,2.0,-11.0,13.0
CMCSA,COMCAST ,Communication Services,2026-01-20,-1.0,4.0,-5.0
GOOGL,ALPHABET INC.,Communication Services,2026-01-20,-10.0,27.0,-37.0
TMUS,"T-MOBILE US, INC.",Communication Services,2026-01-20,-10.0,-3.0,-7.0
MTCH,"MATCH GROUP, INC.",Communication Services,2026-01-20,-11.0,36.0,-47.0
OMC,OMNICOM GROUP INC.,Communication Services,2026-01-20,-17.0,-10.0,-7.0
NWSA,NEWS CORP.,Communication Services,2026-01-20,-17.0,-21.0,4.0
NFLX,"NETFLIX, INC.",Communication Services,2026-01-20,-22.0,-20.0,-2.0
LYV,"LIVE NATION ENTERTAINMENT, INC.",Communication Services,2026-01-20,-26.0,-14.0,-12.0
EA,ELECTRONIC ARTS INC.,Communication Services,2026-01-20,-30.0,-5.0,-25.0
TTD,"THE TRADE DESK, INC.",Communication Services,2026-01-20,-34.0,-47.0,13.0
META,"META PLATFORMS, INC.",Communication Services,2026-01-20,-43.0,-56.0,13.0
BBY,"BEST BUY CO., INC.",Consumer Discretionary,2026-01-20,48.0,-32.0,80.0
CVNA,CARVANA CO.,Consumer Discretionary,2026-01-20,47.0,37.0,10.0
TJX,"THE TJX COMPANIES, INC.",Consumer Discretionary,2026-01-20,43.0,37.0,6.0
YUM,"YUM! BRANDS, INC.",Consumer Discretionary,2026-01-20,35.0,-36.0,71.0
DPZ,"DOMINO'S PIZZA, INC.",Consumer Discretionary,2026-01-20,31.0,28.0,3.0
EXPE,"EXPEDIA GROUP, INC.",Consumer Discretionary,2026-01-20,23.0,60.0,-37.0
MGM,MGM RESORTS INTERNATIONAL,Consumer Discretionary,2026-01-20,23.0,-18.0,41.0
APTV,APTIV PLC,Consumer Discretionary,2026-01-20,19.0,19.0,0.0
AMZN,"AMAZON.COM, INC.",Consumer Discretionary,2026-01-20,18.0,3.0,15.0
TPR,"TAPESTRY, INC.",Consumer Discretionary,2026-01-20,16.0,34.0,-18.0
GM,GENERAL MOTORS COMPANY,Consumer Discretionary,2026-01-20,15.0,51.0,-36.0
LULU,LULULEMON ATHLETICA INC.,Consumer Discretionary,2026-01-20,14.0,-10.0,24.0
F,FORD MOTOR COMPANY,Consumer Discretionary,2026-01-20,14.0,60.0,-46.0
ABNB,"AIRBNB, INC.",Consumer Discretionary,2026-01-20,13.0,7.0,6.0
LVS,LAS VEGAS SANDS CORP.,Consumer Discretionary,2026-01-20,13.0,36.0,-23.0
DASH,"DOORDASH, INC.",Consumer Discretionary,2026-01-20,12.0,17.0,-5.0
BKNG,BOOKING HOLDINGS INC.,Consumer Discretionary,2026-01-20,12.0,-8.0,20.0
MCD,MCDONALD'S ,Consumer Discretionary,2026-01-20,9.0,11.0,-2.0
DECK,DECKERS OUTDOOR ,Consumer Discretionary,2026-01-20,8.0,-18.0,26.0
RCL,ROYAL CARIBBEAN CRUISES LTD.,Consumer Discretionary,2026-01-20,7.0,-5.0,12.0
SBUX,STARBUCKS ,Consumer Discretionary,2026-01-20,6.0,1.0,5.0
PHM,"PULTEGROUP, INC.",Consumer Discretionary,2026-01-20,3.0,-28.0,31.0
EBAY,EBAY INC.,Consumer Discretionary,2026-01-20,3.0,15.0,-12.0
TSCO,TRACTOR SUPPLY COMPANY,Consumer Discretionary,2026-01-20,3.0,12.0,-9.0
CCL,CARNIVAL CORP,Consumer Discretionary,2026-01-20,-1.0,-43.0,42.0
MAR,"MARRIOTT INTERNATIONAL, INC.",Consumer Discretionary,2026-01-20,-5.0,-36.0,31.0
RL,RALPH LAUREN ,Consumer Discretionary,2026-01-20,-6.0,40.0,-46.0
NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD.,Consumer Discretionary,2026-01-20,-8.0,-32.0,24.0
GRMN,GARMIN LTD,Consumer Discretionary,2026-01-20,-9.0,-35.0,26.0
NVR,"NVR, INC.",Consumer Discretionary,2026-01-20,-13.0,-34.0,21.0
HAS,"HASBRO, INC.",Consumer Discretionary,2026-01-20,-14.0,45.0,-59.0
AZO,"AUTOZONE, INC.",Consumer Discretionary,2026-01-20,-14.0,-21.0,7.0
WYNN,"WYNN RESORTS, LIMITED",Consumer Discretionary,2026-01-20,-15.0,55.0,-70.0
ROST,"ROSS STORES, INC.",Consumer Discretionary,2026-01-20,-17.0,-22.0,5.0
DHI,"D.R. HORTON, INC.",Consumer Discretionary,2026-01-20,-22.0,-19.0,-3.0
TSLA,"TESLA, INC.",Consumer Discretionary,2026-01-20,-26.0,35.0,-61.0
WSM,"WILLIAMS-SONOMA, INC.",Consumer Discretionary,2026-01-20,-28.0,1.0,-29.0
ORLY,"O'REILLY AUTOMOTIVE, INC.",Consumer Discretionary,2026-01-20,-31.0,-5.0,-26.0
ULTA,"ULTA BEAUTY, INC.",Consumer Discretionary,2026-01-20,-37.0,-23.0,-14.0
HLT,HILTON WORLDWIDE HOLDINGS INC.,Consumer Discretionary,2026-01-20,-39.0,-27.0,-12.0
NKE,"NIKE, INC.",Consumer Discretionary,2026-01-20,-39.0,6.0,-45.0
LOW,"LOWE'S COMPANIES, INC.",Consumer Discretionary,2026-01-20,-41.0,-43.0,2.0
GPC,GENUINE PARTS COMPANY,Consumer Discretionary,2026-01-20,-46.0,-8.0,-38.0
HD,"THE HOME DEPOT, INC.",Consumer Discretionary,2026-01-20,-54.0,-41.0,-13.0
DRI,"DARDEN RESTAURANTS, INC.",Consumer Discretionary,2026-01-20,-57.0,-43.0,-14.0
POOL,POOL ,Consumer Discretionary,2026-01-20,-77.0,-2.0,-75.0
CMG,"CHIPOTLE MEXICAN GRILL, INC.",Consumer Discretionary,2026-01-20,-78.0,-50.0,-28.0
LEN,LENNAR ,Consumer Discretionary,2026-01-20,-94.0,-68.0,-26.0
MKC,"MCCORMICK & COMPANY, INC.",Consumer Staples,2026-01-20,25.0,25.0,0.0
HSY,THE HERSHEY COMPANY,Consumer Staples,2026-01-20,24.0,4.0,20.0
DG,DOLLAR GENERAL ,Consumer Staples,2026-01-20,22.0,25.0,-3.0
LW,"LAMB WESTON HOLDINGS, INC.",Consumer Staples,2026-01-20,18.0,56.0,-38.0
SYY,SYSCO ,Consumer Staples,2026-01-20,15.0,-24.0,39.0
WMT,WALMART INC.,Consumer Staples,2026-01-20,14.0,17.0,-3.0
PEP,"PEPSICO, INC.",Consumer Staples,2026-01-20,6.0,-9.0,15.0
KMB,KIMBERLY-CLARK ,Consumer Staples,2026-01-20,-1.0,9.0,-10.0
BG,BUNGE LIMITED,Consumer Staples,2026-01-20,-2.0,-39.0,37.0
PM,PHILIP MORRIS INTERNATIONAL INC.,Consumer Staples,2026-01-20,-5.0,-7.0,2.0
KR,THE KROGER CO.,Consumer Staples,2026-01-20,-5.0,-5.0,0.0
CPB,CAMPBELL SOUP COMPANY,Consumer Staples,2026-01-20,-6.0,-27.0,21.0
GIS,"GENERAL MILLS, INC.",Consumer Staples,2026-01-20,-8.0,40.0,-48.0
EL,THE ESTEE LAUDER COMPANIES INC.,Consumer Staples,2026-01-20,-9.0,-35.0,26.0
KO,THE COCA-COLA COMPANY,Consumer Staples,2026-01-20,-10.0,30.0,-40.0
KVUE,KENVUE INC.,Consumer Staples,2026-01-20,-12.0,-10.0,-2.0
CAG,"CONAGRA BRANDS, INC.",Consumer Staples,2026-01-20,-13.0,-13.0,0.0
MNST,MONSTER BEVERAGE ,Consumer Staples,2026-01-20,-14.0,6.0,-20.0
ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,2026-01-20,-16.0,13.0,-29.0
MO,"ALTRIA GROUP, INC.",Consumer Staples,2026-01-20,-17.0,-17.0,0.0
KDP,KEURIG DR PEPPER INC.,Consumer Staples,2026-01-20,-26.0,14.0,-40.0
STZ,"CONSTELLATION BRANDS, INC.",Consumer Staples,2026-01-20,-27.0,-60.0,33.0
DLTR,"DOLLAR TREE, INC.",Consumer Staples,2026-01-20,-27.0,-16.0,-11.0
SJM,THE J. M. SMUCKER COMPANY,Consumer Staples,2026-01-20,-28.0,6.0,-34.0
TGT,TARGET ,Consumer Staples,2026-01-20,-35.0,-2.0,-33.0
CHD,"CHURCH & DWIGHT CO., INC.",Consumer Staples,2026-01-20,-35.0,-20.0,-15.0
CL,COLGATE-PALMOLIVE COMPANY,Consumer Staples,2026-01-20,-35.0,-60.0,25.0
PG,THE PROCTER & GAMBLE COMPANY,Consumer Staples,2026-01-20,-36.0,-10.0,-26.0
BF.B,BROWN-FORMAN ,Consumer Staples,2026-01-20,-38.0,4.0,-42.0
TSN,"TYSON FOODS, INC.",Consumer Staples,2026-01-20,-40.0,-3.0,-37.0
