Date,Ticker,Ticker_name,Exposure,Category,model_score_mtd_change,current_model_score,previous_model_score
2026-02-09,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,23.0,30.0,7.0
2026-02-09,AAPL,APPLE INC.,Information Technology,Information Technology,-85.0,-37.0,48.0
2026-02-09,ABBV,ABBVIE INC.,Health Care,Health Care,-21.0,6.0,27.0
2026-02-09,ABNB,"AIRBNB, INC.",Consumer Discretionary,Consumer Discretionary,-26.0,-3.0,23.0
2026-02-09,ABT,ABBOTT LABORATORIES,Health Care,Health Care,27.0,27.0,0.0
2026-02-09,ACGL,ARCH CAPITAL GROUP LTD.,Financials,Financials,-66.0,-33.0,33.0
2026-02-09,ACN,ACCENTURE PUBLIC LIMITED COMPANY,Information Technology,Information Technology,52.0,39.0,-13.0
2026-02-09,ADBE,ADOBE INC.,Information Technology,Information Technology,50.0,24.0,-26.0
2026-02-09,ADI,"ANALOG DEVICES, INC.",Information Technology,Information Technology,39.0,25.0,-14.0
2026-02-09,ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,Consumer Staples,59.0,34.0,-25.0
2026-02-09,ADP,"AUTOMATIC DATA PROCESSING, INC.",Industrials,Industrials,-33.0,34.0,67.0
2026-02-09,ADSK,"AUTODESK, INC.",Information Technology,Information Technology,27.0,33.0,6.0
2026-02-09,AEE,AMEREN ,Utilities,Utilities,23.0,17.0,-6.0
2026-02-09,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,Utilities,38.0,14.0,-24.0
2026-02-09,AES,THE AES ,Utilities,Utilities,-95.0,-53.0,42.0
2026-02-09,AFL,AFLAC INC.,Financials,Financials,8.0,-1.0,-9.0
2026-02-09,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Financials,Financials,-59.0,-32.0,27.0
2026-02-09,AIZ,"ASSURANT, INC.",Financials,Financials,-12.0,-4.0,8.0
2026-02-09,AJG,ARTHUR J. GALLAGHER & CO.,Financials,Financials,-49.0,-38.0,11.0
2026-02-09,AKAM,"AKAMAI TECHNOLOGIES, INC.",Information Technology,Information Technology,10.0,-33.0,-43.0
2026-02-09,ALB,ALBEMARLE ,Materials,Materials,45.0,43.0,-2.0
2026-02-09,ALGN,"ALIGN TECHNOLOGY, INC.",Health Care,Health Care,-71.0,-64.0,7.0
2026-02-09,ALL,THE ALLSTATE ,Financials,Financials,-25.0,-25.0,0.0
2026-02-09,ALLE,ALLEGION PUBLIC LIMITED COMPANY,Industrials,Industrials,-12.0,-43.0,-31.0
2026-02-09,AMAT,"APPLIED MATERIALS, INC.",Information Technology,Information Technology,89.0,36.0,-53.0
2026-02-09,AMCR,AMCOR PLC,Materials,Materials,16.0,-21.0,-37.0
2026-02-09,AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,Information Technology,3.0,38.0,35.0
2026-02-09,AME,"AMETEK, INC.",Industrials,Industrials,29.0,-27.0,-56.0
2026-02-09,AMGN,AMGEN INC.,Health Care,Health Care,-49.0,-60.0,-11.0
2026-02-09,AMP,"AMERIPRISE FINANCIAL, INC.",Financials,Financials,-21.0,-53.0,-32.0
2026-02-09,AMT,AMERICAN TOWER ,Real Estate,Real Estate,-13.0,-7.0,6.0
2026-02-09,AMZN,"AMAZON.COM, INC.",Consumer Discretionary,Consumer Discretionary,53.0,14.0,-39.0
2026-02-09,ANET,"ARISTA NETWORKS, INC.",Information Technology,Information Technology,-9.0,11.0,20.0
2026-02-09,AON,AON PLC,Financials,Financials,-15.0,-26.0,-11.0
2026-02-09,AOS,A. O. SMITH ,Industrials,Industrials,-38.0,-70.0,-32.0
2026-02-09,APA,APA ,Energy,Energy,-14.0,-45.0,-31.0
2026-02-09,APD,"AIR PRODUCTS AND CHEMICALS, INC.",Materials,Materials,30.0,3.0,-27.0
2026-02-09,APH,AMPHENOL ,Information Technology,Information Technology,18.0,29.0,11.0
2026-02-09,APO,"APOLLO GLOBAL MANAGEMENT, INC.",Financials,Financials,-43.0,4.0,47.0
2026-02-09,APP,APPLOVIN CORP,Information Technology,Information Technology,13.0,0.0,-13.0
2026-02-09,APTV,APTIV PLC,Consumer Discretionary,Consumer Discretionary,26.0,27.0,1.0
2026-02-09,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",Real Estate,Real Estate,35.0,-33.0,-68.0
2026-02-09,ARES,ARES MANAGEMENT CORP,Financials,Financials,15.0,32.0,17.0
2026-02-09,ASC,ARDMORE SHIPPING ,,MR Discretion,-41.0,-43.0,-2.0
2026-02-09,ATO,ATMOS ENERGY ,Utilities,Utilities,-47.0,7.0,54.0
2026-02-09,AVB,"AVALONBAY COMMUNITIES, INC.",Real Estate,Real Estate,10.0,-22.0,-32.0
2026-02-09,AVGO,BROADCOM INC.,Information Technology,Information Technology,-2.0,38.0,40.0
2026-02-09,AVY,AVERY DENNISON ,Materials,Materials,27.0,15.0,-12.0
2026-02-09,AWK,"AMERICAN WATER WORKS COMPANY, INC.",Utilities,Utilities,26.0,61.0,35.0
2026-02-09,AXON,"AXON ENTERPRISE, INC.",Industrials,Industrials,-23.0,0.0,23.0
2026-02-09,AXP,AMERICAN EXPRESS COMPANY,Financials,Financials,-24.0,-34.0,-10.0
2026-02-09,AZO,"AUTOZONE, INC.",Consumer Discretionary,Consumer Discretionary,33.0,-7.0,-40.0
2026-02-09,BA,THE BOEING COMPANY,Industrials,Industrials,-4.0,-41.0,-37.0
2026-02-09,BAC,BANK OF AMERICA ,Financials,Financials,-46.0,-19.0,27.0
