Date,Ticker,Ticker_name,Exposure,Category,model_score_qtd_change,current_model_score,previous_model_score
2025-10-02,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,-9.0,0.0,9.0
2025-10-02,AAPL,APPLE INC.,Information Technology,Information Technology,-4.0,-12.0,-8.0
2025-10-02,ABBV,ABBVIE INC.,Health Care,Health Care,3.0,12.0,9.0
2025-10-02,ABNB,"AIRBNB, INC.",Consumer Discretionary,Consumer Discretionary,-5.0,5.0,10.0
2025-10-02,ABT,ABBOTT LABORATORIES,Health Care,Health Care,-12.0,-12.0,0.0
2025-10-02,ACGL,ARCH CAPITAL GROUP LTD.,Financials,Financials,8.0,60.0,52.0
2025-10-02,ACN,ACCENTURE PUBLIC LIMITED COMPANY,Information Technology,Information Technology,-5.0,6.0,11.0
2025-10-02,ADBE,ADOBE INC.,Information Technology,Information Technology,13.0,-7.0,-20.0
2025-10-02,ADI,"ANALOG DEVICES, INC.",Information Technology,Information Technology,17.0,54.0,37.0
2025-10-02,ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,Consumer Staples,12.0,45.0,33.0
2025-10-02,ADP,"AUTOMATIC DATA PROCESSING, INC.",Industrials,Industrials,1.0,31.0,30.0
2025-10-02,ADSK,"AUTODESK, INC.",Information Technology,Information Technology,0.0,28.0,28.0
2025-10-02,AEE,AMEREN ,Utilities,Utilities,20.0,41.0,21.0
2025-10-02,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,Utilities,-13.0,15.0,28.0
2025-10-02,AES,THE AES ,Utilities,Utilities,-24.0,9.0,33.0
2025-10-02,AFL,AFLAC INC.,Financials,Financials,-2.0,-40.0,-38.0
2025-10-02,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Financials,Financials,-13.0,1.0,14.0
2025-10-02,AIZ,"ASSURANT, INC.",Financials,Financials,1.0,12.0,11.0
2025-10-02,AJG,ARTHUR J. GALLAGHER & CO.,Financials,Financials,-5.0,-18.0,-13.0
2025-10-02,AKAM,"AKAMAI TECHNOLOGIES, INC.",Information Technology,Information Technology,-4.0,-8.0,-4.0
2025-10-02,ALB,ALBEMARLE ,Materials,Materials,-22.0,-14.0,8.0
2025-10-02,ALGN,"ALIGN TECHNOLOGY, INC.",Health Care,Health Care,-5.0,-8.0,-3.0
2025-10-02,ALL,THE ALLSTATE ,Financials,Financials,24.0,17.0,-7.0
2025-10-02,ALLE,ALLEGION PUBLIC LIMITED COMPANY,Industrials,Industrials,6.0,11.0,5.0
2025-10-02,AMAT,"APPLIED MATERIALS, INC.",Information Technology,Information Technology,-8.0,-28.0,-20.0
2025-10-02,AMCR,AMCOR PLC,Materials,Materials,-17.0,5.0,22.0
2025-10-02,AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,Information Technology,-1.0,-3.0,-2.0
2025-10-02,AME,"AMETEK, INC.",Industrials,Industrials,22.0,37.0,15.0
2025-10-02,AMGN,AMGEN INC.,Health Care,Health Care,-35.0,-13.0,22.0
2025-10-02,AMP,"AMERIPRISE FINANCIAL, INC.",Financials,Financials,0.0,-13.0,-13.0
2025-10-02,AMT,AMERICAN TOWER ,Real Estate,Real Estate,-6.0,-32.0,-26.0
2025-10-02,AMZN,"AMAZON.COM, INC.",Consumer Discretionary,Consumer Discretionary,-3.0,55.0,58.0
2025-10-02,ANET,"ARISTA NETWORKS, INC.",Information Technology,Information Technology,18.0,46.0,28.0
2025-10-02,AON,AON PLC,Financials,Financials,-17.0,55.0,72.0
2025-10-02,AOS,A. O. SMITH ,Industrials,Industrials,8.0,19.0,11.0
2025-10-02,APA,APA ,Energy,Energy,-1.0,5.0,6.0
2025-10-02,APD,"AIR PRODUCTS AND CHEMICALS, INC.",Materials,Materials,-13.0,58.0,71.0
2025-10-02,APH,AMPHENOL ,Information Technology,Information Technology,16.0,15.0,-1.0
2025-10-02,APO,"APOLLO GLOBAL MANAGEMENT, INC.",Financials,Financials,16.0,17.0,1.0
2025-10-02,APTV,APTIV PLC,Consumer Discretionary,Consumer Discretionary,1.0,-3.0,-4.0
2025-10-02,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",Real Estate,Real Estate,5.0,16.0,11.0
2025-10-02,ASC,ARDMORE SHIPPING ,Discretionary,MR Discretion,13.0,62.0,49.0
2025-10-02,ATO,ATMOS ENERGY ,Utilities,Utilities,18.0,23.0,5.0
2025-10-02,AVB,"AVALONBAY COMMUNITIES, INC.",Real Estate,Real Estate,20.0,-23.0,-43.0
2025-10-02,AVGO,BROADCOM INC.,Information Technology,Information Technology,2.0,33.0,31.0
2025-10-02,AVY,AVERY DENNISON ,Materials,Materials,-6.0,-5.0,1.0
2025-10-02,AWK,"AMERICAN WATER WORKS COMPANY, INC.",Utilities,Utilities,18.0,22.0,4.0
2025-10-02,AXON,"AXON ENTERPRISE, INC.",Industrials,Industrials,0.0,73.0,73.0
2025-10-02,AXP,AMERICAN EXPRESS COMPANY,Financials,Financials,-1.0,19.0,20.0
2025-10-02,AZO,"AUTOZONE, INC.",Consumer Discretionary,Consumer Discretionary,22.0,69.0,47.0
2025-10-02,BA,THE BOEING COMPANY,Industrials,Industrials,-16.0,50.0,66.0
2025-10-02,BAC,BANK OF AMERICA ,Financials,Financials,34.0,41.0,7.0
2025-10-02,BALL,BALL ,Materials,Materials,-12.0,-29.0,-17.0
2025-10-02,BAX,BAXTER INTERNATIONAL INC.,Health Care,Health Care,-12.0,2.0,14.0
2025-10-02,BBY,"BEST BUY CO., INC.",Consumer Discretionary,Consumer Discretionary,8.0,10.0,2.0
2025-10-02,BDX,"BECTON, DICKINSON AND COMPANY",Health Care,Health Care,-14.0,-9.0,5.0
2025-10-02,BEN,"FRANKLIN RESOURCES, INC.",Financials,Financials,18.0,39.0,21.0
2025-10-02,BF.B,BROWN-FORMAN ,Consumer Staples,Consumer Staples,-35.0,-18.0,17.0
2025-10-02,BG,BUNGE LIMITED,Consumer Staples,Consumer Staples,-45.0,-34.0,11.0
2025-10-02,BIIB,BIOGEN INC.,Health Care,Health Care,-2.0,5.0,7.0
2025-10-02,BK,THE BANK OF NEW YORK MELLON ,Financials,Financials,44.0,60.0,16.0
2025-10-02,BKNG,BOOKING HOLDINGS INC.,Consumer Discretionary,Consumer Discretionary,0.0,19.0,19.0
2025-10-02,BKR,BAKER HUGHES COMPANY,Energy,Energy,23.0,49.0,26.0
2025-10-02,BLDR,"BUILDERS FIRSTSOURCE, INC.",Industrials,Industrials,-4.0,34.0,38.0
2025-10-02,BLK,"BLACKROCK, INC.",Financials,Financials,26.0,22.0,-4.0
2025-10-02,BMY,BRISTOL-MYERS SQUIBB COMPANY,Health Care,Health Care,-50.0,7.0,57.0
2025-10-02,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",Industrials,Industrials,8.0,87.0,79.0
2025-10-02,BRK.B,"BERKSHIRE HATHAWAY INC.,",Financials,Financials,17.0,-8.0,-25.0
2025-10-02,BRO,"BROWN & BROWN, INC.",Financials,Financials,-1.0,7.0,8.0
2025-10-02,BSX,BOSTON SCIENTIFIC ,Health Care,Health Care,-3.0,43.0,46.0
2025-10-02,BTC=F,BITCOIN FUTURES,Futures,Futures,-8.0,-9.0,-1.0
2025-10-02,BTI,BRITISH AMERICAN TOBACCO P.L.C.,CE - Dividend Portfolio,MR Discretion,-3.0,49.0,52.0
2025-10-02,BTU,PEABODY ENERGY ,CE - Cap Gain,MR Discretion,1.0,-7.0,-8.0
2025-10-02,BX,BLACKSTONE INC,Financials,Financials,20.0,81.0,61.0
2025-10-02,BXP,"BOSTON PROPERTIES, INC.",Real Estate,Real Estate,5.0,25.0,20.0
2025-10-02,C,CITIGROUP INC.,Financials,Financials,46.0,55.0,9.0
2025-10-02,CAG,"CONAGRA BRANDS, INC.",Consumer Staples,Consumer Staples,-4.0,-7.0,-3.0
2025-10-02,CAH,"CARDINAL HEALTH, INC.",Health Care,Health Care,-1.0,-24.0,-23.0
2025-10-02,CARR,CARRIER GLOBAL ,Industrials,Industrials,-4.0,23.0,27.0
2025-10-02,CAT,CATERPILLAR INC.,Industrials,Industrials,-12.0,-33.0,-21.0
2025-10-02,CB,CHUBB LTD,Financials,Financials,-2.0,-22.0,-20.0
2025-10-02,CBOE,"CBOE GLOBAL MARKETS, INC.",Financials,Financials,30.0,-8.0,-38.0
2025-10-02,CBRE,"CBRE GROUP, INC.",Real Estate,Real Estate,-2.0,88.0,90.0
2025-10-02,CCI,CROWN CASTLE INC.,Real Estate,Real Estate,-6.0,-2.0,4.0
2025-10-02,CCJ,CAMECO ,Discretionary,MR Discretion,2.0,4.0,2.0
2025-10-02,CCL,CARNIVAL CORP,Consumer Discretionary,Consumer Discretionary,3.0,64.0,61.0
2025-10-02,CDNS,"CADENCE DESIGN SYSTEMS, INC.",Information Technology,Information Technology,-10.0,34.0,44.0
2025-10-02,CDW,CDW ,Information Technology,Information Technology,-1.0,11.0,12.0
2025-10-02,CEG,CONSTELLATION ENERGY .,Utilities,Utilities,-5.0,-2.0,3.0
2025-10-02,CF,"CF INDUSTRIES HOLDINGS, INC.",Materials,Materials,-4.0,-23.0,-19.0
2025-10-02,CFG,"CITIZENS FINANCIAL GROUP, INC.",Financials,Financials,9.0,17.0,8.0
2025-10-02,CHD,"CHURCH & DWIGHT CO., INC.",Consumer Staples,Consumer Staples,-12.0,25.0,37.0
2025-10-02,CHRW,"C.H. ROBINSON WORLDWIDE, INC.",Industrials,Industrials,8.0,22.0,14.0
2025-10-02,CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,Communication Services,4.0,-23.0,-27.0
2025-10-02,CI,THE CIGNA GROUP,Health Care,Health Care,-11.0,22.0,33.0
2025-10-02,CINF,CINCINNATI FINANCIAL ,Financials,Financials,-4.0,0.0,4.0
2025-10-02,CIVI,"CIVITAS RESOURCES, INC.",CE - Dividend Portfolio,MR Discretion,-6.0,44.0,50.0
2025-10-02,CL,COLGATE-PALMOLIVE COMPANY,Consumer Staples,Consumer Staples,6.0,38.0,32.0
2025-10-02,CLX,THE CLOROX COMPANY,Consumer Staples,Consumer Staples,-7.0,17.0,24.0
2025-10-02,CMBT,CMB.TECH NV,Discretionary,MR Discretion,13.0,-19.0,-32.0
2025-10-02,CMCSA,COMCAST ,Communication Services,Communication Services,12.0,36.0,24.0
2025-10-02,CME,CME GROUP INC.,Financials,Financials,20.0,22.0,2.0
2025-10-02,CMG,"CHIPOTLE MEXICAN GRILL, INC.",Consumer Discretionary,Consumer Discretionary,0.0,13.0,13.0
2025-10-02,CMI,CUMMINS INC.,Industrials,Industrials,-1.0,11.0,12.0
2025-10-02,CMRE,COSTAMARE INC.,Discretionary,MR Discretion,44.0,73.0,29.0
2025-10-02,CMS,CMS ENERGY ,Utilities,Utilities,17.0,11.0,-6.0
2025-10-02,CNC,CENTENE ,Health Care,Health Care,-2.0,-9.0,-7.0
2025-10-02,CNP,"CENTERPOINT ENERGY, INC.",Utilities,Utilities,3.0,37.0,34.0
