Date,Ticker,Ticker_name,Exposure,Category,model_score_wtd_change,current_model_score,previous_model_score
2025-10-17,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,-26.0,-70.0,-44.0
2025-10-17,AAPL,APPLE INC.,Information Technology,Information Technology,-63.0,-30.0,33.0
2025-10-17,ABBV,ABBVIE INC.,Health Care,Health Care,8.0,3.0,-5.0
2025-10-17,ABNB,"AIRBNB, INC.",Consumer Discretionary,Consumer Discretionary,8.0,-33.0,-41.0
2025-10-17,ABT,ABBOTT LABORATORIES,Health Care,Health Care,43.0,43.0,0.0
2025-10-17,ACGL,ARCH CAPITAL GROUP LTD.,Financials,Financials,84.0,26.0,-58.0
2025-10-17,ACN,ACCENTURE PUBLIC LIMITED COMPANY,Information Technology,Information Technology,0.0,-26.0,-26.0
2025-10-17,ADBE,ADOBE INC.,Information Technology,Information Technology,-24.0,-41.0,-17.0
2025-10-17,ADI,"ANALOG DEVICES, INC.",Information Technology,Information Technology,-79.0,-0.0,79.0
2025-10-17,ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,Consumer Staples,-40.0,-33.0,7.0
2025-10-17,ADP,"AUTOMATIC DATA PROCESSING, INC.",Industrials,Industrials,15.0,-8.0,-23.0
2025-10-17,ADSK,"AUTODESK, INC.",Information Technology,Information Technology,0.0,42.0,42.0
2025-10-17,AEE,AMEREN ,Utilities,Utilities,-53.0,18.0,71.0
2025-10-17,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,Utilities,-13.0,-13.0,0.0
2025-10-17,AES,THE AES ,Utilities,Utilities,-12.0,-38.0,-26.0
2025-10-17,AFL,AFLAC INC.,Financials,Financials,40.0,16.0,-24.0
2025-10-17,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Financials,Financials,56.0,30.0,-26.0
2025-10-17,AIZ,"ASSURANT, INC.",Financials,Financials,45.0,21.0,-24.0
2025-10-17,AJG,ARTHUR J. GALLAGHER & CO.,Financials,Financials,78.0,41.0,-37.0
2025-10-17,AKAM,"AKAMAI TECHNOLOGIES, INC.",Information Technology,Information Technology,-38.0,-73.0,-35.0
2025-10-17,ALB,ALBEMARLE ,Materials,Materials,2.0,-27.0,-29.0
2025-10-17,ALGN,"ALIGN TECHNOLOGY, INC.",Health Care,Health Care,0.0,-0.0,-0.0
2025-10-17,ALL,THE ALLSTATE ,Financials,Financials,33.0,76.0,43.0
2025-10-17,ALLE,ALLEGION PUBLIC LIMITED COMPANY,Industrials,Industrials,12.0,59.0,47.0
2025-10-17,AMAT,"APPLIED MATERIALS, INC.",Information Technology,Information Technology,-14.0,-52.0,-38.0
2025-10-17,AMCR,AMCOR PLC,Materials,Materials,-27.0,-14.0,13.0
2025-10-17,AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,Information Technology,-19.0,-99.0,-80.0
2025-10-17,AME,"AMETEK, INC.",Industrials,Industrials,-32.0,-17.0,15.0
2025-10-17,AMGN,AMGEN INC.,Health Care,Health Care,-22.0,-48.0,-26.0
2025-10-17,AMP,"AMERIPRISE FINANCIAL, INC.",Financials,Financials,32.0,17.0,-15.0
2025-10-17,AMT,AMERICAN TOWER ,Real Estate,Real Estate,-34.0,-21.0,13.0
2025-10-17,AMZN,"AMAZON.COM, INC.",Consumer Discretionary,Consumer Discretionary,-82.0,-1.0,81.0
2025-10-17,ANET,"ARISTA NETWORKS, INC.",Information Technology,Information Technology,-4.0,58.0,62.0
2025-10-17,AON,AON PLC,Financials,Financials,78.0,50.0,-28.0
2025-10-17,AOS,A. O. SMITH ,Industrials,Industrials,-37.0,17.0,54.0
2025-10-17,APA,APA ,Energy,Energy,-8.0,6.0,14.0
2025-10-17,APD,"AIR PRODUCTS AND CHEMICALS, INC.",Materials,Materials,-27.0,-28.0,-1.0
2025-10-17,APH,AMPHENOL ,Information Technology,Information Technology,-23.0,25.0,48.0
2025-10-17,APO,"APOLLO GLOBAL MANAGEMENT, INC.",Financials,Financials,2.0,36.0,34.0
2025-10-17,APP,APPLOVIN CORP,Communication Services,Communication Services,3.0,79.0,76.0
2025-10-17,APTV,APTIV PLC,Consumer Discretionary,Consumer Discretionary,-17.0,8.0,25.0
2025-10-17,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",Real Estate,Real Estate,-14.0,0.0,14.0
2025-10-17,ASC,ARDMORE SHIPPING ,,MR Discretion,-34.0,-8.0,26.0
2025-10-17,ATO,ATMOS ENERGY ,Utilities,Utilities,31.0,18.0,-13.0
2025-10-17,AVB,"AVALONBAY COMMUNITIES, INC.",Real Estate,Real Estate,16.0,-0.0,-16.0
2025-10-17,AVGO,BROADCOM INC.,Information Technology,Information Technology,66.0,59.0,-7.0
2025-10-17,AVY,AVERY DENNISON ,Materials,Materials,13.0,-15.0,-28.0
2025-10-17,AWK,"AMERICAN WATER WORKS COMPANY, INC.",Utilities,Utilities,-6.0,-33.0,-27.0
2025-10-17,AXON,"AXON ENTERPRISE, INC.",Industrials,Industrials,-16.0,48.0,64.0
2025-10-17,AXP,AMERICAN EXPRESS COMPANY,Financials,Financials,-55.0,11.0,66.0
2025-10-17,AZO,"AUTOZONE, INC.",Consumer Discretionary,Consumer Discretionary,0.0,43.0,43.0
2025-10-17,BA,THE BOEING COMPANY,Industrials,Industrials,5.0,9.0,4.0
2025-10-17,BAC,BANK OF AMERICA ,Financials,Financials,0.0,36.0,36.0
2025-10-17,BALL,BALL ,Materials,Materials,16.0,6.0,-10.0
2025-10-17,BAX,BAXTER INTERNATIONAL INC.,Health Care,Health Care,-62.0,-39.0,23.0
2025-10-17,BBY,"BEST BUY CO., INC.",Consumer Discretionary,Consumer Discretionary,-103.0,-77.0,26.0
2025-10-17,BDX,"BECTON, DICKINSON AND COMPANY",Health Care,Health Care,-10.0,-51.0,-41.0
2025-10-17,BEN,"FRANKLIN RESOURCES, INC.",Financials,Financials,68.0,41.0,-27.0
2025-10-17,BF.B,BROWN-FORMAN ,Consumer Staples,Consumer Staples,-48.0,-92.0,-44.0
2025-10-17,BG,BUNGE LIMITED,Consumer Staples,Consumer Staples,-101.0,-80.0,21.0
2025-10-17,BIIB,BIOGEN INC.,Health Care,Health Care,-24.0,-25.0,-1.0
2025-10-17,BK,THE BANK OF NEW YORK MELLON ,Financials,Financials,-3.0,43.0,46.0
2025-10-17,BKNG,BOOKING HOLDINGS INC.,Consumer Discretionary,Consumer Discretionary,-31.0,0.0,31.0
2025-10-17,BKR,BAKER HUGHES COMPANY,Energy,Energy,0.0,41.0,41.0
