Date,Ticker,st_trend,mt_trend,lt_trend
2025-12-05,A,-0.1913,0.0378,0.0192
2025-12-05,AAPL,0.0653,0.0348,0.0268
2025-12-05,ABBV,-0.0475,0.0227,0.046
2025-12-05,ABNB,0.1804,-0.0235,-0.0402
2025-12-05,ABT,-0.0156,-0.0096,0.0217
2025-12-05,ACGL,-0.0035,0.0041,0.0133
2025-12-05,ACN,0.0077,0.0272,-0.0263
2025-12-05,ADBE,0.1076,0.0123,-0.0708
2025-12-05,ADI,0.0555,0.016,0.0186
2025-12-05,ADM,-0.2487,-0.0219,-0.0488
2025-12-05,ADP,0.01,-0.0261,0.0134
2025-12-05,ADSK,0.3578,-0.0142,0.0166
2025-12-05,AEE,0.1284,-0.0133,0.0408
2025-12-05,AEP,-0.0133,0.0196,0.0446
2025-12-05,AES,0.0188,0.0295,-0.0258
2025-12-05,AFL,-0.068,0.0245,0.0395
2025-12-05,AIG,-0.053,-0.0036,0.0237
2025-12-05,AIZ,0.0547,0.0132,0.0194
2025-12-05,AJG,-0.0604,-0.0517,0.0174
2025-12-05,AKAM,-0.0964,0.0147,-0.0381
2025-12-05,ALB,-0.0351,0.0893,-0.0274
2025-12-05,ALGN,0.0617,0.0241,-0.0751
2025-12-05,ALL,-0.1067,0.0044,0.0441
2025-12-05,ALLE,0.0093,0.0099,0.0326
2025-12-05,AMAT,-0.0829,0.0942,0.0476
2025-12-05,AMCR,0.0711,-0.0202,-0.0189
2025-12-05,AMD,-0.0049,0.0819,0.0826
2025-12-05,AME,-0.0752,0.0209,0.0055
2025-12-05,AMGN,-0.0976,0.0399,0.0293
2025-12-05,AMP,-0.0551,-0.0203,-0.002
2025-12-05,AMT,0.0941,-0.0318,-0.0268
2025-12-05,AMZN,-0.0415,0.0258,0.0406
2025-12-05,ANET,-0.0176,-0.0129,0.1112
2025-12-05,AON,-0.109,-0.0306,0.0054
2025-12-05,AOS,0.0076,-0.0216,0.007
2025-12-05,APA,0.0486,0.0375,-0.0779
2025-12-05,APD,0.0215,-0.037,-0.0279
2025-12-05,APH,-0.0021,0.044,0.1022
2025-12-05,APO,0.0033,0.0154,0.0136
2025-12-05,APP,0.1457,0.0455,0.3446
2025-12-05,APTV,-0.0505,-0.0317,-0.0321
2025-12-05,ARE,-0.0439,-0.1134,-0.1096
2025-12-05,ASC,-0.008,-0.0025,-0.0106
2025-12-05,ATO,-0.0102,0.005,0.0635
2025-12-05,AVB,0.0296,-0.0288,-0.0169
2025-12-05,AVGO,-0.0241,0.0293,0.1437
2025-12-05,AVY,0.0223,0.0379,-0.0161
2025-12-05,AWK,-0.2237,-0.0464,0.006
2025-12-05,AXON,0.161,-0.0883,0.103
2025-12-05,AXP,-0.0286,0.0104,0.0542
2025-12-05,AZO,-0.056,-0.0067,0.048
2025-12-05,BA,0.106,-0.0369,-0.0636
2025-12-05,BAC,-0.055,0.0028,0.03
2025-12-05,BALL,0.091,-0.0245,-0.0265
2025-12-05,BAX,-0.0671,-0.0576,-0.0967
2025-12-05,BBY,-0.026,-0.0125,-0.0343
2025-12-05,BDX,0.0179,-0.0213,-0.0373
2025-12-05,BEN,-0.1201,-0.0243,-0.0367
