Date,Ticker,Close,mt_pb_anchor,lt_pb_anchor
2025-12-01,A,150.1,188.17,184.71
2025-12-02,A,148.81,188.17,184.71
2025-12-03,A,149.26,188.17,184.71
2025-12-04,A,148.32,188.17,184.71
2025-12-05,A,145.49,188.17,184.71
2025-12-01,AAPL,283.1,316.75,314.2
2025-12-02,AAPL,286.19,316.75,314.2
2025-12-03,AAPL,284.15,316.75,314.2
2025-12-04,AAPL,280.7,316.75,314.2
2025-12-05,AAPL,278.78,316.75,314.2
2025-12-01,ABBV,225.11,289.21,296.02
2025-12-02,ABBV,224.37,289.21,296.02
2025-12-03,ABBV,230.24,289.21,296.02
2025-12-04,ABBV,228.71,289.21,296.02
2025-12-05,ABBV,226.08,289.21,296.02
2025-12-01,ABNB,118.8,119.62,117.63
2025-12-02,ABNB,118.5,119.62,117.63
2025-12-03,ABNB,120.13,119.62,117.63
2025-12-04,ABNB,120.82,119.62,117.63
2025-12-05,ABNB,124.32,119.62,117.63
2025-12-01,ABT,128.01,139.99,144.44
2025-12-02,ABT,126.32,139.99,144.44
2025-12-03,ABT,125.29,139.99,144.44
2025-12-04,ABT,125.4,139.99,144.44
2025-12-05,ABT,125.08,139.99,144.44
2025-12-01,ACGL,93.16,103.59,104.56
2025-12-02,ACGL,92.69,103.59,104.56
2025-12-03,ACGL,92.72,103.59,104.56
2025-12-04,ACGL,92.39,103.59,104.56
2025-12-05,ACGL,91.72,103.59,104.56
2025-12-01,ACN,257.43,310.34,294.17
2025-12-02,ACN,261.02,310.34,294.17
2025-12-03,ACN,272.85,310.34,294.17
2025-12-04,ACN,269.34,310.34,294.17
2025-12-05,ACN,266.59,310.34,294.17
2025-12-01,ADBE,322.85,365.99,336.83
2025-12-02,ADBE,322.81,365.99,336.83
2025-12-03,ADBE,326.78,365.99,336.83
2025-12-04,ADBE,328.73,365.99,336.83
2025-12-05,ADBE,346.26,365.99,336.83
2025-12-01,ADI,266.51,311.91,312.72
2025-12-02,ADI,272.97,311.91,312.72
2025-12-03,ADI,278.24,311.91,312.72
2025-12-04,ADI,277.26,311.91,312.72
2025-12-05,ADI,281.29,311.91,312.72
2025-12-01,ADM,60.52,76.45,74.42
2025-12-02,ADM,60.31,76.45,74.42
2025-12-03,ADM,59.8,76.45,74.42
2025-12-04,ADM,59.36,76.45,74.42
2025-12-05,ADM,59.01,76.45,74.42
2025-12-01,ADP,255.84,253.38,263.6
2025-12-02,ADP,257.18,253.38,263.6
2025-12-03,ADP,260.22,253.38,263.6
2025-12-04,ADP,259.4,253.38,263.6
2025-12-05,ADP,261.63,253.38,263.6
2025-12-01,ADSK,305.12,312.66,322.46
2025-12-02,ADSK,310.25,312.66,322.46
2025-12-03,ADSK,307.24,312.66,322.46
2025-12-04,ADSK,305.85,312.66,322.46
2025-12-05,ADSK,306.74,312.66,322.46
2025-12-01,AEE,103.0,112.61,118.87
2025-12-02,AEE,101.51,112.61,118.87
2025-12-03,AEE,101.47,112.61,118.87
2025-12-04,AEE,100.85,112.61,118.87
2025-12-05,AEE,99.86,112.61,118.87
2025-12-01,AEP,120.51,122.23,125.33
2025-12-02,AEP,119.23,122.23,125.33
2025-12-03,AEP,118.06,122.23,125.33
2025-12-04,AEP,118.04,122.23,125.33
2025-12-05,AEP,117.54,122.23,125.33
2025-12-01,AES,13.99,14.87,14.07
2025-12-02,AES,13.96,14.87,14.07
2025-12-03,AES,13.71,14.87,14.07
2025-12-04,AES,13.93,14.87,14.07
2025-12-05,AES,13.92,14.87,14.07
2025-12-01,AFL,109.55,130.93,132.91
2025-12-02,AFL,108.83,130.93,132.91
2025-12-03,AFL,109.04,130.93,132.91
2025-12-04,AFL,109.24,130.93,132.91
2025-12-05,AFL,109.28,130.93,132.91
2025-12-01,AIG,76.61,85.87,88.25
2025-12-02,AIG,76.95,85.87,88.25
2025-12-03,AIG,77.07,85.87,88.25
2025-12-04,AIG,77.28,85.87,88.25
2025-12-05,AIG,77.03,85.87,88.25
2025-12-01,AIZ,225.43,283.5,285.24
2025-12-02,AIZ,221.37,283.5,285.24
2025-12-03,AIZ,222.33,283.5,285.24
2025-12-04,AIZ,224.27,283.5,285.24
2025-12-05,AIZ,222.87,283.5,285.24
2025-12-01,AJG,246.1,264.16,283.06
2025-12-02,AJG,244.22,264.16,283.06
2025-12-03,AJG,245.36,264.16,283.06
2025-12-04,AJG,245.41,264.16,283.06
2025-12-05,AJG,239.71,264.16,283.06
2025-12-01,AKAM,87.71,109.86,104.21
2025-12-02,AKAM,86.83,109.86,104.21
2025-12-03,AKAM,87.97,109.86,104.21
2025-12-04,AKAM,86.6,109.86,104.21
2025-12-05,AKAM,83.49,109.86,104.21
2025-12-01,ALB,128.33,154.14,137.18
2025-12-02,ALB,128.14,154.14,137.18
2025-12-03,ALB,126.49,154.14,137.18
2025-12-04,ALB,119.14,154.14,137.18
2025-12-05,ALB,125.19,154.14,137.18
2025-12-01,ALGN,146.72,156.16,141.41
2025-12-02,ALGN,150.93,156.16,141.41
2025-12-03,ALGN,155.0,156.16,141.41
2025-12-04,ALGN,156.84,156.16,141.41
2025-12-05,ALGN,157.21,156.16,141.41
2025-12-01,ALL,210.0,241.13,250.89
2025-12-02,ALL,208.91,241.13,250.89
2025-12-03,ALL,208.62,241.13,250.89
2025-12-04,ALL,206.37,241.13,250.89
2025-12-05,ALL,202.27,241.13,250.89
2025-12-01,ALLE,165.17,194.3,198.76
2025-12-02,ALLE,164.16,194.3,198.76
2025-12-03,ALLE,164.03,194.3,198.76
2025-12-04,ALLE,160.85,194.3,198.76
2025-12-05,ALLE,159.08,194.3,198.76
2025-12-01,AMAT,254.75,335.24,319.96
2025-12-02,AMAT,265.33,335.24,319.96
2025-12-03,AMAT,268.63,335.24,319.96
2025-12-04,AMAT,269.44,335.24,319.96
2025-12-05,AMAT,268.0,335.24,319.96
2025-12-01,AMCR,8.54,9.22,9.23
2025-12-02,AMCR,8.4,9.22,9.23
2025-12-03,AMCR,8.46,9.22,9.23
2025-12-04,AMCR,8.32,9.22,9.23
2025-12-05,AMCR,8.3,9.22,9.23
2025-12-01,AMD,219.76,246.23,246.39
2025-12-02,AMD,215.24,246.23,246.39
2025-12-03,AMD,217.6,246.23,246.39
2025-12-04,AMD,215.98,246.23,246.39
2025-12-05,AMD,217.97,246.23,246.39
2025-12-01,AME,195.61,237.96,234.33
2025-12-02,AME,197.29,237.96,234.33
2025-12-03,AME,199.22,237.96,234.33
2025-12-04,AME,199.22,237.96,234.33
2025-12-05,AME,199.8,237.96,234.33
2025-12-01,AMGN,337.49,426.62,422.13
2025-12-02,AMGN,338.36,426.62,422.13
2025-12-03,AMGN,345.42,426.62,422.13
2025-12-04,AMGN,340.16,426.62,422.13
2025-12-05,AMGN,329.89,426.62,422.13
2025-12-01,AMP,454.91,502.33,511.59
2025-12-02,AMP,456.79,502.33,511.59
2025-12-03,AMP,470.11,502.33,511.59
2025-12-04,AMP,474.11,502.33,511.59
2025-12-05,AMP,477.06,502.33,511.59
2025-12-01,AMT,176.27,184.44,185.35
2025-12-02,AMT,175.81,184.44,185.35
2025-12-03,AMT,176.18,184.44,185.35
2025-12-04,AMT,178.83,184.44,185.35
2025-12-05,AMT,178.86,184.44,185.35
2025-12-01,AMZN,233.88,253.68,257.45
2025-12-02,AMZN,234.42,253.68,257.45
2025-12-03,AMZN,232.38,253.68,257.45
2025-12-04,AMZN,229.11,253.68,257.45
2025-12-05,AMZN,229.53,253.68,257.45
2025-12-01,ANET,128.11,131.2,148.54
2025-12-02,ANET,127.22,131.2,148.54
2025-12-03,ANET,127.8,131.2,148.54
2025-12-04,ANET,128.55,131.2,148.54
2025-12-05,ANET,128.59,131.2,148.54
2025-12-01,AON,351.17,431.97,447.79
2025-12-02,AON,345.7,431.97,447.79
2025-12-03,AON,344.45,431.97,447.79
2025-12-04,AON,347.71,431.97,447.79
2025-12-05,AON,345.2,431.97,447.79
2025-12-01,AOS,66.02,72.05,74.14
2025-12-02,AOS,65.96,72.05,74.14
2025-12-03,AOS,67.32,72.05,74.14
2025-12-04,AOS,67.2,72.05,74.14
2025-12-05,AOS,68.03,72.05,74.14
2025-12-01,APA,25.28,27.76,24.74
2025-12-02,APA,25.45,27.76,24.74
2025-12-03,APA,26.95,27.76,24.74
2025-12-04,APA,26.71,27.76,24.74
2025-12-05,APA,27.1,27.76,24.74
2025-12-01,APD,260.86,257.51,259.87
2025-12-02,APD,256.77,257.51,259.87
2025-12-03,APD,260.35,257.51,259.87
2025-12-04,APD,261.62,257.51,259.87
2025-12-05,APD,260.69,257.51,259.87
2025-12-01,APH,139.22,180.76,191.6
2025-12-02,APH,141.49,180.76,191.6
2025-12-03,APH,138.65,180.76,191.6
2025-12-04,APH,139.46,180.76,191.6
2025-12-05,APH,139.36,180.76,191.6
2025-12-01,APO,131.39,142.22,141.97
2025-12-02,APO,132.08,142.22,141.97
2025-12-03,APO,134.5,142.22,141.97
2025-12-04,APO,136.75,142.22,141.97
2025-12-05,APO,138.13,142.22,141.97
2025-12-01,APP,623.59,672.32,906.73
2025-12-02,APP,653.0,672.32,906.73
2025-12-03,APP,662.21,672.32,906.73
2025-12-04,APP,683.78,672.32,906.73
2025-12-05,APP,691.94,672.32,906.73
2025-12-01,APTV,76.94,80.23,80.19
2025-12-02,APTV,77.48,80.23,80.19
2025-12-03,APTV,78.09,80.23,80.19
2025-12-04,APTV,76.44,80.23,80.19
2025-12-05,APTV,76.37,80.23,80.19
2025-12-01,ARE,53.1,50.09,50.28
2025-12-02,ARE,53.83,50.09,50.28
2025-12-03,ARE,48.42,50.09,50.28
2025-12-04,ARE,46.59,50.09,50.28
2025-12-05,ARE,45.48,50.09,50.28
2025-12-01,ASC,12.06,12.68,12.58
2025-12-02,ASC,12.09,12.68,12.58
2025-12-03,ASC,12.25,12.68,12.58
2025-12-04,ASC,11.96,12.68,12.58
2025-12-05,ASC,11.83,12.68,12.58
2025-12-01,ATO,171.72,177.27,187.97
2025-12-02,ATO,170.08,177.27,187.97
2025-12-03,ATO,171.15,177.27,187.97
2025-12-04,ATO,170.95,177.27,187.97
2025-12-05,ATO,171.29,177.27,187.97
2025-12-01,AVB,179.65,186.73,188.96
2025-12-02,AVB,181.12,186.73,188.96
2025-12-03,AVB,181.52,186.73,188.96
2025-12-04,AVB,179.42,186.73,188.96
2025-12-05,AVB,178.02,186.73,188.96
2025-12-01,AVGO,386.08,551.62,618.48
2025-12-02,AVGO,381.57,551.62,618.48
2025-12-03,AVGO,380.61,551.62,618.48
2025-12-04,AVGO,381.03,551.62,618.48
2025-12-05,AVGO,390.24,551.62,618.48
2025-12-01,AVY,172.53,215.49,204.16
2025-12-02,AVY,172.22,215.49,204.16
2025-12-03,AVY,175.59,215.49,204.16
2025-12-04,AVY,174.96,215.49,204.16
2025-12-05,AVY,179.33,215.49,204.16
