Date,Ticker,Z-Score,Z-Score_avg,Z-Score_hi,Z-Score_lo
2025-12-04,A,-0.71,0.07,1.16,-1.03
2025-12-05,A,0.84,0.07,1.16,-1.03
2025-12-04,AAPL,-0.71,-0.92,-0.63,-1.2
2025-12-05,AAPL,-1.12,-0.92,-0.63,-1.2
2025-12-04,ABBV,-0.71,-0.76,-0.69,-0.84
2025-12-05,ABBV,-0.82,-0.76,-0.69,-0.84
2025-12-04,ABNB,-0.71,0.1,1.23,-1.04
2025-12-05,ABNB,0.9,0.1,1.23,-1.04
2025-12-04,ABT,0.71,0.51,0.79,0.23
2025-12-05,ABT,0.31,0.51,0.79,0.23
2025-12-04,ACGL,-0.71,-0.42,0.0,-0.83
2025-12-05,ACGL,-0.12,-0.42,0.0,-0.83
2025-12-04,ACN,0.71,0.49,0.8,0.17
2025-12-05,ACN,0.26,0.49,0.8,0.17
2025-12-04,ADBE,-0.71,0.21,1.52,-1.09
2025-12-05,ADBE,1.14,0.21,1.52,-1.09
2025-12-04,ADI,0.71,0.52,0.79,0.25
2025-12-05,ADI,0.33,0.52,0.79,0.25
2025-12-04,ADM,-0.71,-0.8,-0.67,-0.92
2025-12-05,ADM,-0.88,-0.8,-0.67,-0.92
2025-12-04,ADP,0.71,0.44,0.82,0.06
2025-12-05,ADP,0.17,0.44,0.82,0.06
2025-12-04,ADSK,-0.71,-0.8,-0.67,-0.93
2025-12-05,ADSK,-0.89,-0.8,-0.67,-0.93
2025-12-04,AEE,-0.71,-0.77,-0.69,-0.85
2025-12-05,AEE,-0.83,-0.77,-0.69,-0.85
2025-12-04,AEP,0.71,0.56,0.77,0.35
2025-12-05,AEP,0.41,0.56,0.77,0.35
2025-12-04,AES,0.71,0.34,0.87,-0.2
2025-12-05,AES,-0.04,0.34,0.87,-0.2
2025-12-04,AFL,-0.71,-0.83,-0.66,-1.0
2025-12-05,AFL,-0.95,-0.83,-0.66,-1.0
2025-12-04,AIG,-0.71,0.2,1.47,-1.08
2025-12-05,AIG,1.1,0.2,1.47,-1.08
2025-12-04,AIZ,-0.71,-0.89,-0.64,-1.14
2025-12-05,AIZ,-1.07,-0.89,-0.64,-1.14
2025-12-04,AJG,-0.71,0.17,1.41,-1.07
2025-12-05,AJG,1.05,0.17,1.41,-1.07
2025-12-04,AKAM,-0.71,0.21,1.51,-1.09
2025-12-05,AKAM,1.13,0.21,1.51,-1.09
2025-12-04,ALB,0.71,0.82,0.98,0.66
2025-12-05,ALB,0.93,0.82,0.98,0.66
2025-12-04,ALGN,0.71,0.77,0.87,0.68
2025-12-05,ALGN,0.84,0.77,0.87,0.68
2025-12-04,ALL,0.71,0.89,1.14,0.64
2025-12-05,ALL,1.07,0.89,1.14,0.64
2025-12-04,ALLE,0.71,0.49,0.8,0.18
2025-12-05,ALLE,0.27,0.49,0.8,0.18
2025-12-04,AMAT,-0.71,-0.24,0.44,-0.91
2025-12-05,AMAT,0.24,-0.24,0.44,-0.91
2025-12-04,AMCR,-0.71,-0.82,-0.66,-0.98
2025-12-05,AMCR,-0.93,-0.82,-0.66,-0.98
2025-12-04,AMD,-0.71,-0.7,-0.69,-0.71
2025-12-05,AMD,-0.69,-0.7,-0.69,-0.71
2025-12-04,AME,0.71,0.57,0.77,0.37
2025-12-05,AME,0.43,0.57,0.77,0.37
2025-12-04,AMGN,0.71,0.84,1.01,0.66
2025-12-05,AMGN,0.96,0.84,1.01,0.66
