Date,Ticker,Rvol,Rvol_avg,Rvol_hi,Rvol_low
2025-12-03,A,0.1304,0.1241,0.1479,0.1002
2025-12-04,A,0.0977,0.1241,0.1479,0.1002
2025-12-05,A,0.1441,0.1241,0.1479,0.1002
2025-12-03,AAPL,0.2025,0.1851,0.2071,0.1632
2025-12-04,AAPL,0.1925,0.1851,0.2071,0.1632
2025-12-05,AAPL,0.1604,0.1851,0.2071,0.1632
2025-12-03,ABBV,0.3306,0.2956,0.327,0.2642
2025-12-04,ABBV,0.2865,0.2956,0.327,0.2642
2025-12-05,ABBV,0.2697,0.2956,0.327,0.2642
2025-12-03,ABNB,0.1827,0.175,0.2174,0.1326
2025-12-04,ABNB,0.1292,0.175,0.2174,0.1326
2025-12-05,ABNB,0.213,0.175,0.2174,0.1326
2025-12-03,ABT,0.0567,0.0895,0.1188,0.0601
2025-12-04,ABT,0.1132,0.0895,0.1188,0.0601
2025-12-05,ABT,0.0985,0.0895,0.1188,0.0601
2025-12-03,ACGL,0.0603,0.0516,0.0598,0.0435
2025-12-04,ACGL,0.044,0.0516,0.0598,0.0435
2025-12-05,ACGL,0.0506,0.0516,0.0598,0.0435
2025-12-03,ACN,0.3522,0.4145,0.471,0.358
2025-12-04,ACN,0.4623,0.4145,0.471,0.358
2025-12-05,ACN,0.429,0.4145,0.471,0.358
2025-12-03,ADBE,0.1394,0.2073,0.3615,0.0531
2025-12-04,ADBE,0.0986,0.2073,0.3615,0.0531
2025-12-05,ADBE,0.3838,0.2073,0.3615,0.0531
2025-12-03,ADI,0.0554,0.1609,0.2548,0.067
2025-12-04,ADI,0.2351,0.1609,0.2548,0.067
2025-12-05,ADI,0.1922,0.1609,0.2548,0.067
2025-12-03,ADM,0.056,0.0439,0.055,0.0329
2025-12-04,ADM,0.0416,0.0439,0.055,0.0329
2025-12-05,ADM,0.0342,0.0439,0.055,0.0329
2025-12-03,ADP,0.0739,0.0984,0.1213,0.0756
2025-12-04,ADP,0.1191,0.0984,0.1213,0.0756
2025-12-05,ADP,0.1022,0.0984,0.1213,0.0756
2025-12-03,ADSK,0.2976,0.2345,0.2928,0.1763
2025-12-04,ADSK,0.2231,0.2345,0.2928,0.1763
2025-12-05,ADSK,0.1829,0.2345,0.2928,0.1763
2025-12-03,AEE,0.158,0.1216,0.1543,0.0888
2025-12-04,AEE,0.1123,0.1216,0.1543,0.0888
2025-12-05,AEE,0.0944,0.1216,0.1543,0.0888
2025-12-03,AEP,0.0091,0.0599,0.1044,0.0153
2025-12-04,AEP,0.0923,0.0599,0.1044,0.0153
2025-12-05,AEP,0.0782,0.0599,0.1044,0.0153
2025-12-03,AES,0.177,0.2223,0.2688,0.1759
2025-12-04,AES,0.2697,0.2223,0.2688,0.1759
2025-12-05,AES,0.2203,0.2223,0.2688,0.1759
2025-12-03,AFL,0.0954,0.079,0.0947,0.0633
2025-12-04,AFL,0.0775,0.079,0.0947,0.0633
2025-12-05,AFL,0.0641,0.079,0.0947,0.0633
2025-12-03,AIG,0.0323,0.0358,0.0508,0.0209
2025-12-04,AIG,0.023,0.0358,0.0508,0.0209
