Date,Ticker,prem_disc,prem_disc_avg,prem_disc_hi,prem_disc_lo
2025-12-01,A,,1.2291,1.7928,0.6653
2025-12-02,A,,1.2291,1.7928,0.6653
2025-12-03,A,0.937,1.2291,1.7928,0.6653
2025-12-04,A,1.8789,1.2291,1.7928,0.6653
2025-12-05,A,0.8713,1.2291,1.7928,0.6653
2025-12-01,AAPL,,0.0849,0.204,-0.0341
2025-12-02,AAPL,,0.0849,0.204,-0.0341
2025-12-03,AAPL,0.0142,0.0849,0.204,-0.0341
2025-12-04,AAPL,0.0182,0.0849,0.204,-0.0341
2025-12-05,AAPL,0.2224,0.0849,0.204,-0.0341
2025-12-01,ABBV,,-0.1538,-0.073,-0.2346
2025-12-02,ABBV,,-0.1538,-0.073,-0.2346
2025-12-03,ABBV,-0.2407,-0.1538,-0.073,-0.2346
2025-12-04,ABBV,-0.1397,-0.1538,-0.073,-0.2346
2025-12-05,ABBV,-0.0809,-0.1538,-0.073,-0.2346
2025-12-01,ABNB,,0.551,0.8152,0.2868
2025-12-02,ABNB,,0.551,0.8152,0.2868
2025-12-03,ABNB,0.4342,0.551,0.8152,0.2868
2025-12-04,ABNB,0.8534,0.551,0.8152,0.2868
2025-12-05,ABNB,0.3653,0.551,0.8152,0.2868
2025-12-01,ABT,,1.2726,2.0456,0.4997
2025-12-02,ABT,,1.2726,2.0456,0.4997
2025-12-03,ABT,2.1647,1.2726,2.0456,0.4997
2025-12-04,ABT,0.8519,1.2726,2.0456,0.4997
2025-12-05,ABT,0.8013,1.2726,2.0456,0.4997
2025-12-01,ACGL,,2.6843,3.1637,2.2049
2025-12-02,ACGL,,2.6843,3.1637,2.2049
2025-12-03,ACGL,2.1364,2.6843,3.1637,2.2049
2025-12-04,ACGL,3.0269,2.6843,3.1637,2.2049
2025-12-05,ACGL,2.8895,2.6843,3.1637,2.2049
2025-12-01,ACN,,-0.0157,0.1405,-0.172
2025-12-02,ACN,,-0.0157,0.1405,-0.172
2025-12-03,ACN,0.163,-0.0157,0.1405,-0.172
2025-12-04,ACN,-0.1261,-0.0157,0.1405,-0.172
2025-12-05,ACN,-0.0841,-0.0157,0.1405,-0.172
2025-12-01,ADBE,,1.8896,3.5666,0.2126
2025-12-02,ADBE,,1.8896,3.5666,0.2126
2025-12-03,ADBE,2.1762,1.8896,3.5666,0.2126
2025-12-04,ADBE,3.4048,1.8896,3.5666,0.2126
2025-12-05,ADBE,0.0878,1.8896,3.5666,0.2126
2025-12-01,ADI,,1.4153,3.427,-0.5964
2025-12-02,ADI,,1.4153,3.427,-0.5964
2025-12-03,ADI,3.73,1.4153,3.427,-0.5964
2025-12-04,ADI,0.0884,1.4153,3.427,-0.5964
