Date,Ticker,Ticker_name,Exposure,Category,Close,model_score
2024-09-03,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,138.96,12.0
2024-09-04,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,138.16,26.0
2024-09-05,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,138.36,16.0
2024-09-06,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,137.2,9.0
2024-09-09,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,138.09,1.0
2024-09-10,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,138.03,5.0
2024-09-11,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,138.7,14.0
2024-09-12,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,136.39,-12.0
2024-09-13,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,137.31,-12.0
2024-09-16,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,138.31,14.0
2024-09-17,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,138.35,28.0
2024-09-18,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,139.01,57.0
2024-09-19,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,141.95,6.0
2024-09-20,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,140.09,36.0
2024-09-23,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,139.79,36.0
2024-09-24,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,141.87,6.0
2024-09-25,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,139.44,57.0
2024-09-26,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,146.74,-43.0
2024-09-27,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,148.06,-43.0
2024-09-30,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,148.48,-20.0
2024-10-01,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,146.56,-43.0
2024-10-02,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,146.54,-20.0
2024-10-03,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,144.55,1.0
2024-10-04,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,144.97,-19.0
2024-10-07,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,143.89,-16.0
2024-10-08,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,144.61,-16.0
2024-10-09,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,144.8,-16.0
2024-10-10,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,142.74,-16.0
2024-10-11,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,143.82,-16.0
2024-10-14,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,144.25,-12.0
2024-10-15,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,144.58,-16.0
2024-10-16,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,139.11,13.0
2024-10-17,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,137.42,-4.0
2024-10-18,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,138.83,-13.0
2024-10-21,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,136.76,-13.0
2024-10-22,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,133.46,11.0
2024-10-23,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,133.03,13.0
2024-10-24,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,130.69,-14.0
2024-10-25,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,130.19,-9.0
2024-10-28,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,131.54,13.0
2024-10-29,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,131.23,13.0
2024-10-30,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,131.49,21.0
2024-10-31,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,130.31,41.0
2024-11-01,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,136.87,-4.0
2024-11-04,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,139.65,15.0
2024-11-05,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,140.41,15.0
2024-11-06,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,137.78,44.0
2024-11-07,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,139.63,15.0
2024-11-08,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,136.68,33.0
2024-11-11,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,133.86,47.0
2024-11-12,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,133.67,35.0
2024-11-13,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,134.28,-7.0
2024-11-14,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,130.22,35.0
2024-11-15,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,127.07,18.0
2024-11-18,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,126.92,41.0
2024-11-19,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,125.69,31.0
2024-11-20,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,128.57,28.0
2024-11-21,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,132.06,25.0
2024-11-22,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,133.84,3.0
2024-11-25,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,134.49,-42.0
2024-11-26,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,134.37,-42.0
2024-11-27,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,138.14,-44.0
2024-11-29,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,137.97,0.0
2024-12-02,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,139.58,-27.0
2024-12-03,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,139.28,-44.0
2024-12-04,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,140.2,-60.0
2024-12-05,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,137.87,-37.0
2024-12-06,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,140.58,-63.0
2024-12-09,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,144.0,-36.0
2024-12-10,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,141.93,-36.0
2024-12-11,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,141.19,-36.0
2024-12-12,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,140.91,-36.0
2024-12-13,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,139.0,-64.0
2024-12-16,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,137.67,-69.0
2024-12-17,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,136.46,-69.0
2024-12-18,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,133.01,-33.0
2024-12-19,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,133.19,-26.0
2024-12-20,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,134.51,-43.0
2024-12-23,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,134.6,-22.0
2024-12-24,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,136.1,-10.0
2024-12-26,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,135.83,-31.0
2024-12-27,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,135.54,-28.0
2024-12-30,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,134.42,14.0
2024-12-31,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,134.34,14.0
