Ticker,Date,Zscore,prem_disc
A,2025-10-15,0.59,0.0076
A,2025-09-16,1.17,-0.0524
AAPL,2025-10-15,-0.48,0.1411
AAPL,2025-09-16,-1.05,-0.0597
ABBV,2025-10-15,0.74,-0.1501
ABBV,2025-09-16,0.8,0.3134
ABNB,2025-10-15,0.59,1.2037
ABNB,2025-09-16,-1.51,0.453
ABT,2025-10-15,-0.03,0.3067
ABT,2025-09-16,-0.29,0.2514
ACGL,2025-10-15,-0.02,0.3487
ACGL,2025-09-16,0.62,0.0922
ACN,2025-10-15,1.13,0.1608
ACN,2025-09-16,-0.97,0.9315
ADBE,2025-10-15,-0.03,0.3753
ADBE,2025-09-16,-2.11,0.29
ADI,2025-10-15,1.86,0.1149
ADI,2025-09-16,-1.71,0.056
ADM,2025-10-15,0.61,0.6229
ADM,2025-09-16,-0.62,0.2418
ADP,2025-10-15,-2.08,0.8578
ADP,2025-09-16,0.11,0.1419
ADSK,2025-10-15,-0.61,0.5409
ADSK,2025-09-16,0.48,-0.2937
AEE,2025-10-15,-0.88,0.6393
AEE,2025-09-16,-0.2,0.4909
AEP,2025-10-15,0.0,0.6271
AEP,2025-09-16,-0.45,0.1405
AES,2025-10-15,0.99,-0.1456
AES,2025-09-16,-1.52,0.9067
AFL,2025-10-15,-0.2,0.5761
AFL,2025-09-16,-1.2,0.2433
AIG,2025-10-15,1.23,0.2126
AIG,2025-09-16,-0.67,0.2002
AIZ,2025-10-15,1.44,0.1497
AIZ,2025-09-16,-1.22,-0.0466
AJG,2025-10-15,-0.63,0.4439
AJG,2025-09-16,-0.03,0.2756
AKAM,2025-10-15,-1.85,1.224
AKAM,2025-09-16,-1.71,0.2086
ALB,2025-10-15,-0.79,0.1826
ALB,2025-09-16,0.4,-0.1544
ALGN,2025-10-15,-0.33,1.3072
ALGN,2025-09-16,-0.89,0.0072
ALL,2025-10-15,2.33,-0.0819
ALL,2025-09-16,-0.6,0.0673
ALLE,2025-10-15,-1.75,0.9117
ALLE,2025-09-16,0.84,-0.2517
AMAT,2025-10-15,1.72,-0.022
AMAT,2025-09-16,-4.33,0.37
AMCR,2025-10-15,0.94,3.4479
AMCR,2025-09-16,-2.95,1.3263
AMD,2025-10-15,1.53,-0.281
AMD,2025-09-16,-1.71,0.0608
AME,2025-10-15,1.11,0.675
AME,2025-09-16,-0.91,0.2817
AMGN,2025-10-15,0.7,0.0989
AMGN,2025-09-16,-1.49,0.3775
AMP,2025-10-15,-1.09,0.7273
AMP,2025-09-16,-0.06,0.0882
AMT,2025-10-15,-0.01,0.3166
AMT,2025-09-16,-0.01,0.3047
AMZN,2025-10-15,0.22,0.6256
AMZN,2025-09-16,-0.8,-0.0271
ANET,2025-10-15,-0.11,0.3222
ANET,2025-09-16,-0.27,-0.1519
AON,2025-10-15,-2.15,0.9389
AON,2025-09-16,0.0,0.0703
AOS,2025-10-15,-1.3,0.569
AOS,2025-09-16,0.81,0.3182
APA,2025-10-15,-1.4,0.2087
