Date,Ticker,daily_range,daily_range_avg,daily_range_hi,daily_range_lo
2025-12-01,A,4.8,3.9,5.3,2.5
2025-12-02,A,2.7,3.9,5.3,2.5
2025-12-03,A,2.3,3.9,5.3,2.5
2025-12-04,A,5.6,3.9,5.3,2.5
2025-12-05,A,4.2,3.9,5.3,2.5
2025-12-01,AAPL,7.3,5.3,6.9,3.8
2025-12-02,AAPL,4.8,5.3,6.9,3.8
2025-12-03,AAPL,5.3,5.3,6.9,3.8
2025-12-04,AAPL,6.1,5.3,6.9,3.8
2025-12-05,AAPL,3.1,5.3,6.9,3.8
2025-12-01,ABBV,5.5,4.6,5.8,3.3
2025-12-02,ABBV,3.5,4.6,5.8,3.3
2025-12-03,ABBV,6.3,4.6,5.8,3.3
2025-12-04,ABBV,3.4,4.6,5.8,3.3
2025-12-05,ABBV,4.2,4.6,5.8,3.3
2025-12-01,ABNB,4.0,3.2,4.2,2.2
2025-12-02,ABNB,2.7,3.2,4.2,2.2
2025-12-03,ABNB,3.1,3.2,4.2,2.2
2025-12-04,ABNB,1.8,3.2,4.2,2.2
2025-12-05,ABNB,4.4,3.2,4.2,2.2
2025-12-01,ABT,1.9,2.1,2.9,1.3
2025-12-02,ABT,3.4,2.1,2.9,1.3
2025-12-03,ABT,2.4,2.1,2.9,1.3
2025-12-04,ABT,1.5,2.1,2.9,1.3
2025-12-05,ABT,1.4,2.1,2.9,1.3
2025-12-01,ACGL,1.9,1.5,1.8,1.2
2025-12-02,ACGL,1.5,1.5,1.8,1.2
2025-12-03,ACGL,1.7,1.5,1.8,1.2
2025-12-04,ACGL,1.5,1.5,1.8,1.2
2025-12-05,ACGL,1.0,1.5,1.8,1.2
2025-12-01,ACN,7.9,8.5,11.8,5.2
2025-12-02,ACN,6.0,8.5,11.8,5.2
2025-12-03,ACN,12.3,8.5,11.8,5.2
2025-12-04,ACN,11.5,8.5,11.8,5.2
2025-12-05,ACN,4.9,8.5,11.8,5.2
2025-12-01,ADBE,10.0,10.0,15.2,4.8
2025-12-02,ADBE,7.9,10.0,15.2,4.8
2025-12-03,ADBE,6.4,10.0,15.2,4.8
2025-12-04,ADBE,6.8,10.0,15.2,4.8
2025-12-05,ADBE,18.9,10.0,15.2,4.8
2025-12-01,ADI,6.5,6.0,7.8,4.1
2025-12-02,ADI,8.1,6.0,7.8,4.1
2025-12-03,ADI,7.2,6.0,7.8,4.1
2025-12-04,ADI,4.0,6.0,7.8,4.1
2025-12-05,ADI,4.1,6.0,7.8,4.1
2025-12-01,ADM,0.9,1.2,1.8,0.5
2025-12-02,ADM,0.7,1.2,1.8,0.5
2025-12-03,ADM,1.5,1.2,1.8,0.5
2025-12-04,ADM,2.1,1.2,1.8,0.5
2025-12-05,ADM,0.6,1.2,1.8,0.5
2025-12-01,ADP,4.7,4.0,4.4,3.5
2025-12-02,ADP,3.7,4.0,4.4,3.5
2025-12-03,ADP,4.0,4.0,4.4,3.5
2025-12-04,ADP,4.0,4.0,4.4,3.5
2025-12-05,ADP,3.4,4.0,4.4,3.5
2025-12-01,ADSK,7.1,5.8,7.2,4.3
2025-12-02,ADSK,5.5,5.8,7.2,4.3
2025-12-03,ADSK,7.1,5.8,7.2,4.3
2025-12-04,ADSK,5.5,5.8,7.2,4.3
2025-12-05,ADSK,3.5,5.8,7.2,4.3
2025-12-01,AEE,3.2,1.9,2.7,1.1
2025-12-02,AEE,1.9,1.9,2.7,1.1
2025-12-03,AEE,1.7,1.9,2.7,1.1
2025-12-04,AEE,1.2,1.9,2.7,1.1
2025-12-05,AEE,1.4,1.9,2.7,1.1
2025-12-01,AEP,2.9,2.1,2.7,1.5
2025-12-02,AEP,2.6,2.1,2.7,1.5
2025-12-03,AEP,2.0,2.1,2.7,1.5
2025-12-04,AEP,1.8,2.1,2.7,1.5
2025-12-05,AEP,1.3,2.1,2.7,1.5
2025-12-01,AES,0.2,0.3,0.4,0.2
2025-12-02,AES,0.2,0.3,0.4,0.2
2025-12-03,AES,0.4,0.3,0.4,0.2
2025-12-04,AES,0.3,0.3,0.4,0.2
2025-12-05,AES,0.3,0.3,0.4,0.2
2025-12-01,AFL,1.6,1.2,1.5,1.0
2025-12-02,AFL,1.2,1.2,1.5,1.0
2025-12-03,AFL,1.2,1.2,1.5,1.0
2025-12-04,AFL,1.1,1.2,1.5,1.0
2025-12-05,AFL,1.0,1.2,1.5,1.0
2025-12-01,AIG,1.4,1.2,1.5,1.0
2025-12-02,AIG,1.1,1.2,1.5,1.0
2025-12-03,AIG,1.4,1.2,1.5,1.0
2025-12-04,AIG,1.3,1.2,1.5,1.0
2025-12-05,AIG,0.8,1.2,1.5,1.0
2025-12-01,AIZ,3.5,3.8,4.1,3.4
2025-12-02,AIZ,3.8,3.8,4.1,3.4
2025-12-03,AIZ,3.5,3.8,4.1,3.4
2025-12-04,AIZ,4.3,3.8,4.1,3.4
2025-12-05,AIZ,3.8,3.8,4.1,3.4
2025-12-01,AJG,3.4,4.0,5.3,2.6
2025-12-02,AJG,3.4,4.0,5.3,2.6
2025-12-03,AJG,3.6,4.0,5.3,2.6
2025-12-04,AJG,3.0,4.0,5.3,2.6
2025-12-05,AJG,6.4,4.0,5.3,2.6
2025-12-01,AKAM,1.9,2.4,3.5,1.3
2025-12-02,AKAM,2.1,2.4,3.5,1.3
2025-12-03,AKAM,1.8,2.4,3.5,1.3
2025-12-04,AKAM,1.8,2.4,3.5,1.3
2025-12-05,AKAM,4.3,2.4,3.5,1.3
2025-12-01,ALB,4.8,5.5,8.0,3.1
2025-12-02,ALB,3.1,5.5,8.0,3.1
2025-12-03,ALB,3.6,5.5,8.0,3.1
2025-12-04,ALB,8.9,5.5,8.0,3.1
2025-12-05,ALB,7.2,5.5,8.0,3.1
2025-12-01,ALGN,4.5,4.8,5.8,3.8
2025-12-02,ALGN,5.9,4.8,5.8,3.8
2025-12-03,ALGN,5.7,4.8,5.8,3.8
2025-12-04,ALGN,3.8,4.8,5.8,3.8
2025-12-05,ALGN,4.1,4.8,5.8,3.8
2025-12-01,ALL,3.7,3.7,4.8,2.6
2025-12-02,ALL,1.9,3.7,4.8,2.6
2025-12-03,ALL,4.2,3.7,4.8,2.6
2025-12-04,ALL,4.2,3.7,4.8,2.6
2025-12-05,ALL,4.7,3.7,4.8,2.6
2025-12-01,ALLE,3.7,3.4,4.4,2.5
2025-12-02,ALLE,3.0,3.4,4.4,2.5
2025-12-03,ALLE,2.0,3.4,4.4,2.5
2025-12-04,ALLE,4.2,3.4,4.4,2.5
2025-12-05,ALLE,4.3,3.4,4.4,2.5
2025-12-01,AMAT,7.3,8.2,10.4,6.1
2025-12-02,AMAT,11.4,8.2,10.4,6.1
2025-12-03,AMAT,9.4,8.2,10.4,6.1
2025-12-04,AMAT,6.8,8.2,10.4,6.1
2025-12-05,AMAT,6.2,8.2,10.4,6.1
2025-12-01,AMCR,0.1,0.1,0.2,0.0
2025-12-02,AMCR,0.3,0.1,0.2,0.0
2025-12-03,AMCR,0.1,0.1,0.2,0.0
2025-12-04,AMCR,0.2,0.1,0.2,0.0
2025-12-05,AMCR,0.1,0.1,0.2,0.0
2025-12-01,AMD,7.5,7.6,10.0,5.1
2025-12-02,AMD,11.6,7.6,10.0,5.1
2025-12-03,AMD,6.4,7.6,10.0,5.1
2025-12-04,AMD,5.0,7.6,10.0,5.1
2025-12-05,AMD,7.4,7.6,10.0,5.1
2025-12-01,AME,2.7,3.0,3.4,2.6
2025-12-02,AME,3.0,3.0,3.4,2.6
2025-12-03,AME,3.7,3.0,3.4,2.6
2025-12-04,AME,2.5,3.0,3.4,2.6
2025-12-05,AME,3.1,3.0,3.4,2.6
2025-12-01,AMGN,7.7,8.2,10.6,5.9
2025-12-02,AMGN,6.2,8.2,10.6,5.9
2025-12-03,AMGN,7.5,8.2,10.6,5.9
2025-12-04,AMGN,7.4,8.2,10.6,5.9
2025-12-05,AMGN,12.3,8.2,10.6,5.9
2025-12-01,AMP,12.6,10.1,12.9,7.3
2025-12-02,AMP,7.9,10.1,12.9,7.3
2025-12-03,AMP,13.6,10.1,12.9,7.3
2025-12-04,AMP,7.5,10.1,12.9,7.3
2025-12-05,AMP,9.0,10.1,12.9,7.3
2025-12-01,AMT,4.2,3.0,3.9,2.2
2025-12-02,AMT,2.5,3.0,3.9,2.2
2025-12-03,AMT,2.4,3.0,3.9,2.2
2025-12-04,AMT,3.7,3.0,3.9,2.2
