Date,Ticker,daily_volume,daily_volume_avg,daily_volume_hi,daily_volume_lo
2025-12-01,A,2.0,2.2,2.6,1.7
2025-12-02,A,1.7,2.2,2.6,1.7
2025-12-03,A,2.2,2.2,2.6,1.7
2025-12-04,A,2.9,2.2,2.6,1.7
2025-12-05,A,2.1,2.2,2.6,1.7
2025-12-01,AAPL,46.6,47.0,51.1,43.0
2025-12-02,AAPL,53.7,47.0,51.1,43.0
2025-12-03,AAPL,43.5,47.0,51.1,43.0
2025-12-04,AAPL,44.0,47.0,51.1,43.0
2025-12-05,AAPL,47.3,47.0,51.1,43.0
2025-12-01,ABBV,5.2,4.6,5.3,3.9
2025-12-02,ABBV,5.1,4.6,5.3,3.9
2025-12-03,ABBV,4.9,4.6,5.3,3.9
2025-12-04,ABBV,3.7,4.6,5.3,3.9
2025-12-05,ABBV,4.0,4.6,5.3,3.9
2025-12-01,ABNB,4.7,5.0,6.1,3.8
2025-12-02,ABNB,6.7,5.0,6.1,3.8
2025-12-03,ABNB,5.5,5.0,6.1,3.8
2025-12-04,ABNB,4.0,5.0,6.1,3.8
2025-12-05,ABNB,4.0,5.0,6.1,3.8
2025-12-01,ABT,5.8,5.2,5.7,4.6
2025-12-02,ABT,5.5,5.2,5.7,4.6
2025-12-03,ABT,4.9,5.2,5.7,4.6
2025-12-04,ABT,5.2,5.2,5.7,4.6
2025-12-05,ABT,4.4,5.2,5.7,4.6
2025-12-01,ACGL,1.7,1.9,2.4,1.4
2025-12-02,ACGL,2.3,1.9,2.4,1.4
2025-12-03,ACGL,2.5,1.9,2.4,1.4
2025-12-04,ACGL,1.7,1.9,2.4,1.4
2025-12-05,ACGL,1.4,1.9,2.4,1.4
2025-12-01,ACN,5.0,5.0,6.2,3.7
2025-12-02,ACN,5.0,5.0,6.2,3.7
2025-12-03,ACN,7.0,5.0,6.2,3.7
2025-12-04,ACN,4.1,5.0,6.2,3.7
2025-12-05,ACN,3.8,5.0,6.2,3.7
2025-12-01,ADBE,3.7,4.4,6.2,2.5
2025-12-02,ADBE,4.0,4.4,6.2,2.5
2025-12-03,ADBE,3.1,4.4,6.2,2.5
2025-12-04,ADBE,3.6,4.4,6.2,2.5
2025-12-05,ADBE,7.7,4.4,6.2,2.5
2025-12-01,ADI,7.3,4.8,6.4,3.2
2025-12-02,ADI,5.3,4.8,6.4,3.2
2025-12-03,ADI,4.2,4.8,6.4,3.2
2025-12-04,ADI,3.3,4.8,6.4,3.2
2025-12-05,ADI,3.8,4.8,6.4,3.2
2025-12-01,ADM,2.5,2.3,2.7,1.8
2025-12-02,ADM,1.8,2.3,2.7,1.8
