Date,Ticker,weekly_return_pct,weekly_return_avg_pct,weekly_return_hi_pct,weekly_return_lo_pct
2025-12-01,A,-0.0522,-0.0522,-0.0522,-0.0522
2025-12-01,AAPL,-0.0003,-0.0003,-0.0003,-0.0003
2025-12-01,ABBV,-0.0071,-0.0071,-0.0071,-0.0071
2025-12-01,ABNB,0.0627,0.0627,0.0627,0.0627
2025-12-01,ABT,-0.0296,-0.0296,-0.0296,-0.0296
2025-12-01,ACGL,-0.0234,-0.0234,-0.0234,-0.0234
2025-12-01,ACN,0.0664,0.0664,0.0664,0.0664
2025-12-01,ADBE,0.0816,0.0816,0.0816,0.0816
2025-12-01,ADI,0.0601,0.0601,0.0601,0.0601
2025-12-01,ADM,-0.0285,-0.0285,-0.0285,-0.0285
2025-12-01,ADP,0.0248,0.0248,0.0248,0.0248
2025-12-01,ADSK,0.0112,0.0112,0.0112,0.0112
2025-12-01,AEE,-0.061,-0.061,-0.061,-0.061
2025-12-01,AEP,-0.0503,-0.0503,-0.0503,-0.0503
2025-12-01,AES,-0.01,-0.01,-0.01,-0.01
2025-12-01,AFL,-0.0093,-0.0093,-0.0093,-0.0093
2025-12-01,AIG,0.0114,0.0114,0.0114,0.0114
2025-12-01,AIZ,-0.0232,-0.0232,-0.0232,-0.0232
2025-12-01,AJG,-0.0319,-0.0319,-0.0319,-0.0319
2025-12-01,AKAM,-0.0674,-0.0674,-0.0674,-0.0674
2025-12-01,ALB,-0.0369,-0.0369,-0.0369,-0.0369
2025-12-01,ALGN,0.0681,0.0681,0.0681,0.0681
2025-12-01,ALL,-0.0503,-0.0503,-0.0503,-0.0503
2025-12-01,ALLE,-0.0419,-0.0419,-0.0419,-0.0419
2025-12-01,AMAT,0.0624,0.0624,0.0624,0.0624
2025-12-01,AMCR,-0.0258,-0.0258,-0.0258,-0.0258
2025-12-01,AMD,0.002,0.002,0.002,0.002
2025-12-01,AME,0.0097,0.0097,0.0097,0.0097
2025-12-01,AMGN,-0.0451,-0.0451,-0.0451,-0.0451
2025-12-01,AMP,0.0468,0.0468,0.0468,0.0468
2025-12-01,AMT,-0.0133,-0.0133,-0.0133,-0.0133
2025-12-01,AMZN,-0.0158,-0.0158,-0.0158,-0.0158
2025-12-01,ANET,-0.016,-0.016,-0.016,-0.016
2025-12-01,AON,-0.0246,-0.0246,-0.0246,-0.0246
2025-12-01,AOS,0.0311,0.0311,0.0311,0.0311
2025-12-01,APA,0.0853,0.0853,0.0853,0.0853
2025-12-01,APD,-0.0014,-0.0014,-0.0014,-0.0014
2025-12-01,APH,-0.0109,-0.0109,-0.0109,-0.0109
2025-12-01,APO,0.0476,0.0476,0.0476,0.0476
2025-12-01,APP,0.1542,0.1542,0.1542,0.1542
2025-12-01,APTV,-0.0152,-0.0152,-0.0152,-0.0152
2025-12-01,ARE,-0.1526,-0.1526,-0.1526,-0.1526
2025-12-01,ASC,-0.0327,-0.0327,-0.0327,-0.0327
2025-12-01,ATO,-0.0288,-0.0288,-0.0288,-0.0288
2025-12-01,AVB,-0.0215,-0.0215,-0.0215,-0.0215
2025-12-01,AVGO,-0.0316,-0.0316,-0.0316,-0.0316
2025-12-01,AVY,0.0404,0.0404,0.0404,0.0404
2025-12-01,AWK,-0.0044,-0.0044,-0.0044,-0.0044
2025-12-01,AXON,0.02,0.02,0.02,0.02
2025-12-01,AXP,0.0139,0.0139,0.0139,0.0139
2025-12-01,AZO,-0.0333,-0.0333,-0.0333,-0.0333
2025-12-01,BA,0.0682,0.0682,0.0682,0.0682
2025-12-01,BAC,0.0056,0.0056,0.0056,0.0056
2025-12-01,BALL,-0.0101,-0.0101,-0.0101,-0.0101
2025-12-01,BAX,-0.0107,-0.0107,-0.0107,-0.0107
2025-12-01,BBY,-0.0645,-0.0645,-0.0645,-0.0645
2025-12-01,BDX,-0.0003,-0.0003,-0.0003,-0.0003
2025-12-01,BEN,0.0359,0.0359,0.0359,0.0359
2025-12-01,BF.B,0.049,0.049,0.049,0.049
2025-12-01,BG,-0.0254,-0.0254,-0.0254,-0.0254
2025-12-01,BIIB,-0.0043,-0.0043,-0.0043,-0.0043
2025-12-01,BK,0.0171,0.0171,0.0171,0.0171
2025-12-01,BKNG,0.0575,0.0575,0.0575,0.0575
2025-12-01,BKR,-0.0199,-0.0199,-0.0199,-0.0199
2025-12-01,BLDR,-0.0198,-0.0198,-0.0198,-0.0198
2025-12-01,BLK,0.0237,0.0237,0.0237,0.0237
2025-12-01,BMY,0.06,0.06,0.06,0.06
2025-12-01,BR,0.0172,0.0172,0.0172,0.0172
2025-12-01,BRK.B,-0.0184,-0.0184,-0.0184,-0.0184
2025-12-01,BRO,-0.0256,-0.0256,-0.0256,-0.0256
2025-12-01,BSX,-0.04,-0.04,-0.04,-0.04
2025-12-01,BTC=F,-0.0328,-0.0328,-0.0328,-0.0328
2025-12-01,BTI,-0.0281,-0.0281,-0.0281,-0.0281
2025-12-01,BTU,0.0653,0.0653,0.0653,0.0653
2025-12-01,BX,0.0391,0.0391,0.0391,0.0391
2025-12-01,BXP,-0.0426,-0.0426,-0.0426,-0.0426
2025-12-01,C,0.051,0.051,0.051,0.051
2025-12-01,CAG,-0.0448,-0.0448,-0.0448,-0.0448
2025-12-01,CAH,-0.0633,-0.0633,-0.0633,-0.0633
2025-12-01,CALM,0.0167,0.0167,0.0167,0.0167
2025-12-01,CANE,-0.0193,-0.0193,-0.0193,-0.0193
2025-12-01,CARR,-0.0108,-0.0108,-0.0108,-0.0108
2025-12-01,CAT,0.0476,0.0476,0.0476,0.0476
2025-12-01,CB,-0.004,-0.004,-0.004,-0.004
2025-12-01,CBOE,-0.021,-0.021,-0.021,-0.021
2025-12-01,CBRE,-0.006,-0.006,-0.006,-0.006
2025-12-01,CCI,-0.0219,-0.0219,-0.0219,-0.0219
2025-12-01,CCJ,0.0312,0.0312,0.0312,0.0312
2025-12-01,CCL,0.0035,0.0035,0.0035,0.0035
2025-12-01,CDNS,0.0824,0.0824,0.0824,0.0824
2025-12-01,CDW,0.0141,0.0141,0.0141,0.0141
2025-12-01,CEG,-0.0125,-0.0125,-0.0125,-0.0125
2025-12-01,CF,-0.0104,-0.0104,-0.0104,-0.0104
2025-12-01,CFG,0.0251,0.0251,0.0251,0.0251
2025-12-01,CHD,-0.0075,-0.0075,-0.0075,-0.0075
2025-12-01,CHRW,-0.0104,-0.0104,-0.0104,-0.0104
2025-12-01,CHTR,0.0249,0.0249,0.0249,0.0249
2025-12-01,CI,-0.0427,-0.0427,-0.0427,-0.0427
2025-12-01,CINF,-0.0316,-0.0316,-0.0316,-0.0316
