Date,Ticker,monthly_range,monthly_range_avg,monthly_range_hi,monthly_range_lo
2024-11-01,A,18.2,17.1,21.0,13.3
2024-12-01,A,13.3,17.1,21.0,13.3
2025-01-01,A,21.1,17.1,21.0,13.3
2025-02-01,A,24.5,17.1,21.0,13.3
2025-03-01,A,15.7,17.1,21.0,13.3
2025-04-01,A,20.0,17.1,21.0,13.3
2025-05-01,A,12.9,17.1,21.0,13.3
2025-06-01,A,13.1,17.1,21.0,13.3
2025-07-01,A,15.7,17.1,21.0,13.3
2025-08-01,A,15.1,17.1,21.0,13.3
2025-09-01,A,10.2,17.1,21.0,13.3
2025-10-01,A,21.3,17.1,21.0,13.3
2025-11-01,A,20.0,17.1,21.0,13.3
2025-12-01,A,17.9,17.1,21.0,13.3
2026-01-01,A,20.5,17.1,21.0,13.3
2026-02-01,A,12.2,17.1,21.0,13.3
2024-11-01,AAPL,18.1,26.6,37.8,15.5
2024-12-01,AAPL,22.9,26.6,37.8,15.5
2025-01-01,AAPL,29.7,26.6,37.8,15.5
2025-02-01,AAPL,24.3,26.6,37.8,15.5
2025-03-01,AAPL,35.6,26.6,37.8,15.5
2025-04-01,AAPL,56.0,26.6,37.8,15.5
2025-05-01,AAPL,21.3,26.6,37.8,15.5
2025-06-01,AAPL,12.3,26.6,37.8,15.5
2025-07-01,AAPL,10.1,26.6,37.8,15.5
2025-08-01,AAPL,33.6,26.6,37.8,15.5
2025-09-01,AAPL,31.7,26.6,37.8,15.5
2025-10-01,AAPL,33.3,26.6,37.8,15.5
2025-11-01,AAPL,15.1,26.6,37.8,15.5
2025-12-01,AAPL,21.7,26.6,37.8,15.5
2026-01-01,AAPL,34.4,26.6,37.8,15.5
2026-02-01,AAPL,21.7,26.6,37.8,15.5
2024-11-01,ABBV,42.3,24.5,34.3,14.7
2024-12-01,ABBV,13.3,24.5,34.3,14.7
2025-01-01,ABBV,23.7,24.5,34.3,14.7
2025-02-01,ABBV,27.5,24.5,34.3,14.7
2025-03-01,ABBV,22.2,24.5,34.3,14.7
2025-04-01,ABBV,47.8,24.5,34.3,14.7
2025-05-01,ABBV,22.4,24.5,34.3,14.7
2025-06-01,ABBV,11.9,24.5,34.3,14.7
2025-07-01,ABBV,14.4,24.5,34.3,14.7
2025-08-01,ABBV,22.7,24.5,34.3,14.7
2025-09-01,ABBV,24.7,24.5,34.3,14.7
2025-10-01,ABBV,28.8,24.5,34.3,14.7
2025-11-01,ABBV,27.6,24.5,34.3,14.7
2025-12-01,ABBV,11.8,24.5,34.3,14.7
2026-01-01,ABBV,27.1,24.5,34.3,14.7
2026-02-01,ABBV,25.5,24.5,34.3,14.7
2024-11-01,ABNB,18.8,18.1,25.2,11.0
2024-12-01,ABNB,13.2,18.1,25.2,11.0
2025-01-01,ABNB,12.5,18.1,25.2,11.0
2025-02-01,ABNB,36.4,18.1,25.2,11.0
2025-03-01,ABNB,29.1,18.1,25.2,11.0
2025-04-01,ABNB,26.1,18.1,25.2,11.0
2025-05-01,ABNB,19.7,18.1,25.2,11.0
2025-06-01,ABNB,16.8,18.1,25.2,11.0
2025-07-01,ABNB,11.2,18.1,25.2,11.0
2025-08-01,ABNB,14.9,18.1,25.2,11.0
2025-09-01,ABNB,9.5,18.1,25.2,11.0
2025-10-01,ABNB,13.7,18.1,25.2,11.0
2025-11-01,ABNB,16.5,18.1,25.2,11.0
2025-12-01,ABNB,22.9,18.1,25.2,11.0
2026-01-01,ABNB,13.6,18.1,25.2,11.0
2026-02-01,ABNB,13.1,18.1,25.2,11.0
2024-11-01,ABT,6.6,12.2,17.0,7.4
2024-12-01,ABT,7.5,12.2,17.0,7.4
2025-01-01,ABT,19.0,12.2,17.0,7.4
2025-02-01,ABT,12.4,12.2,17.0,7.4
2025-03-01,ABT,16.7,12.2,17.0,7.4
2025-04-01,ABT,13.7,12.2,17.0,7.4
2025-05-01,ABT,8.8,12.2,17.0,7.4
2025-06-01,ABT,8.2,12.2,17.0,7.4
2025-07-01,ABT,17.3,12.2,17.0,7.4
2025-08-01,ABT,9.2,12.2,17.0,7.4
2025-09-01,ABT,10.0,12.2,17.0,7.4
2025-10-01,ABT,12.8,12.2,17.0,7.4
2025-11-01,ABT,9.9,12.2,17.0,7.4
2025-12-01,ABT,9.2,12.2,17.0,7.4
2026-01-01,ABT,24.2,12.2,17.0,7.4
2026-02-01,ABT,6.5,12.2,17.0,7.4
2024-11-01,ACGL,9.2,8.9,11.2,6.5
2024-12-01,ACGL,12.4,8.9,11.2,6.5
2025-01-01,ACGL,7.4,8.9,11.2,6.5
2025-02-01,ACGL,6.9,8.9,11.2,6.5
2025-03-01,ACGL,9.1,8.9,11.2,6.5
