Date,Ticker,monthly_volume,monthly_volume_avg,monthly_volume_hi,monthly_volume_lo
2024-08-01,A,33.6,37.3,45.1,29.6
2024-09-01,A,31.2,37.3,45.1,29.6
2024-10-01,A,30.7,37.3,45.1,29.6
2024-11-01,A,44.6,37.3,45.1,29.6
2024-12-01,A,32.5,37.3,45.1,29.6
2025-01-01,A,35.2,37.3,45.1,29.6
2025-02-01,A,33.1,37.3,45.1,29.6
2025-03-01,A,44.9,37.3,45.1,29.6
2025-04-01,A,52.8,37.3,45.1,29.6
2025-05-01,A,48.3,37.3,45.1,29.6
2025-06-01,A,38.3,37.3,45.1,29.6
2025-07-01,A,40.0,37.3,45.1,29.6
2025-08-01,A,29.5,37.3,45.1,29.6
2025-09-01,A,37.3,37.3,45.1,29.6
2025-10-01,A,16.7,37.3,45.1,29.6
2024-08-01,AAPL,1122.7,1106.0,1329.2,882.7
2024-09-01,AAPL,1232.1,1106.0,1329.2,882.7
2024-10-01,AAPL,930.7,1106.0,1329.2,882.7
2024-11-01,AAPL,891.6,1106.0,1329.2,882.7
2024-12-01,AAPL,977.9,1106.0,1329.2,882.7
2025-01-01,AAPL,1200.2,1106.0,1329.2,882.7
2025-02-01,AAPL,862.3,1106.0,1329.2,882.7
2025-03-01,AAPL,1115.2,1106.0,1329.2,882.7
2025-04-01,AAPL,1607.3,1106.0,1329.2,882.7
2025-05-01,AAPL,1195.7,1106.0,1329.2,882.7
2025-06-01,AAPL,1100.4,1106.0,1329.2,882.7
2025-07-01,AAPL,1079.9,1106.0,1329.2,882.7
2025-08-01,AAPL,1218.1,1106.0,1329.2,882.7
2025-09-01,AAPL,1265.5,1106.0,1329.2,882.7
2025-10-01,AAPL,353.9,1106.0,1329.2,882.7
2024-08-01,ABBV,99.3,125.6,155.7,95.6
2024-09-01,ABBV,95.3,125.6,155.7,95.6
2024-10-01,ABBV,115.8,125.6,155.7,95.6
2024-11-01,ABBV,155.2,125.6,155.7,95.6
2024-12-01,ABBV,121.1,125.6,155.7,95.6
2025-01-01,ABBV,124.4,125.6,155.7,95.6
2025-02-01,ABBV,111.9,125.6,155.7,95.6
2025-03-01,ABBV,148.3,125.6,155.7,95.6
2025-04-01,ABBV,204.4,125.6,155.7,95.6
2025-05-01,ABBV,151.5,125.6,155.7,95.6
2025-06-01,ABBV,125.4,125.6,155.7,95.6
2025-07-01,ABBV,123.1,125.6,155.7,95.6
2025-08-01,ABBV,96.5,125.6,155.7,95.6
2025-09-01,ABBV,115.7,125.6,155.7,95.6
2025-10-01,ABBV,59.9,125.6,155.7,95.6
2024-08-01,ABNB,136.9,103.2,127.0,79.4
2024-09-01,ABNB,88.0,103.2,127.0,79.4
2024-10-01,ABNB,71.4,103.2,127.0,79.4
2024-11-01,ABNB,117.4,103.2,127.0,79.4
2024-12-01,ABNB,92.3,103.2,127.0,79.4
2025-01-01,ABNB,81.3,103.2,127.0,79.4
2025-02-01,ABNB,119.2,103.2,127.0,79.4
2025-03-01,ABNB,113.7,103.2,127.0,79.4
2025-04-01,ABNB,130.5,103.2,127.0,79.4
2025-05-01,ABNB,128.8,103.2,127.0,79.4
2025-06-01,ABNB,97.8,103.2,127.0,79.4
2025-07-01,ABNB,74.4,103.2,127.0,79.4
2025-08-01,ABNB,119.6,103.2,127.0,79.4
2025-09-01,ABNB,104.5,103.2,127.0,79.4
2025-10-01,ABNB,36.7,103.2,127.0,79.4
2024-08-01,ABT,115.7,123.8,150.2,97.4
2024-09-01,ABT,97.6,123.8,150.2,97.4
2024-10-01,ABT,114.2,123.8,150.2,97.4
2024-11-01,ABT,105.8,123.8,150.2,97.4
2024-12-01,ABT,99.9,123.8,150.2,97.4
2025-01-01,ABT,145.5,123.8,150.2,97.4
2025-02-01,ABT,110.2,123.8,150.2,97.4
2025-03-01,ABT,159.8,123.8,150.2,97.4
2025-04-01,ABT,162.7,123.8,150.2,97.4
2025-05-01,ABT,138.2,123.8,150.2,97.4
2025-06-01,ABT,118.6,123.8,150.2,97.4
2025-07-01,ABT,167.0,123.8,150.2,97.4
2025-08-01,ABT,112.4,123.8,150.2,97.4
2025-09-01,ABT,114.3,123.8,150.2,97.4
2025-10-01,ABT,49.0,123.8,150.2,97.4
2024-08-01,ACGL,30.7,38.4,48.0,28.7
2024-09-01,ACGL,28.9,38.4,48.0,28.7
2024-10-01,ACGL,42.6,38.4,48.0,28.7
2024-11-01,ACGL,43.9,38.4,48.0,28.7
2024-12-01,ACGL,37.5,38.4,48.0,28.7
2025-01-01,ACGL,39.1,38.4,48.0,28.7
2025-02-01,ACGL,36.5,38.4,48.0,28.7
2025-03-01,ACGL,36.1,38.4,48.0,28.7
2025-04-01,ACGL,37.3,38.4,48.0,28.7
2025-05-01,ACGL,30.7,38.4,48.0,28.7
2025-06-01,ACGL,32.5,38.4,48.0,28.7
2025-07-01,ACGL,64.2,38.4,48.0,28.7
2025-08-01,ACGL,40.7,38.4,48.0,28.7
2025-09-01,ACGL,45.4,38.4,48.0,28.7
2025-10-01,ACGL,13.2,38.4,48.0,28.7
2024-08-01,ACN,44.5,67.9,91.0,44.8
