Date,Ticker,ST_Trend,st_avg,st_hi,st_lo
2025-12-05,A,-0.1913,-0.1913,,
2025-12-05,AAPL,0.0653,0.0653,,
2025-12-05,ABBV,-0.0475,-0.0475,,
2025-12-05,ABNB,0.1804,0.1804,,
2025-12-05,ABT,-0.0156,-0.0156,,
2025-12-05,ACGL,-0.0035,-0.0035,,
2025-12-05,ACN,0.0077,0.0077,,
2025-12-05,ADBE,0.1076,0.1076,,
2025-12-05,ADI,0.0555,0.0555,,
2025-12-05,ADM,-0.2487,-0.2487,,
2025-12-05,ADP,0.01,0.01,,
2025-12-05,ADSK,0.3578,0.3578,,
2025-12-05,AEE,0.1284,0.1284,,
2025-12-05,AEP,-0.0133,-0.0133,,
2025-12-05,AES,0.0188,0.0188,,
2025-12-05,AFL,-0.068,-0.068,,
2025-12-05,AIG,-0.053,-0.053,,
2025-12-05,AIZ,0.0547,0.0547,,
2025-12-05,AJG,-0.0604,-0.0604,,
2025-12-05,AKAM,-0.0964,-0.0964,,
2025-12-05,ALB,-0.0351,-0.0351,,
2025-12-05,ALGN,0.0617,0.0617,,
2025-12-05,ALL,-0.1067,-0.1067,,
2025-12-05,ALLE,0.0093,0.0093,,
2025-12-05,AMAT,-0.0829,-0.0829,,
2025-12-05,AMCR,0.0711,0.0711,,
2025-12-05,AMD,-0.0049,-0.0049,,
2025-12-05,AME,-0.0752,-0.0752,,
2025-12-05,AMGN,-0.0976,-0.0976,,
2025-12-05,AMP,-0.0551,-0.0551,,
2025-12-05,AMT,0.0941,0.0941,,
2025-12-05,AMZN,-0.0415,-0.0415,,
2025-12-05,ANET,-0.0176,-0.0176,,
2025-12-05,AON,-0.109,-0.109,,
2025-12-05,AOS,0.0076,0.0076,,
2025-12-05,APA,0.0486,0.0486,,
2025-12-05,APD,0.0215,0.0215,,
2025-12-05,APH,-0.0021,-0.0021,,
2025-12-05,APO,0.0033,0.0033,,
2025-12-05,APP,0.1457,0.1457,,
2025-12-05,APTV,-0.0505,-0.0505,,
2025-12-05,ARE,-0.0439,-0.0439,,
2025-12-05,ASC,-0.008,-0.008,,
2025-12-05,ATO,-0.0102,-0.0102,,
2025-12-05,AVB,0.0296,0.0296,,
2025-12-05,AVGO,-0.0241,-0.0241,,
2025-12-05,AVY,0.0223,0.0223,,
2025-12-05,AWK,-0.2237,-0.2237,,
2025-12-05,AXON,0.161,0.161,,
2025-12-05,AXP,-0.0286,-0.0286,,
2025-12-05,AZO,-0.056,-0.056,,
2025-12-05,BA,0.106,0.106,,
2025-12-05,BAC,-0.055,-0.055,,
2025-12-05,BALL,0.091,0.091,,
2025-12-05,BAX,-0.0671,-0.0671,,
2025-12-05,BBY,-0.026,-0.026,,
2025-12-05,BDX,0.0179,0.0179,,
2025-12-05,BEN,-0.1201,-0.1201,,
2025-12-05,BF.B,0.0036,0.0036,,
2025-12-05,BG,-0.0186,-0.0186,,
2025-12-05,BIIB,0.001,0.001,,
2025-12-05,BK,-0.3608,-0.3608,,
2025-12-05,BKNG,0.0811,0.0811,,
2025-12-05,BKR,-0.0015,-0.0015,,
2025-12-05,BLDR,-0.0367,-0.0367,,
2025-12-05,BLK,-0.0471,-0.0471,,
2025-12-05,BMY,0.0214,0.0214,,
2025-12-05,BR,0.0656,0.0656,,
2025-12-05,BRK.B,-0.0146,-0.0146,,
2025-12-05,BRO,-0.2119,-0.2119,,
2025-12-05,BSX,-0.0583,-0.0583,,
2025-12-05,BTC=F,0.0856,0.0856,,
2025-12-05,BTI,-0.2681,-0.2681,,
2025-12-05,BTU,0.0602,0.0602,,
2025-12-05,BX,-0.0117,-0.0117,,
2025-12-05,BXP,-0.0194,-0.0194,,
2025-12-05,C,-0.1535,-0.1535,,
2025-12-05,CAG,0.112,0.112,,
2025-12-05,CAH,0.2795,0.2795,,
2025-12-05,CALM,0.1134,0.1134,,
2025-12-05,CANE,0.0519,0.0519,,
2025-12-05,CARR,-0.0638,-0.0638,,
2025-12-05,CAT,0.015,0.015,,
2025-12-05,CB,-0.0029,-0.0029,,
2025-12-05,CBOE,-0.0867,-0.0867,,
2025-12-05,CBRE,0.0082,0.0082,,
2025-12-05,CCI,-0.0118,-0.0118,,
2025-12-05,CCJ,0.1116,0.1116,,
