Date,Ticker,LT_Trend,lt_avg,lt_hi,lt_lo
2025-12-01,A,0.0192,0.0192,0.0192,0.0192
2025-12-01,AAPL,0.0268,0.0268,0.0268,0.0268
2025-12-01,ABBV,0.046,0.046,0.046,0.046
2025-12-01,ABNB,-0.0402,-0.0402,-0.0402,-0.0402
2025-12-01,ABT,0.0217,0.0217,0.0217,0.0217
2025-12-01,ACGL,0.0133,0.0133,0.0133,0.0133
2025-12-01,ACN,-0.0263,-0.0263,-0.0263,-0.0263
2025-12-01,ADBE,-0.0708,-0.0708,-0.0708,-0.0708
2025-12-01,ADI,0.0186,0.0186,0.0186,0.0186
2025-12-01,ADM,-0.0488,-0.0488,-0.0488,-0.0488
2025-12-01,ADP,0.0134,0.0134,0.0134,0.0134
2025-12-01,ADSK,0.0166,0.0166,0.0166,0.0166
2025-12-01,AEE,0.0408,0.0408,0.0408,0.0408
2025-12-01,AEP,0.0446,0.0446,0.0446,0.0446
2025-12-01,AES,-0.0258,-0.0258,-0.0258,-0.0258
2025-12-01,AFL,0.0395,0.0395,0.0395,0.0395
2025-12-01,AIG,0.0237,0.0237,0.0237,0.0237
2025-12-01,AIZ,0.0194,0.0194,0.0194,0.0194
2025-12-01,AJG,0.0174,0.0174,0.0174,0.0174
2025-12-01,AKAM,-0.0381,-0.0381,-0.0381,-0.0381
2025-12-01,ALB,-0.0274,-0.0274,-0.0274,-0.0274
2025-12-01,ALGN,-0.0751,-0.0751,-0.0751,-0.0751
2025-12-01,ALL,0.0441,0.0441,0.0441,0.0441
2025-12-01,ALLE,0.0326,0.0326,0.0326,0.0326
2025-12-01,AMAT,0.0476,0.0476,0.0476,0.0476
2025-12-01,AMCR,-0.0189,-0.0189,-0.0189,-0.0189
2025-12-01,AMD,0.0826,0.0826,0.0826,0.0826
2025-12-01,AME,0.0055,0.0055,0.0055,0.0055
2025-12-01,AMGN,0.0293,0.0293,0.0293,0.0293
2025-12-01,AMP,-0.002,-0.002,-0.002,-0.002
2025-12-01,AMT,-0.0268,-0.0268,-0.0268,-0.0268
2025-12-01,AMZN,0.0406,0.0406,0.0406,0.0406
2025-12-01,ANET,0.1112,0.1112,0.1112,0.1112
2025-12-01,AON,0.0054,0.0054,0.0054,0.0054
2025-12-01,AOS,0.007,0.007,0.007,0.007
2025-12-01,APA,-0.0779,-0.0779,-0.0779,-0.0779
2025-12-01,APD,-0.0279,-0.0279,-0.0279,-0.0279
2025-12-01,APH,0.1022,0.1022,0.1022,0.1022
2025-12-01,APO,0.0136,0.0136,0.0136,0.0136
2025-12-01,APP,0.3446,0.3446,0.3446,0.3446
2025-12-01,APTV,-0.0321,-0.0321,-0.0321,-0.0321
2025-12-01,ARE,-0.1096,-0.1096,-0.1096,-0.1096
2025-12-01,ASC,-0.0106,-0.0106,-0.0106,-0.0106
2025-12-01,ATO,0.0635,0.0635,0.0635,0.0635
2025-12-01,AVB,-0.0169,-0.0169,-0.0169,-0.0169
2025-12-01,AVGO,0.1437,0.1437,0.1437,0.1437
2025-12-01,AVY,-0.0161,-0.0161,-0.0161,-0.0161
2025-12-01,AWK,0.006,0.006,0.006,0.006
