Ticker,Ticker_name,Category,Date,daily_return_pct
RCL,ROYAL CARIBBEAN CRUISES LTD.,Consumer Discretionary,2025-12-11,0.0742
NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD.,Consumer Discretionary,2025-12-11,0.0681
V,VISA INC.,Financials,2025-12-11,0.0611
MOS,THE MOSAIC COMPANY,Materials,2025-12-11,0.0606
CCL,CARNIVAL CORP,Consumer Discretionary,2025-12-11,0.0594
SILJ,ETFMG PRIME JR SILVR MNR,Commodities,2025-12-11,0.0579
VST,VISTRA CORP.,Utilities,2025-12-11,0.0571
ELV,"ELEVANCE HEALTH, INC.",Health Care,2025-12-11,0.0562
DG,DOLLAR GENERAL ,Consumer Staples,2025-12-11,0.0539
NEM,NEWMONT ,Materials,2025-12-11,0.0532
