Ticker,Ticker_name,Category,Date,model_score
CMG,"CHIPOTLE MEXICAN GRILL, INC.",Consumer Discretionary,2025-12-29,-102.0
MCHP,MICROCHIP TECHNOLOGY INC.,Information Technology,2025-12-29,-102.0
LULU,LULULEMON ATHLETICA INC.,Consumer Discretionary,2025-12-29,-100.0
NXPI,NXP SEMICONDUCTORS NV,Information Technology,2025-12-29,-91.0
CCL,CARNIVAL CORP,Consumer Discretionary,2025-12-29,-88.0
EWA,ISHARES:MSCI AUSTRALIA,Foreign,2025-12-29,-88.0
LMT,LOCKHEED MARTIN ,Industrials,2025-12-29,-88.0
WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES ,Industrials,2025-12-29,-88.0
DASH,"DOORDASH, INC.",Consumer Discretionary,2025-12-29,-86.0
MOH,"MOLINA HEALTHCARE, INC.",Health Care,2025-12-29,-85.0
