Ticker,Ticker_name,Category,Date,ST_Trend_Change
AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,2025-10-06,0.0625
SD,"SANDRIDGE ENERGY, INC.",MR Discretion,2025-10-06,0.0218
EXPE,"EXPEDIA GROUP, INC.",Consumer Discretionary,2025-10-06,0.0194
BTU,PEABODY ENERGY ,MR Discretion,2025-10-06,0.0161
VTRS,VIATRIS INC.,Health Care,2025-10-06,0.0123
SJM,THE J. M. SMUCKER COMPANY,Consumer Staples,2025-10-06,0.0107
ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,2025-10-06,0.0105
TTD,"THE TRADE DESK, INC.",Communication Services,2025-10-06,0.0101
ISRG,"INTUITIVE SURGICAL, INC.",Health Care,2025-10-06,0.0099
SNPS,"SYNOPSYS, INC.",Information Technology,2025-10-06,0.0098
