Ticker,Ticker_name,Category,Date,MT_Trend_Change
GEOS,GEOSPACE TECHNOLOGIES ,MR Discretion,2025-09-23,-0.0667
COIN,"COINBASE GLOBAL, INC.",Financials,2025-09-23,-0.0523
NKE,"NIKE, INC.",Consumer Discretionary,2025-09-23,-0.0324
AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,2025-09-23,-0.0219
EL,THE ESTEE LAUDER COMPANIES INC.,Consumer Staples,2025-09-23,-0.0191
CCL,CARNIVAL CORP,Consumer Discretionary,2025-09-23,-0.0181
CRWD,"CROWDSTRIKE HOLDINGS, INC.",Information Technology,2025-09-23,-0.0177
RCL,ROYAL CARIBBEAN CRUISES LTD.,Consumer Discretionary,2025-09-23,-0.0174
NTRS,NORTHERN TRUST ,Financials,2025-09-23,-0.0163
FI,"FISERV, INC.",Financials,2025-09-23,-0.0147
