Ticker,Ticker_name,Category,Date,ST_Trend,LT_Trend,MT_Trend,ST_Trend_Change,MT_Trend_Change,prem_disc,WatchScore
ADSK,"AUTODESK, INC.",Information Technology,2025-10-06,-0.0026,0.0313,0.0303,0.0025,0.0108,1.1568,1.1908
TEL,TE CONNECTIVITY LTD,Information Technology,2025-10-06,0.0185,0.0478,0.0851,0.0009,0.0082,1.1534,1.1827
TIP,ISHARES:TIPS BD ETF,Bonds,2025-10-06,-0.0009,0.0101,0.0067,0.0002,0.011,1.1576,1.1686
BKNG,BOOKING HOLDINGS INC.,Consumer Discretionary,2025-10-06,0.0013,0.0405,-0.0149,0.0054,0.0006,0.9908,1.03
QUAL,ISHARES:MSCI USA QF,Sector & Style ETFs,2025-10-06,0.0079,0.0166,0.0102,0.0004,0.0032,0.9999,1.0086
DASH,"DOORDASH, INC.",Consumer Discretionary,2025-10-06,0.0184,0.139,0.0451,0.0051,0.0087,0.8744,0.995
PANW,"PALO ALTO NETWORKS, INC.",Information Technology,2025-10-06,0.0163,0.0463,0.0573,0.0023,0.0105,0.9505,0.9806
GLW,CORNING INC.,Information Technology,2025-10-06,0.0331,0.1228,0.119,0.0001,0.0161,0.851,0.9407
NFLX,"NETFLIX, INC.",Communication Services,2025-10-06,-0.0129,0.1055,-0.0192,0.0037,0.0005,0.7937,0.9121
HAS,"HASBRO, INC.",Consumer Discretionary,2025-10-06,-0.0106,0.0509,-0.016,0.0036,0.0003,0.848,0.9095
