Ticker,Ticker_name,Category,Date,ST_Trend,MT_Trend,LT_Trend,ST_Trend_Change,MT_Trend_Change,UpCycleScore
SNDK,SANDISK CORPORATION,Information Technology,2026-01-07,0.1452,0.224,0.5878,0.0269,0.0261,0.4425
APP,APPLOVIN CORP,Information Technology,2026-01-07,-0.0478,-0.0015,0.3482,0.0019,0.0256,0.396
SCHP,SCHWAB STR:US TIPS,Bonds,2026-01-07,-0.0025,0.0011,0.3043,0.0004,0.0002,0.3068
GEV,GE VERNOVA INC.,Industrials,2026-01-07,-0.0123,0.0402,0.2846,0.0002,0.0031,0.2968
CVNA,CARVANA CO.,Consumer Discretionary,2026-01-07,-0.0339,0.0286,0.2112,0.008,0.0151,0.2451
FIX,"COMFORT SYSTEMS USA, INC.",Industrials,2026-01-07,0.0125,0.028,0.1834,0.0052,0.0038,0.1709
WELL,WELLTOWER INC.,Real Estate,2026-01-07,-0.0064,0.0132,0.1126,0.0015,0.0022,0.119
NEM,NEWMONT ,Materials,2026-01-07,0.0192,0.0477,0.1317,0.0006,0.0016,0.1124
GOOGL,ALPHABET INC.,Communication Services,2026-01-07,0.0064,0.0609,0.1047,0.0046,0.0056,0.0983
FOXA,FOX ,Communication Services,2026-01-07,0.0145,0.0807,0.1039,0.0001,0.0149,0.0895
