Ticker,Ticker_name,Category,Date,Spread_Quad,Spread_Score
FXC,INVESCO:CANADIAN DOLLAR,Currencies,2025-09-29,1,561.7102
STIP,ISHARES:0-5 TIPS BD ETF,Bonds & Yields,2025-09-29,1,517.0125
AMCR,AMCOR PLC,Materials,2025-09-29,1,512.367
CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,2025-09-29,1,286.8877
CMCSA,COMCAST ,Communication Services,2025-09-29,1,229.495
FSLR,"FIRST SOLAR, INC.",Information Technology,2025-09-29,1,228.3871
DAL,"DELTA AIR LINES, INC.",Industrials,2025-09-29,1,226.2129
NSC,NORFOLK SOUTHERN ,Industrials,2025-09-29,1,209.9226
NOW,"SERVICENOW, INC.",Information Technology,2025-09-29,1,194.0645
HST,"HOST HOTELS & RESORTS, INC.",Real Estate,2025-09-29,1,178.4432
