Ticker,Ticker_name,Category,Date,Sharpe_Rank
BSX,BOSTON SCIENTIFIC CORPORATION,Health Care,2025-09-22,0.2
CMCSA,COMCAST CORPORATION,Communication Services,2025-09-22,0.2
EW,EDWARDS LIFESCIENCES CORPORATION,Health Care,2025-09-22,0.2
FI,"FISERV, INC.",Financials,2025-09-22,0.2
HON,HONEYWELL INTERNATIONAL INC.,Industrials,2025-09-22,0.2
TXN,TEXAS INSTRUMENTS INCORPORATED,Information Technology,2025-09-22,0.2
ZTS,ZOETIS INC.,Health Care,2025-09-22,0.2
BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",Industrials,2025-09-22,0.6
VICI,VICI PROPERTIES INC.,Real Estate,2025-09-22,0.6
AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,2025-09-22,0.8
