Ticker,Ticker_name,Category,Date,change_pct
APP,APPLOVIN CORP,Information Technology,2026-01-30,0.9719
PLTR,PALANTIR TECHNOLOGIES INC.,Information Technology,2026-01-30,0.6075
SLV,ISHARES:SILVER TRUST,Commodities,2026-01-30,0.5228
CVNA,CARVANA CO.,Consumer Discretionary,2026-01-30,0.5179
HOOD,"ROBINHOOD MARKETS, INC.",Financials,2026-01-30,0.5062
VIX,CBOE MKT VOLATILITY IDX,Volatility,2026-01-30,0.4903
GEOS,GEOSPACE TECHNOLOGIES ,MR Discretion,2026-01-30,0.4618
AXON,"AXON ENTERPRISE, INC.",Industrials,2026-01-30,0.4211
SNDK,SANDISK CORPORATION,Information Technology,2026-01-30,0.4026
PPLT,ABRDN:PHYSICAL PLATINUM,Commodities,2026-01-30,0.3967
