Ticker,Ticker_name,Category,Date,Sharpe_Rank,previous_Sharpe_Rank,Sharpe_Rank_daily_change
JNK,SPDR BBG HIGH YIELD BD,Bonds,2025-12-03,65.9,75.4,-9.5
PFF,ISHARES:PREF AND INC SEC,Bonds,2025-12-03,62.1,55.8,6.300000000000004
HYG,ISHARES:IBOXX $HY CORP,Bonds,2025-12-03,56.3,76.6,-20.299999999999997
STIP,ISHARES:0-5 TIPS BD ETF,Bonds,2025-12-03,45.4,58.9,-13.5
SHY,ISHARES:1-3 TRS BD ETF,Bonds,2025-12-03,43.1,80.4,-37.300000000000004
LQD,ISHARES:IBOXX $IG CORP,Bonds,2025-12-03,40.9,46.2,-5.300000000000004
IEF,ISHARES:7-10 TRS BD ETF,Bonds,2025-12-03,37.5,38.3,-0.7999999999999972
TIP,ISHARES:TIPS BD ETF,Bonds,2025-12-03,31.0,30.4,0.6000000000000014
HYD,VANECK:HIGH YIELD MUNI,Bonds,2025-12-03,30.4,35.7,-5.300000000000004
MUB,ISHARES:NATL MUNI BOND,Bonds,2025-12-03,30.0,45.2,-15.200000000000003
SCHP,SCHWAB STR:US TIPS,Bonds,2025-12-03,28.8,32.7,-3.900000000000002
TLT,ISHARES:20+ TRS BD ETF,Bonds,2025-12-03,23.4,23.2,0.1999999999999993
EDV,VANGUARD EXT DUR T;ETF,Bonds,2025-12-03,22.6,23.2,-0.5999999999999979
SLV,ISHARES:SILVER TRUST,Commodities,2025-12-03,94.6,92.3,2.299999999999997
CANE,TEUCRIUM:SUGAR,Commodities,2025-12-03,92.7,85.1,7.6000000000000085
CPER,UNITED STATES COPPER IDX,Commodities,2025-12-03,86.7,51.8,34.900000000000006
SILJ,ETFMG PRIME JR SILVR MNR,Commodities,2025-12-03,83.9,76.6,7.300000000000011
UNG,UNITED STATES NAT GAS,Commodities,2025-12-03,83.7,79.2,4.5
GDXJ,VANECK:JR GOLD MINERS,Commodities,2025-12-03,81.7,76.4,5.299999999999997
GDX,VANECK:GOLD MINERS,Commodities,2025-12-03,78.4,70.0,8.400000000000006
PPLT,ABRDN:PHYSICAL PLATINUM,Commodities,2025-12-03,74.4,69.4,5.0
GLD,SPDR GOLD,Commodities,2025-12-03,73.8,64.1,9.700000000000003
DBB,INVESCO DB MS BMTL,Commodities,2025-12-03,72.4,25.2,47.2
TAGS,TEUCRIUM:AGRICULTURAL,Commodities,2025-12-03,72.4,76.2,-3.799999999999997
CORN,TEUCRIUM:CORN,Commodities,2025-12-03,54.0,62.3,-8.299999999999997
SOYB,TEUCRIUM:SOYBEAN,Commodities,2025-12-03,53.6,49.2,4.399999999999999
COMT,ISHARES:GSCI COMM DYN RS,Commodities,2025-12-03,52.8,35.9,16.9
DBC,INVESCO DB CM IDX,Commodities,2025-12-03,51.2,35.1,16.1
DBA,INVESCO DB MS AGRI,Commodities,2025-12-03,45.2,44.2,1.0
USO,UNITED STATES OIL FUND,Commodities,2025-12-03,40.9,23.8,17.099999999999998
WEAT,TEUCRIUM:WHEAT,Commodities,2025-12-03,34.9,44.6,-9.700000000000003
URA,GLBL X URANIUM ETF,Commodities,2025-12-03,33.3,19.0,14.299999999999997
MTCH,"MATCH GROUP, INC.",Communication Services,2025-12-03,83.7,67.3,16.400000000000006
GOOGL,ALPHABET INC.,Communication Services,2025-12-03,77.4,68.5,8.900000000000006
VZ,VERIZON COMMUNICATIONS INC.,Communication Services,2025-12-03,77.2,73.0,4.200000000000003
CMCSA,COMCAST ,Communication Services,2025-12-03,70.6,74.0,-3.4000000000000057
T,AT&T INC.,Communication Services,2025-12-03,67.7,73.4,-5.700000000000003
TMUS,"T-MOBILE US, INC.",Communication Services,2025-12-03,65.5,76.6,-11.099999999999994
NWSA,NEWS CORP.,Communication Services,2025-12-03,61.5,53.4,8.100000000000001
APP,APPLOVIN CORP,Communication Services,2025-12-03,57.3,47.6,9.699999999999996
TKO,"TKO GROUP HOLDINGS, INC.",Communication Services,2025-12-03,56.9,54.2,2.6999999999999957
WBD,"WARNER BROS. DISCOVERY, INC.",Communication Services,2025-12-03,55.0,60.5,-5.5
DIS,THE WALT DISNEY COMPANY,Communication Services,2025-12-03,54.6,44.6,10.0
META,"META PLATFORMS, INC.",Communication Services,2025-12-03,52.0,51.4,0.6000000000000014
PSKY,PARAMOUNT SKYDANCE ,Communication Services,2025-12-03,49.0,58.5,-9.5
FOXA,FOX ,Communication Services,2025-12-03,47.6,60.5,-12.899999999999999
OMC,OMNICOM GROUP INC.,Communication Services,2025-12-03,41.9,63.1,-21.200000000000003
LYV,"LIVE NATION ENTERTAINMENT, INC.",Communication Services,2025-12-03,33.9,18.3,15.599999999999998
TTWO,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",Communication Services,2025-12-03,31.7,29.0,2.6999999999999993
NFLX,"NETFLIX, INC.",Communication Services,2025-12-03,28.8,42.3,-13.499999999999996
CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,2025-12-03,24.8,24.2,0.6000000000000014
EA,ELECTRONIC ARTS INC.,Communication Services,2025-12-03,17.3,18.3,-1.0
TTD,"THE TRADE DESK, INC.",Communication Services,2025-12-03,7.3,6.5,0.7999999999999998
NVR,"NVR, INC.",Consumer Discretionary,2025-12-03,98.6,97.8,0.7999999999999972
DHI,"D.R. HORTON, INC.",Consumer Discretionary,2025-12-03,93.7,86.3,7.400000000000006
MAR,"MARRIOTT INTERNATIONAL, INC.",Consumer Discretionary,2025-12-03,93.1,94.8,-1.7000000000000028
DECK,DECKERS OUTDOOR ,Consumer Discretionary,2025-12-03,92.3,85.3,7.0
GM,GENERAL MOTORS COMPANY,Consumer Discretionary,2025-12-03,92.1,79.0,13.099999999999994
RL,RALPH LAUREN ,Consumer Discretionary,2025-12-03,91.1,82.7,8.399999999999991
LEN,LENNAR ,Consumer Discretionary,2025-12-03,91.1,88.9,2.1999999999999886
LULU,LULULEMON ATHLETICA INC.,Consumer Discretionary,2025-12-03,90.5,85.5,5.0
DPZ,"DOMINO'S PIZZA, INC.",Consumer Discretionary,2025-12-03,90.1,85.7,4.3999999999999915
