Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_wtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2025-11-18,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,-22.8,30.0,52.8
2025-11-18,AAPL,APPLE INC.,Information Technology,Information Technology,-45.0,38.3,83.3
2025-11-18,ABBV,ABBVIE INC.,Health Care,Health Care,-0.2,46.2,46.4
2025-11-18,ABNB,"AIRBNB, INC.",Consumer Discretionary,Consumer Discretionary,-16.9,0.6,17.5
2025-11-18,ABT,ABBOTT LABORATORIES,Health Care,Health Care,5.0,62.3,57.3
2025-11-18,ACGL,ARCH CAPITAL GROUP LTD.,Financials,Financials,-8.9,90.9,99.8
2025-11-18,ACN,ACCENTURE PUBLIC LIMITED COMPANY,Information Technology,Information Technology,-43.7,34.7,78.4
2025-11-18,ADBE,ADOBE INC.,Information Technology,Information Technology,-52.6,12.7,65.3
2025-11-18,ADI,"ANALOG DEVICES, INC.",Information Technology,Information Technology,-9.7,18.1,27.8
2025-11-18,ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,Consumer Staples,31.3,47.4,16.1
2025-11-18,ADP,"AUTOMATIC DATA PROCESSING, INC.",Industrials,Industrials,-10.5,2.6,13.1
2025-11-18,ADSK,"AUTODESK, INC.",Information Technology,Information Technology,-27.6,12.9,40.5
2025-11-18,AEE,AMEREN ,Utilities,Utilities,4.6,36.1,31.5
2025-11-18,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,Utilities,10.1,70.4,60.3
2025-11-18,AES,THE AES ,Utilities,Utilities,1.8,30.2,28.4
2025-11-18,AFL,AFLAC INC.,Financials,Financials,-18.2,77.8,96.0
2025-11-18,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Financials,Financials,-17.2,41.3,58.5
2025-11-18,AIZ,"ASSURANT, INC.",Financials,Financials,-9.5,85.5,95.0
2025-11-18,AJG,ARTHUR J. GALLAGHER & CO.,Financials,Financials,3.4,28.6,25.2
2025-11-18,AKAM,"AKAMAI TECHNOLOGIES, INC.",Information Technology,Information Technology,-3.1,91.5,94.6
