Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_mtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2025-12-16,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,-49.6,27.4,77.0
2025-12-16,AAPL,APPLE INC.,Information Technology,Information Technology,1.0,45.8,44.8
2025-12-16,ABBV,ABBVIE INC.,Health Care,Health Care,-29.6,11.1,40.7
2025-12-16,ABNB,"AIRBNB, INC.",Consumer Discretionary,Consumer Discretionary,84.3,96.6,12.3
2025-12-16,ABT,ABBOTT LABORATORIES,Health Care,Health Care,-39.9,37.1,77.0
2025-12-16,ACGL,ARCH CAPITAL GROUP LTD.,Financials,Financials,-16.7,82.3,99.0
2025-12-16,ACN,ACCENTURE PUBLIC LIMITED COMPANY,Information Technology,Information Technology,24.4,92.9,68.5
2025-12-16,ADBE,ADOBE INC.,Information Technology,Information Technology,72.2,88.3,16.1
2025-12-16,ADI,"ANALOG DEVICES, INC.",Information Technology,Information Technology,3.7,97.4,93.7
2025-12-16,ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,Consumer Staples,-16.8,39.7,56.5
2025-12-16,ADP,"AUTOMATIC DATA PROCESSING, INC.",Industrials,Industrials,40.3,85.9,45.6
2025-12-16,ADSK,"AUTODESK, INC.",Information Technology,Information Technology,-0.6,50.8,51.4
2025-12-16,AEE,AMEREN ,Utilities,Utilities,-69.8,2.6,72.4
2025-12-16,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,Utilities,-30.6,8.9,39.5
2025-12-16,AES,THE AES ,Utilities,Utilities,-34.3,22.0,56.3
2025-12-16,AFL,AFLAC INC.,Financials,Financials,-57.2,22.4,79.6
2025-12-16,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Financials,Financials,58.7,96.8,38.1
2025-12-16,AIZ,"ASSURANT, INC.",Financials,Financials,-14.9,75.4,90.3
2025-12-16,AJG,ARTHUR J. GALLAGHER & CO.,Financials,Financials,7.7,46.0,38.3
2025-12-16,AKAM,"AKAMAI TECHNOLOGIES, INC.",Information Technology,Information Technology,-43.0,52.8,95.8
2025-12-16,ALB,ALBEMARLE ,Materials,Materials,-24.6,72.8,97.4
2025-12-16,ALGN,"ALIGN TECHNOLOGY, INC.",Health Care,Health Care,25.8,99.8,74.0
2025-12-16,ALL,THE ALLSTATE ,Financials,Financials,-53.8,45.6,99.4
2025-12-16,ALLE,ALLEGION PUBLIC LIMITED COMPANY,Industrials,Industrials,0.6,47.4,46.8
2025-12-16,AMAT,"APPLIED MATERIALS, INC.",Information Technology,Information Technology,5.2,74.6,69.4
2025-12-16,AMCR,AMCOR PLC,Materials,Materials,-61.5,38.3,99.8
2025-12-16,AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,Information Technology,-12.1,14.5,26.6
2025-12-16,AME,"AMETEK, INC.",Industrials,Industrials,29.6,89.7,60.1
2025-12-16,AMGN,AMGEN INC.,Health Care,Health Care,-72.2,27.2,99.4
2025-12-16,AMP,"AMERIPRISE FINANCIAL, INC.",Financials,Financials,28.0,97.8,69.8
