Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_qtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2025-10-17,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,39.2,94.4,55.2
2025-10-17,AAPL,APPLE INC.,Information Technology,Information Technology,-31.6,57.1,88.7
2025-10-17,ABBV,ABBVIE INC.,Health Care,Health Care,-24.8,60.7,85.5
2025-10-17,ABNB,"AIRBNB, INC.",Consumer Discretionary,Consumer Discretionary,30.3,34.5,4.2
2025-10-17,ABT,ABBOTT LABORATORIES,Health Care,Health Care,-55.5,3.8,59.3
2025-10-17,ACGL,ARCH CAPITAL GROUP LTD.,Financials,Financials,-7.6,47.0,54.6
2025-10-17,ACN,ACCENTURE PUBLIC LIMITED COMPANY,Information Technology,Information Technology,25.2,68.3,43.1
2025-10-17,ADBE,ADOBE INC.,Information Technology,Information Technology,-69.2,3.8,73.0
2025-10-17,ADI,"ANALOG DEVICES, INC.",Information Technology,Information Technology,38.3,51.8,13.5
2025-10-17,ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,Consumer Staples,41.7,65.7,24.0
2025-10-17,ADP,"AUTOMATIC DATA PROCESSING, INC.",Industrials,Industrials,-26.2,2.2,28.4
2025-10-17,ADSK,"AUTODESK, INC.",Information Technology,Information Technology,-10.2,6.9,17.1
2025-10-17,AEE,AMEREN ,Utilities,Utilities,14.7,93.5,78.8
2025-10-17,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,Utilities,36.3,98.8,62.5
2025-10-17,AES,THE AES ,Utilities,Utilities,35.5,78.8,43.3
2025-10-17,AFL,AFLAC INC.,Financials,Financials,-56.7,38.3,95.0
2025-10-17,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Financials,Financials,30.7,58.5,27.8
2025-10-17,AIZ,"ASSURANT, INC.",Financials,Financials,-4.2,50.4,54.6
2025-10-17,AJG,ARTHUR J. GALLAGHER & CO.,Financials,Financials,-48.2,17.1,65.3
2025-10-17,AKAM,"AKAMAI TECHNOLOGIES, INC.",Information Technology,Information Technology,-24.2,9.9,34.1
2025-10-17,ALB,ALBEMARLE ,Materials,Materials,25.2,83.5,58.3
