Ticker,Ticker_name,Category,Date,model_score_wtd_change,current_model_score,previous_model_score
TRGP,TARGA RESOURCES CORP.,Energy,2025-12-17,-103.0,-93.0,10.0
XLB,SEL SECTOR:MATRLS SPDR,Sector & Style ETFs,2025-12-17,-96.0,-85.0,11.0
NEM,NEWMONT ,Materials,2025-12-17,-91.0,-49.0,42.0
EA,ELECTRONIC ARTS INC.,Communication Services,2025-12-17,-86.0,-46.0,40.0
EWQ,ISHARES:MSCI FRANCE,Foreign,2025-12-17,-86.0,-52.0,34.0
DTE,DTE ENERGY COMPANY,Utilities,2025-12-17,-85.0,-20.0,65.0
EWI,ISHARES:MSCI ITALY,Foreign,2025-12-17,-79.0,-22.0,57.0
SPLV,INVESCO S&P500 LOWVL,Sector & Style ETFs,2025-12-17,-79.0,-22.0,57.0
GLW,CORNING INC.,Information Technology,2025-12-17,-78.0,-16.0,62.0
EXPE,"EXPEDIA GROUP, INC.",Consumer Discretionary,2025-12-17,-75.0,-53.0,22.0
