Ticker,Ticker_name,Category,Date,mtd_return_pct
LW,"LAMB WESTON HOLDINGS, INC.",Consumer Staples,2025-12-19,-0.256
PSKY,PARAMOUNT SKYDANCE ,Communication Services,2025-12-19,-0.1854
LEN,LENNAR ,Consumer Discretionary,2025-12-19,-0.1775
UNG,UNITED STATES NAT GAS,Commodities,2025-12-19,-0.1724
AVGO,BROADCOM INC.,Information Technology,2025-12-19,-0.1553
AZO,"AUTOZONE, INC.",Consumer Discretionary,2025-12-19,-0.1421
MPC,MARATHON PETROLEUM ,Energy,2025-12-19,-0.1312
MP,MP MATERIALS CORP,MR Discretion,2025-12-19,-0.1288
VXN,CBOE NASDAQ MKT VOL NDX,Volatility,2025-12-19,-0.1252
DOC,"HEALTHDOC PROPERTIES, INC.",Real Estate,2025-12-19,-0.1243
