Ticker,Ticker_name,Category,Date,model_score_mtd_change,current_model_score,previous_model_score
CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,2025-12-31,-130.0,-82.0,48.0
LMT,LOCKHEED MARTIN ,Industrials,2025-12-31,-111.0,-64.0,47.0
CRWD,"CROWDSTRIKE HOLDINGS, INC.",Information Technology,2025-12-31,-110.0,-33.0,77.0
CCI,CROWN CASTLE INC.,Real Estate,2025-12-31,-109.0,-47.0,62.0
EL,THE ESTEE LAUDER COMPANIES INC.,Consumer Staples,2025-12-31,-108.0,-49.0,59.0
MET,"METLIFE, INC.",Financials,2025-12-31,-106.0,-62.0,44.0
JBL,JABIL INC.,Information Technology,2025-12-31,-105.0,-30.0,75.0
HPE,HEWLETT PACKARD ENTERPRISE COMPANY,Information Technology,2025-12-31,-104.0,-41.0,63.0
OMC,OMNICOM GROUP INC.,Communication Services,2025-12-31,-102.0,-91.0,11.0
EPOL,ISHARES:MSCI POLAND,Foreign,2025-12-31,-99.0,-52.0,47.0
