Ticker,Ticker_name,Category,Date,qtd_return_pct
AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,2025-11-06,0.4692
PAM,PAMPA ENERGIA SA,MR Discretion,2025-11-06,0.4502
MU,"MICRON TECHNOLOGY, INC.",Information Technology,2025-11-06,0.4244
GEOS,GEOSPACE TECHNOLOGIES ,MR Discretion,2025-11-06,0.3776
WDC,WESTERN DIGITAL ,Information Technology,2025-11-06,0.3627
TER,"TERADYNE, INC.",Information Technology,2025-11-06,0.3442
DDOG,"DATADOG, INC.",Information Technology,2025-11-06,0.34
CAH,"CARDINAL HEALTH, INC.",Health Care,2025-11-06,0.2614
JBHT,"J. B. HUNT TRANSPORT SERVICES, INC.",Industrials,2025-11-06,0.2598
RIG,TRANSOCEAN LTD,MR Discretion,2025-11-06,0.25
