Ticker,Ticker_name,Category,Date,volume
NVDA,NVIDIA ,Information Technology,2025-12-01,8379.289999999999
F,FORD MOTOR COMPANY,Consumer Discretionary,2025-12-01,4608.89
INTC,INTEL ,Information Technology,2025-12-01,4341.2
TSLA,"TESLA, INC.",Consumer Discretionary,2025-12-01,3718.0000000000014
SPY,SPDR S&P 500 ETF,Sector & Style ETFs,2025-12-01,3507.379999999999
PFE,PFIZER INC.,Health Care,2025-12-01,3223.7300000000014
AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,2025-12-01,2841.2599999999998
QQQ,INVESCO QQQ TRUST 1,Sector & Style ETFs,2025-12-01,2593.66
T,AT&T INC.,Communication Services,2025-12-01,2430.0900000000006
PLTR,PALANTIR TECHNOLOGIES INC.,Information Technology,2025-12-01,2311.7299999999996
