Ticker,Ticker_name,Category,Date,model_score_qtd_change,current_model_score,previous_model_score
MDLZ,"MONDELEZ INTERNATIONAL, INC.",Consumer Staples,2026-01-23,-145.0,-70.0,75.0
FTI,TECHNIPFMC PLC,MR Discretion,2026-01-23,-127.0,-43.0,84.0
DE,DEERE & COMPANY,Industrials,2026-01-23,-119.0,-57.0,62.0
LEN,LENNAR ,Consumer Discretionary,2026-01-23,-111.0,-78.0,33.0
DHT,"DHT HOLDINGS, INC.",MR Discretion,2026-01-23,-103.0,-57.0,46.0
EWZ,ISHARES:MSCI BRAZIL,Foreign,2026-01-23,-103.0,-22.0,81.0
LNT,ALLIANT ENERGY ,Utilities,2026-01-23,-102.0,-48.0,54.0
STNG,SCORPIO TANKERS INC.,MR Discretion,2026-01-23,-101.0,-57.0,44.0
PSA,PUBLIC STORAGE.,Real Estate,2026-01-23,-100.0,-92.0,8.0
RIG,TRANSOCEAN LTD,MR Discretion,2026-01-23,-97.0,-46.0,51.0
