Ticker,Ticker_name,Category,Date,model_score_day_change,current_model_score,previous_model_score
DASH,"DOORDASH, INC.",Consumer Discretionary,2025-10-29,81.0,71.0,-10.0
BX,BLACKSTONE INC,Financials,2025-10-29,73.0,61.0,-12.0
RSP,INVESCO S&P500 EWGHT,Sector & Style ETFs,2025-10-29,72.0,44.0,-28.0
CRL,CHARLES RIVER LABORATORIES,Health Care,2025-10-29,71.0,-31.0,-102.0
NVR,"NVR, INC.",Consumer Discretionary,2025-10-29,69.0,52.0,-17.0
INCY,INCYTE ,Health Care,2025-10-29,68.0,42.0,-26.0
GPN,GLOBAL PAYMENTS INC.,Financials,2025-10-29,67.0,13.0,-54.0
IBM,INTERNATIONAL BUSINESS MACHINES ,Information Technology,2025-10-29,64.0,33.0,-31.0
LW,"LAMB WESTON HOLDINGS, INC.",Consumer Staples,2025-10-29,60.0,-10.0,-70.0
PAYX,"PAYCHEX, INC.",Industrials,2025-10-29,58.0,41.0,-17.0
