Date,Ticker,Ticker_name,Close,daily_Return,day_pr_low,day_pr_high,day_rr_ratio,model_score,model_score_delta
2026-01-09,GS,"THE GOLDMAN SACHS GROUP, INC.",934.83,-0.0066,906.46,998.83,2.2559041240747266,74.0,16.0
2026-01-09,BK,THE BANK OF NEW YORK MELLON ,120.05,-0.0033,116.5,126.43,1.7971830985915536,74.0,39.0
2026-01-09,FOXA,FOX ,75.69,0.0088,73.31,78.79,1.3025210084033674,72.0,37.0
2026-01-09,APP,APPLOVIN CORP,616.53,-0.0259,557.84,658.78,-1.3891124260355017,71.0,-27.0
2026-01-09,PLTR,PALANTIR TECHNOLOGIES INC.,176.86,-0.0265,165.02,190.0,1.1097972972972958,69.0,13.0
2026-01-09,OMC,OMNICOM GROUP INC.,78.79,0.0156,75.15,81.88,-1.1779935275080948,-74.0,-8.0
2026-01-09,VTRS,VIATRIS INC.,12.6,0.0112,12.2,13.01,1.0249999999999995,-74.0,-47.0
2026-01-09,STZ,"CONSTELLATION BRANDS, INC.",147.96,0.0532,136.32,152.23,-2.7259953161592656,-74.0,-50.0
2026-01-09,CB,CHUBB LTD,313.0,0.0208,302.34,318.41,-1.970425138632158,-79.0,-60.0
2026-01-09,MAR,"MARRIOTT INTERNATIONAL, INC.",324.91,0.0177,310.13,329.41,-3.284444444444451,-91.0,-17.0
