Date,Ticker,Ticker_name,Category,Close,weekly_Return,week_pr_low,week_pr_high,week_rr_ratio,model_score,model_score_delta
2025-11-06,EDV,VANGUARD EXT DUR T;ETF,Bonds,67.83,-0.0187,64.91,74.19,2.1780821917808204,24.0,18.0
2025-11-06,HYD,VANECK:HIGH YIELD MUNI,Bonds,50.76,-0.0074,49.18,53.31,1.6139240506329158,18.0,45.0
2025-11-06,HYG,ISHARES:IBOXX $HY CORP,Bonds,80.23,-0.0071,77.53,83.62,1.2555555555555544,-22.0,-77.0
2025-11-06,IEF,ISHARES:7-10 TRS BD ETF,Bonds,96.16,-0.0071,93.52,100.47,1.632575757575758,59.0,41.0
2025-11-06,JNK,SPDR BBG HIGH YIELD BD,Bonds,96.65,-0.0076,93.38,100.48,1.1712538226299651,3.0,-17.0
2025-11-06,LQD,ISHARES:IBOXX $IG CORP,Bonds,110.35,-0.0079,107.67,116.0,2.1082089552238887,36.0,22.0
2025-11-06,MUB,ISHARES:NATL MUNI BOND,Bonds,106.99,-0.0046,103.85,112.26,1.6783439490445888,52.0,53.0
2025-11-06,PFF,ISHARES:PREF AND INC SEC,Bonds,31.02,-0.0061,30.01,32.42,1.386138613861391,18.0,-87.0
2025-11-06,SCHP,SCHWAB STR:US TIPS,Bonds,26.75,-0.0078,25.59,28.45,1.4655172413793096,59.0,54.0
2025-11-06,SHY,ISHARES:1-3 TRS BD ETF,Bonds,82.69,-0.0035,80.56,86.34,1.7136150234741847,50.0,10.0
2025-11-06,STIP,ISHARES:0-5 TIPS BD ETF,Bonds,102.72,-0.0048,97.72,108.51,1.1580000000000013,51.0,51.0
2025-11-06,TIP,ISHARES:TIPS BD ETF,Bonds,110.58,-0.0072,108.28,115.31,2.056521739130439,59.0,54.0
2025-11-06,TLT,ISHARES:20+ TRS BD ETF,Bonds,88.96,-0.0147,86.7,94.37,2.3938053097345278,14.0,27.0
2025-11-06,CANE,TEUCRIUM:SUGAR,Commodities,9.1575,-0.0153,8.56,9.75,-1.008438818565402,-24.0,11.0
2025-11-06,COMT,ISHARES:GSCI COMM DYN RS,Commodities,26.72,-0.0087,26.15,27.84,1.9649122807017552,35.0,63.0
2025-11-06,CORN,TEUCRIUM:CORN,Commodities,18.05,0.0144,17.19,18.88,-1.0361445783132543,5.0,-1.0
2025-11-06,CPER,UNITED STATES COPPER IDX,Commodities,30.88,-0.0206,29.86,34.58,3.6274509803921577,-29.0,-34.0
2025-11-06,DBA,INVESCO DB MS AGRI,Commodities,26.55,0.0068,24.98,28.13,1.006369426751591,3.0,-45.0
2025-11-06,DBB,INVESCO DB MS BMTL,Commodities,21.59,-0.0164,20.96,22.95,2.1587301587301613,3.0,23.0
2025-11-06,DBC,INVESCO DB CM IDX,Commodities,22.82,-0.0026,22.01,23.79,1.1975308641975313,6.0,39.0
2025-11-06,GDX,VANECK:GOLD MINERS,Commodities,70.67,-0.0193,63.86,82.92,1.798825256975036,1.0,-71.0
2025-11-06,GDXJ,VANECK:JR GOLD MINERS,Commodities,90.01,-0.0391,82.88,108.72,2.6241234221598835,-10.0,-73.0
2025-11-06,GLD,SPDR GOLD,Commodities,366.51,-0.0044,343.17,419.19,2.2570694087403624,-16.0,-45.0
2025-11-06,PPLT,ABRDN:PHYSICAL PLATINUM,Commodities,141.95,-0.0111,134.51,158.93,2.282258064516132,22.0,-28.0
2025-11-06,SILJ,ETFMG PRIME JR SILVR MNR,Commodities,20.76,-0.0814,19.67,26.67,5.422018348623854,-10.0,-86.0
2025-11-06,SLV,ISHARES:SILVER TRUST,Commodities,43.65,-0.0082,39.96,50.05,1.7344173441734425,29.0,0.0
2025-11-06,SOYB,TEUCRIUM:SOYBEAN,Commodities,23.42,,22.11,24.58,-1.1293103448275914,9.0,17.0
2025-11-06,TAGS,TEUCRIUM:AGRICULTURAL,Commodities,23.5277,,22.51,24.17,-1.5844620893663306,1.0,-32.0
2025-11-06,UNG,UNITED STATES NAT GAS,Commodities,13.63,0.0287,11.94,14.88,-1.352000000000001,-3.0,-18.0
2025-11-06,URA,GLBL X URANIUM ETF,Commodities,50.04,,46.91,64.07,4.482428115015969,66.0,33.0
2025-11-06,USO,UNITED STATES OIL FUND,Commodities,71.03,-0.0211,65.8,78.27,1.384321223709367,55.0,88.0
2025-11-06,WEAT,TEUCRIUM:WHEAT,Commodities,4.37,,4.02,4.55,-1.9444444444444504,13.0,3.0
2025-11-06,APP,APPLOVIN CORP,Communication Services,617.05,-0.0318,553.55,771.83,2.4374803149606312,-7.0,-108.0
2025-11-06,CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,225.15,-0.0372,194.63,257.09,1.0465268676277837,-35.0,-74.0
2025-11-06,CMCSA,COMCAST ,Communication Services,27.94,0.0038,23.74,29.63,-2.485207100591721,7.0,-18.0
2025-11-06,DIS,THE WALT DISNEY COMPANY,Communication Services,111.36,-0.0112,106.08,116.17,-1.0977130977130973,3.0,-58.0
2025-11-06,EA,ELECTRONIC ARTS INC.,Communication Services,200.74,0.0034,184.41,223.66,1.4035517452541317,-63.0,-56.0
2025-11-06,FOXA,FOX ,Communication Services,64.78,0.002,57.53,73.26,1.1696551724137936,14.0,23.0
2025-11-06,GOOGL,ALPHABET INC.,Communication Services,284.31,0.0111,259.83,325.48,1.6817810457516333,36.0,20.0
2025-11-06,IPG,THE INTERPUBLIC GROUP,Communication Services,25.2,-0.0179,23.83,28.22,2.2043795620437936,-14.0,-54.0
2025-11-06,LYV,"LIVE NATION ENTERTAINMENT, INC.",Communication Services,134.79,-0.0986,129.89,164.24,6.01020408163265,-1.0,-8.0
2025-11-06,META,"META PLATFORMS, INC.",Communication Services,635.95,-0.0191,579.12,758.26,2.152208340665139,44.0,33.0
2025-11-06,MTCH,"MATCH GROUP, INC.",Communication Services,33.19,0.0263,28.31,35.24,-2.3804878048780433,-19.0,-66.0
2025-11-06,NFLX,"NETFLIX, INC.",Communication Services,1098.46,-0.0182,1003.71,1218.79,1.2699736147757248,21.0,21.0
2025-11-06,NWSA,NEWS CORP.,Communication Services,25.64,-0.0325,23.4,28.64,1.339285714285713,-16.0,-88.0
2025-11-06,OMC,OMNICOM GROUP INC.,Communication Services,73.4,-0.0216,69.57,82.12,2.276762402088765,-44.0,-73.0
2025-11-06,PSKY,PARAMOUNT SKYDANCE ,Communication Services,15.09,-0.0195,13.14,20.15,2.594871794871795,23.0,-16.0
2025-11-06,T,AT&T INC.,Communication Services,24.56,-0.0077,22.5,26.96,1.165048543689322,10.0,10.0
2025-11-06,TKO,"TKO GROUP HOLDINGS, INC.",Communication Services,187.24,-0.0062,175.62,209.92,1.95180722891566,65.0,12.0
2025-11-06,TMUS,"T-MOBILE US, INC.",Communication Services,204.74,-0.0253,191.38,226.18,1.6047904191616749,20.0,20.0
2025-11-06,TTD,"THE TRADE DESK, INC.",Communication Services,47.7,-0.0513,41.16,59.38,1.7859327217125365,7.0,25.0
2025-11-06,TTWO,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",Communication Services,254.76,-0.0063,243.64,269.29,1.306654676258995,-6.0,-81.0
2025-11-06,VZ,VERIZON COMMUNICATIONS INC.,Communication Services,39.69,-0.0013,35.62,42.77,-1.3214285714285692,8.0,8.0
2025-11-06,WBD,"WARNER BROS. DISCOVERY, INC.",Communication Services,22.76,0.0138,19.11,29.64,1.8849315068493138,3.0,5.0
2025-11-06,ABNB,"AIRBNB, INC.",Consumer Discretionary,122.5,-0.0319,117.04,133.73,2.0567765567765575,-2.0,21.0
2025-11-06,AMZN,"AMAZON.COM, INC.",Consumer Discretionary,250.2,0.0245,220.13,281.92,1.054871965414035,-9.0,5.0
2025-11-06,APTV,APTIV PLC,Consumer Discretionary,83.61,0.0309,76.3,92.8,1.257181942544459,35.0,-10.0
2025-11-06,AZO,"AUTOZONE, INC.",Consumer Discretionary,3661.81,-0.0034,3346.64,4052.42,1.239362883523178,37.0,37.0
2025-11-06,BBY,"BEST BUY CO., INC.",Consumer Discretionary,80.88,-0.0153,76.76,89.97,2.2063106796116565,-33.0,-16.0
2025-11-06,BKNG,BOOKING HOLDINGS INC.,Consumer Discretionary,4911.15,-0.0328,4608.9,5441.04,1.7531513647642691,38.0,17.0
2025-11-06,CCL,CARNIVAL CORP,Consumer Discretionary,26.9,-0.0669,24.8,31.56,2.2190476190476214,-10.0,-85.0
2025-11-06,CMG,"CHIPOTLE MEXICAN GRILL, INC.",Consumer Discretionary,31.97,0.0088,26.12,40.99,1.541880341880343,40.0,18.0
2025-11-06,DASH,"DOORDASH, INC.",Consumer Discretionary,238.0,-0.0644,229.24,280.11,4.807077625570783,-13.0,-57.0
2025-11-06,DECK,DECKERS OUTDOOR ,Consumer Discretionary,81.81,0.0038,69.2,93.2,-1.1071115013169446,-13.0,24.0
2025-11-06,DHI,"D.R. HORTON, INC.",Consumer Discretionary,145.27,-0.0256,133.8,169.65,2.125544899738448,-38.0,-79.0
2025-11-06,DPZ,"DOMINO'S PIZZA, INC.",Consumer Discretionary,400.41,0.0049,368.71,421.52,-1.5016579819990579,-5.0,-30.0
2025-11-06,DRI,"DARDEN RESTAURANTS, INC.",Consumer Discretionary,180.1,-0.0003,158.15,197.16,-1.2866354044548642,-17.0,-44.0
2025-11-06,EBAY,EBAY INC.,Consumer Discretionary,81.01,-0.0037,72.74,101.38,2.4631197097944337,47.0,28.0
2025-11-06,EXPE,"EXPEDIA GROUP, INC.",Consumer Discretionary,213.81,-0.0281,204.2,238.28,2.546305931321536,-9.0,-72.0
2025-11-06,F,FORD MOTOR COMPANY,Consumer Discretionary,13.11,-0.0015,11.91,15.4,1.9083333333333352,-13.0,-10.0
2025-11-06,GM,GENERAL MOTORS COMPANY,Consumer Discretionary,68.77,-0.0046,63.15,78.45,1.7224199288256248,6.0,32.0
2025-11-06,GPC,GENUINE PARTS COMPANY,Consumer Discretionary,124.59,-0.0214,116.96,136.06,1.5032765399737855,20.0,6.0
2025-11-06,GRMN,GARMIN LTD,Consumer Discretionary,205.48,-0.0395,183.18,257.42,2.3291479820627834,16.0,54.0
2025-11-06,HAS,"HASBRO, INC.",Consumer Discretionary,76.87,0.0073,70.58,82.84,-1.053601340033502,24.0,-19.0
2025-11-06,HD,"THE HOME DEPOT, INC.",Consumer Discretionary,373.84,-0.0151,351.01,408.72,1.5278142794568583,-9.0,-78.0
2025-11-06,HLT,HILTON WORLDWIDE HOLDINGS INC.,Consumer Discretionary,264.46,0.0292,243.68,280.6,-1.2874845105328325,-64.0,-110.0
2025-11-06,KMX,"CARMAX, INC.",Consumer Discretionary,40.81,-0.0262,33.41,47.72,-1.0709117221418247,4.0,-36.0
2025-11-06,LEN,LENNAR ,Consumer Discretionary,121.18,-0.0209,111.64,139.77,1.948637316561844,-39.0,-43.0
2025-11-06,LKQ,LKQ ,Consumer Discretionary,30.84,-0.035,28.32,34.44,1.428571428571428,-58.0,-64.0
2025-11-06,LOW,"LOWE'S COMPANIES, INC.",Consumer Discretionary,234.35,-0.0159,216.62,261.31,1.5205865764241413,-8.0,-69.0
2025-11-06,LULU,LULULEMON ATHLETICA INC.,Consumer Discretionary,167.59,-0.0173,146.52,192.26,1.1708590412909348,2.0,9.0
2025-11-06,LVS,LAS VEGAS SANDS CORP.,Consumer Discretionary,62.54,0.0537,53.53,68.34,-1.5534482758620676,-7.0,50.0
2025-11-06,MAR,"MARRIOTT INTERNATIONAL, INC.",Consumer Discretionary,283.07,0.0863,250.95,290.15,-4.536723163841819,-36.0,-83.0
2025-11-06,MCD,MCDONALD'S ,Consumer Discretionary,305.67,0.0243,283.83,321.14,-1.4117647058823577,-11.0,-24.0
2025-11-06,MGM,MGM RESORTS INTERNATIONAL,Consumer Discretionary,32.01,-0.0006,27.89,34.35,-1.760683760683757,-15.0,-44.0
2025-11-06,MHK,"MOHAWK INDUSTRIES, INC.",Consumer Discretionary,110.49,-0.0277,102.11,127.07,1.9785202863961822,2.0,-40.0
2025-11-06,NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD.,Consumer Discretionary,18.61,-0.1699,17.82,24.18,7.050632911392413,22.0,-39.0
2025-11-06,NKE,"NIKE, INC.",Consumer Discretionary,62.11,-0.0384,57.4,70.86,1.857749469214437,-8.0,-52.0
2025-11-06,NVR,"NVR, INC.",Consumer Discretionary,7181.87,-0.004,6591.05,7795.66,1.0388781693239908,-4.0,-28.0
2025-11-06,ORLY,"O'REILLY AUTOMOTIVE, INC.",Consumer Discretionary,94.94,0.0053,86.38,101.31,-1.3437990580847718,61.0,61.0
2025-11-06,PHM,"PULTEGROUP, INC.",Consumer Discretionary,119.46,-0.0034,107.57,131.78,1.0361648444070652,-38.0,-55.0
2025-11-06,POOL,POOL ,Consumer Discretionary,253.03,-0.0525,236.18,296.53,2.5816023738872396,13.0,26.0
2025-11-06,RCL,ROYAL CARIBBEAN CRUISES LTD.,Consumer Discretionary,256.63,-0.1053,241.02,324.75,4.363869314541965,-12.0,-12.0
2025-11-06,RL,RALPH LAUREN ,Consumer Discretionary,316.9,-0.0086,302.78,355.45,2.730169971671388,37.0,-15.0
2025-11-06,ROST,"ROSS STORES, INC.",Consumer Discretionary,162.23,0.0208,153.95,171.08,1.0688405797101475,-57.0,-38.0
2025-11-06,SBUX,STARBUCKS ,Consumer Discretionary,82.88,0.0249,74.14,87.35,-1.9552572706935116,-62.0,-97.0
2025-11-06,TJX,"THE TJX COMPANIES, INC.",Consumer Discretionary,143.7,0.0254,135.48,153.47,1.1885644768856463,-34.0,-80.0
2025-11-06,TPR,"TAPESTRY, INC.",Consumer Discretionary,109.31,-0.0046,98.57,123.1,1.2839851024208548,-15.0,-45.0
2025-11-06,TSCO,TRACTOR SUPPLY COMPANY,Consumer Discretionary,53.92,-0.0035,49.91,57.36,-1.165697674418607,16.0,-29.0
2025-11-06,TSLA,"TESLA, INC.",Consumer Discretionary,462.07,0.0121,426.19,525.17,1.758639910813823,45.0,6.0
2025-11-06,ULTA,"ULTA BEAUTY, INC.",Consumer Discretionary,521.82,0.0037,476.85,563.55,-1.0776419841840434,38.0,54.0
2025-11-06,WSM,"WILLIAMS-SONOMA, INC.",Consumer Discretionary,198.96,0.0238,177.23,215.26,-1.3331288343558307,-5.0,-8.0
2025-11-06,WYNN,"WYNN RESORTS, LIMITED",Consumer Discretionary,125.19,0.0521,113.57,139.83,1.2598967297762487,47.0,1.0
2025-11-06,YUM,"YUM! BRANDS, INC.",Consumer Discretionary,149.39,0.0809,130.49,157.61,-2.2992700729926905,-28.0,-58.0
2025-11-06,ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,56.29,-0.07,53.97,67.37,4.775862068965519,9.0,-25.0
2025-11-06,BF.B,BROWN-FORMAN ,Consumer Staples,27.07,-0.0059,24.96,29.61,1.2037914691943128,-13.0,32.0
2025-11-06,BG,BUNGE LIMITED,Consumer Staples,95.57,0.0103,85.9,110.08,1.5005170630816984,-55.0,5.0
2025-11-06,CAG,"CONAGRA BRANDS, INC.",Consumer Staples,17.09,-0.0058,15.83,19.01,1.5238095238095255,4.0,-28.0
2025-11-06,CHD,"CHURCH & DWIGHT CO., INC.",Consumer Staples,86.67,-0.0116,77.95,90.36,-2.3631436314363157,-22.0,9.0
2025-11-06,CL,COLGATE-PALMOLIVE COMPANY,Consumer Staples,76.91,-0.0018,71.04,79.57,-2.2067669172932325,-28.0,-32.0
2025-11-06,CLX,THE CLOROX COMPANY,Consumer Staples,108.92,-0.0315,103.12,118.33,1.6224137931034486,18.0,-23.0
2025-11-06,COST,COSTCO WHOLESALE ,Consumer Staples,935.03,0.0259,857.57,974.0,-1.9876828329484184,-35.0,-39.0
2025-11-06,CPB,CAMPBELL SOUP COMPANY,Consumer Staples,30.1,-0.001,27.93,32.28,1.0046082949308746,-5.0,-34.0
2025-11-06,DG,DOLLAR GENERAL ,Consumer Staples,100.61,0.0198,90.68,105.55,-2.010121457489878,-7.0,-32.0
2025-11-06,DLTR,"DOLLAR TREE, INC.",Consumer Staples,104.92,0.0585,86.8,113.74,-2.0544217687074853,-58.0,-39.0
2025-11-06,EL,THE ESTEE LAUDER COMPANIES INC.,Consumer Staples,91.09,-0.0579,84.46,108.63,2.645550527903464,1.0,42.0
2025-11-06,GIS,"GENERAL MILLS, INC.",Consumer Staples,46.39,-0.0047,43.4,49.73,1.117056856187289,22.0,20.0
2025-11-06,HRL,HORMEL FOODS ,Consumer Staples,21.55,-0.0019,18.36,24.14,-1.2316602316602323,28.0,15.0
2025-11-06,HSY,THE HERSHEY COMPANY,Consumer Staples,169.88,0.0015,149.86,185.97,-1.2442510876320683,28.0,43.0
2025-11-06,K,KELLANOVA,Consumer Staples,83.2,0.0017,77.34,90.86,1.30716723549488,20.0,0.0
2025-11-06,KDP,KEURIG DR PEPPER INC.,Consumer Staples,26.72,-0.0162,21.71,33.07,1.2674650698602803,-17.0,8.0
2025-11-06,KHC,THE KRAFT HEINZ COMPANY,Consumer Staples,24.14,-0.0239,22.55,25.78,1.0314465408805036,-16.0,-7.0
2025-11-06,KMB,KIMBERLY-CLARK ,Consumer Staples,100.05,-0.1642,95.44,122.18,4.800433839479395,0.0,-38.0
2025-11-06,KO,THE COCA-COLA COMPANY,Consumer Staples,68.51,-0.0057,64.71,74.24,1.507894736842098,-28.0,-30.0
2025-11-06,KR,THE KROGER CO.,Consumer Staples,63.15,-0.0075,59.26,68.71,1.4293059125963996,-15.0,-30.0
2025-11-06,KVUE,KENVUE INC.,Consumer Staples,16.23,0.1294,12.88,17.15,-3.641304347826094,-36.0,-22.0
2025-11-06,LW,"LAMB WESTON HOLDINGS, INC.",Consumer Staples,62.76,0.0167,57.17,70.79,1.4364937388193226,-10.0,0.0
2025-11-06,MDLZ,"MONDELEZ INTERNATIONAL, INC.",Consumer Staples,56.02,-0.0251,53.15,62.26,2.174216027874559,23.0,-32.0
2025-11-06,MKC,"MCCORMICK & COMPANY, INC.",Consumer Staples,64.56,0.0062,59.09,68.73,-1.3117505995203829,-1.0,-12.0
2025-11-06,MNST,MONSTER BEVERAGE ,Consumer Staples,67.87,0.0156,63.46,72.58,1.0680272108843514,30.0,6.0
2025-11-06,MO,"ALTRIA GROUP, INC.",Consumer Staples,57.16,0.0138,51.58,64.99,1.403225806451613,72.0,96.0
2025-11-06,PEP,"PEPSICO, INC.",Consumer Staples,142.86,-0.0221,135.46,159.1,2.1945945945945904,-6.0,13.0
2025-11-06,PG,THE PROCTER & GAMBLE COMPANY,Consumer Staples,145.79,-0.0305,141.92,156.97,2.888888888888887,14.0,11.0
2025-11-06,PM,PHILIP MORRIS INTERNATIONAL INC.,Consumer Staples,148.4,0.0282,134.52,158.9,-1.3219047619047615,56.0,56.0
2025-11-06,SJM,THE J. M. SMUCKER COMPANY,Consumer Staples,105.26,0.0165,94.53,109.33,-2.6363636363636416,-2.0,-33.0
2025-11-06,STZ,"CONSTELLATION BRANDS, INC.",Consumer Staples,130.62,-0.0058,114.81,141.54,-1.4478021978021998,-6.0,32.0
2025-11-06,SYY,SYSCO ,Consumer Staples,73.18,-0.0148,68.34,81.14,1.6446280991735513,23.0,23.0
2025-11-06,TAP,MOLSON COORS BEVERAGE COMPANY,Consumer Staples,45.18,0.0334,40.17,47.03,-2.708108108108105,-2.0,-19.0
2025-11-06,TGT,TARGET ,Consumer Staples,91.94,-0.0084,83.31,102.55,1.2294322132097342,-49.0,-73.0
2025-11-06,TSN,"TYSON FOODS, INC.",Consumer Staples,52.43,0.0198,48.33,53.93,-2.7333333333333343,2.0,-39.0
2025-11-06,WMT,WALMART INC.,Consumer Staples,101.47,0.0029,95.82,110.52,1.6017699115044226,-8.0,-16.0
2025-11-06,FXA,INVESCO:AU DOLLAR,Currencies,64.4083,-0.0061,62.95,67.3,1.9829253240074138,-34.0,-65.0
2025-11-06,FXB,INVESCO:GBP STERLING,Currencies,125.41,-0.0081,120.75,132.19,1.4549356223175978,26.0,-1.0
2025-11-06,FXC,INVESCO:CANADIAN DOLLAR,Currencies,69.265,-0.006,67.4,72.01,1.4718498659517492,-11.0,-20.0
2025-11-06,FXE,INVESCO:EURO,Currencies,105.96,-0.0039,103.79,109.54,1.6497695852534715,20.0,-10.0
2025-11-06,FXY,INVESCO:JAPANESE YEN,Currencies,59.65,-0.0002,58.01,61.4,1.067073170731707,1.0,2.0
2025-11-06,UUP,INVESCO DB USD IDX BL,Currencies,28.33,0.0043,27.43,28.99,-1.363636363636361,-54.0,7.0
2025-11-06,APA,APA ,Energy,21.66,-0.0437,21.1,25.6,7.035714285714304,36.0,9.0
2025-11-06,BKR,BAKER HUGHES COMPANY,Energy,47.04,-0.0283,43.93,52.58,1.7813504823151125,-34.0,-19.0
2025-11-06,COP,CONOCOPHILLIPS,Energy,87.7,-0.0131,81.91,93.92,1.0742659758203785,4.0,21.0
2025-11-06,CTRA,COTERRA ENERGY INC.,Energy,25.75,0.0883,22.37,27.25,-2.2533333333333325,-28.0,2.0
2025-11-06,CVX,CHEVRON ,Energy,152.66,-0.0321,144.8,165.95,1.6908396946564908,20.0,7.0
2025-11-06,DVN,DEVON ENERGY ,Energy,32.34,-0.0046,30.26,35.22,1.3846153846153813,16.0,2.0
2025-11-06,EOG,"EOG RESOURCES, INC.",Energy,105.19,-0.0061,98.03,110.19,-1.4319999999999993,22.0,-18.0
2025-11-06,EQT,EQT ,Energy,55.99,0.045,48.92,59.19,-2.209375000000003,-5.0,-59.0
2025-11-06,EXE,EXPAND ENERGY ,Energy,110.05,0.0652,94.8,117.37,-2.0833333333333313,-1.0,-45.0
2025-11-06,FANG,"DIAMONDBACK ENERGY, INC.",Energy,137.29,-0.0412,133.4,152.89,4.010282776349627,-17.0,7.0
2025-11-06,HAL,HALLIBURTON COMPANY,Energy,27.1,0.0097,24.38,31.35,1.5624999999999987,-10.0,47.0
2025-11-06,KMI,"KINDER MORGAN, INC.",Energy,25.92,-0.0103,24.29,27.57,1.0122699386503042,-7.0,-7.0
2025-11-06,MPC,MARATHON PETROLEUM ,Energy,186.18,-0.0448,173.42,215.66,2.3103448275862024,-13.0,-28.0
2025-11-06,OKE,"ONEOK, INC.",Energy,66.27,-0.0109,61.45,70.51,-1.1367924528301847,12.0,19.0
2025-11-06,OXY,OCCIDENTAL PETROLEUM ,Energy,39.75,-0.0352,37.57,44.81,2.321100917431194,-42.0,-59.0
2025-11-06,PSX,PHILLIPS 66,Energy,135.93,-0.0015,127.45,148.94,1.5341981132075453,3.0,-12.0
2025-11-06,SLB,SCHLUMBERGER N.V.,Energy,36.55,0.0136,33.64,39.8,1.11683848797251,-29.0,4.0
2025-11-06,TPL,TEXAS PACIFIC LAND ,Energy,919.05,-0.0258,865.48,984.59,1.2234459585588977,4.0,-8.0
2025-11-06,TRGP,TARGA RESOURCES CORP.,Energy,162.69,0.0562,141.1,173.74,-1.9538461538461522,-12.0,-89.0
2025-11-06,VLO,VALERO ENERGY ,Energy,170.14,0.0034,161.07,190.24,2.2160970231532566,27.0,38.0
2025-11-06,WMB,"THE WILLIAMS COMPANIES, INC.",Energy,57.54,-0.0057,52.08,62.79,-1.0400000000000003,-51.0,-51.0
2025-11-06,XOM,EXXON MOBIL ,Energy,113.68,-0.0059,108.36,122.63,1.6823308270676647,26.0,36.0
2025-11-06,ACGL,ARCH CAPITAL GROUP LTD.,Financials,87.55,0.0144,79.1,93.57,-1.4036544850498354,-38.0,-44.0
2025-11-06,AFL,AFLAC INC.,Financials,111.24,0.0378,99.85,118.49,-1.5710344827586207,-5.0,-63.0
2025-11-06,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Financials,76.32,-0.0334,72.25,87.34,2.707616707616715,74.0,0.0
2025-11-06,AIZ,"ASSURANT, INC.",Financials,218.31,0.0311,193.49,234.77,-1.50789793438639,-15.0,-33.0
2025-11-06,AJG,ARTHUR J. GALLAGHER & CO.,Financials,248.05,-0.0058,219.82,282.67,1.2263549415515402,-51.0,-13.0
2025-11-06,ALL,THE ALLSTATE ,Financials,194.75,0.0169,176.46,205.52,-1.6982358402971194,-21.0,-21.0
2025-11-06,AMP,"AMERIPRISE FINANCIAL, INC.",Financials,459.07,0.0139,417.02,489.0,-1.404944871366522,-13.0,-11.0
2025-11-06,AON,AON PLC,Financials,341.7,0.003,306.15,361.06,-1.8362603305785117,4.0,-17.0
