Date,Ticker,Ticker_name,Close,monthly_Return,month_pr_low,month_pr_high,month_rr_ratio,model_score,model_score_delta
2025-11-12,DDOG,"DATADOG, INC.",197.86,0.2153,130.25,223.79,-2.607404550713462,-45.0,-41.0
2025-11-12,AKAM,"AKAMAI TECHNOLOGIES, INC.",90.61,0.2065,63.9,92.53,-13.911458333333321,-60.0,-110.0
2025-11-12,EXPE,"EXPEDIA GROUP, INC.",265.32,0.206,187.07,299.59,-2.2833381966734767,-47.0,-110.0
2025-11-12,TDW,TIDEWATER INC.,58.92,0.1647,39.56,66.73,-2.478873239436619,-2.0,5.0
2025-11-12,KVUE,KENVUE INC.,16.72,0.1635,12.78,19.19,-1.5951417004048565,-36.0,-22.0
2025-11-12,KMX,"CARMAX, INC.",34.14,-0.1854,29.75,49.83,3.5740318906605912,-0.0,-40.0
2025-11-12,DASH,"DOORDASH, INC.",200.63,-0.2113,202.92,327.86,,0.0,-44.0
2025-11-12,AXON,"AXON ENTERPRISE, INC.",572.18,-0.2186,538.82,945.55,11.192146282973654,0.0,-7.0
2025-11-12,SMCI,"SUPER MICRO COMPUTER, INC.",38.82,-0.2529,30.47,82.26,5.202395209580838,-28.0,-38.0
2025-11-12,DD,"DUPONT DE NEMOURS, INC.",40.4,-0.5052,40.36,76.42,900.5000000000193,0.0,-23.0
