Category,Buy,Neutral,Sell,Total,Buy_Pct,Neutral_Pct,Sell_Pct
Sector & Style ETFs,0,21,6,27,0.0,77.8,22.2
Indices,0,3,2,5,0.0,60.0,40.0
Futures,0,2,1,3,0.0,66.7,33.3
Currencies,0,6,0,6,0.0,100.0,0.0
Commodities,0,19,0,19,0.0,100.0,0.0
Bonds,0,12,1,13,0.0,92.3,7.7
Yields,2,1,0,3,66.7,33.3,0.0
Volatility,2,0,0,2,100.0,0.0,0.0
Foreign,2,34,2,38,5.3,89.5,5.3
Communication Services,3,12,5,20,15.0,60.0,25.0
Consumer Discretionary,3,38,7,48,6.3,79.2,14.6
Consumer Staples,0,33,3,36,0.0,91.7,8.3
Energy,0,18,4,22,0.0,81.8,18.2
Financials,1,63,12,76,1.3,82.9,15.8
Health Care,1,43,16,60,1.7,71.7,26.7
Industrials,0,62,17,79,0.0,78.5,21.5
Information Technology,4,46,21,71,5.6,64.8,29.6
Materials,2,19,5,26,7.7,73.1,19.2
Real Estate,0,24,7,31,0.0,77.4,22.6
Utilities,3,24,4,31,9.7,77.4,12.9
MR Discretion,3,28,6,37,8.1,75.7,16.2
Total,26,508,119,653,4.0,77.8,18.2
