Category,Buy,Neutral,Sell,Buy %,Neutral %,Sell %,R/R >= 3,R/R Neutral,R/R <= -3,MM Score Buy,MM Score Neutral,MM Score Sell
Sector & Style ETFs,0,27,0,0.0,100.0,0.0,0,26,1,1,14,12
Indices,0,5,0,0.0,100.0,0.0,0,5,0,0,1,4
Futures,0,3,0,0.0,100.0,0.0,0,3,0,0,0,3
Currencies,0,6,0,0.0,100.0,0.0,0,6,0,3,2,1
Commodities,0,19,0,0.0,100.0,0.0,1,18,0,3,13,3
Bonds,0,13,0,0.0,100.0,0.0,0,13,0,0,9,4
Yields,0,3,0,0.0,100.0,0.0,0,3,0,0,2,1
Volatility,0,2,0,0.0,100.0,0.0,0,2,0,0,2,0
Foreign,0,38,0,0.0,100.0,0.0,8,29,1,1,24,13
Communication Services,0,19,1,0.0,95.0,5.0,1,17,2,2,14,4
Consumer Discretionary,0,48,0,0.0,100.0,0.0,7,37,4,8,33,7
Consumer Staples,0,35,1,0.0,97.2,2.8,0,25,11,1,28,7
Energy,0,22,0,0.0,100.0,0.0,1,20,1,2,12,8
Financials,1,74,1,1.3,97.4,1.3,6,67,3,15,48,13
Health Care,1,56,3,1.7,93.3,5.0,6,45,9,8,35,17
Industrials,0,78,2,0.0,97.5,2.5,3,66,11,5,43,32
Information Technology,1,68,1,1.4,97.1,1.4,9,57,4,11,47,12
Materials,1,25,0,3.8,96.2,0.0,5,19,2,1,11,14
Real Estate,0,29,2,0.0,93.5,6.5,0,24,7,3,13,15
Utilities,0,29,2,0.0,93.5,6.5,0,15,16,3,25,3
MR Discretion,1,35,1,2.7,94.6,2.7,4,31,2,3,19,15
Total,5,634,14,0.8,97.1,2.1,51,528,74,70,395,188
