Ticker,Ticker_name,Category,Date,Close,day_pct_change,week_pct_change,month_pct_change,quarter_pct_change
EDV,VANGUARD EXT DUR T;ETF,Bonds,2025-10-23,70.41,-0.0103,0.0053,0.0286,0.0286
HYG,ISHARES:IBOXX $HY CORP,Bonds,2025-10-23,80.86,0.0022,0.0017,-0.0041,-0.0041
IEF,ISHARES:7-10 TRS BD ETF,Bonds,2025-10-23,97.4,-0.0033,0.0001,0.0097,0.0097
LQD,ISHARES:IBOXX $IG CORP,Bonds,2025-10-23,112.53,-0.0012,0.0029,0.0095,0.0095
SHY,ISHARES:1-3 TRS BD ETF,Bonds,2025-10-23,83.06,-0.0007,-0.0002,0.0012,0.0012
STIP,ISHARES:0-5 TIPS BD ETF,Bonds,2025-10-23,103.54,-0.0006,0.0009,0.0017,0.0017
TIP,ISHARES:TIPS BD ETF,Bonds,2025-10-23,111.98,-0.002,0.0027,0.0068,0.0068
TLT,ISHARES:20+ TRS BD ETF,Bonds,2025-10-23,91.43,-0.0068,0.0025,0.0231,0.0231
CPER,UNITED STATES COPPER IDX,Commodities,2025-10-23,31.41,0.0142,0.0191,0.047,0.047
DBB,INVESCO DB MS BMTL,Commodities,2025-10-23,21.51,0.0075,0.0267,0.0472,0.0472
GDX,VANECK:GOLD MINERS,Commodities,2025-10-23,73.79,0.0115,-0.0627,-0.0342,-0.0342
GDXJ,VANECK:JR GOLD MINERS,Commodities,2025-10-23,96.07,0.0113,-0.0683,-0.0299,-0.0299
GLD,SPDR GOLD,Commodities,2025-10-23,378.79,0.004,-0.0262,0.0656,0.0656
SILJ,ETFMG PRIME JR SILVR MNR,Commodities,2025-10-23,22.97,0.0057,-0.0753,-0.0052,-0.0052
SLV,ISHARES:SILVER TRUST,Commodities,2025-10-23,44.18,0.0068,-0.0598,0.0427,0.0427
UNG,UNITED STATES NAT GAS,Commodities,2025-10-23,12.93,-0.01,0.0893,-0.0107,-0.0107
USO,UNITED STATES OIL FUND,Commodities,2025-10-23,73.29,0.0377,0.0781,-0.0062,-0.0062
APP,APPLOVIN CORP,Communication Services,2025-10-23,589.7,0.044,-0.016,-0.1793,-0.1793
CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,2025-10-23,243.92,-0.0042,-0.0365,-0.1133,-0.1133
CMCSA,COMCAST ,Communication Services,2025-10-23,29.3,-0.0034,-0.0081,-0.0675,-0.0675
DIS,THE WALT DISNEY COMPANY,Communication Services,2025-10-23,113.03,-0.0004,0.0213,-0.0128,-0.0128
